scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2, 3, 5, 0, 0, 5,1, 1
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1,1, 1
8, 0, 7, 0, 0, 7, 0, 8, 0, 0, 8, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9,9, 9
16, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 14, 0, 0, 14, 0, 14, 0, 0, 14, 0, 14, 0, 0, 14, 0, 14, 0, 0, 14, 0, 14, 0, 0, 14, 0, 14, 0, 0, 14, 0, 14, 0, 0, 14, 0, 15, 0, 0, 15, 0, 15, 0, 0, 15, 0, 16, 0, 0, 16,14, 14
32, 1, 28, 0, 0, 28, 1, 29, 0, 0, 29, 1, 29, 0, 0, 29, 1, 29, 0, 0, 29, 1, 29, 0, 0, 29, 1, 29, 0, 0, 29, 1, 29, 0, 0, 29, 1, 29, 0, 0, 29, 1, 29, 0, 0, 29, 1, 30, 0, 0, 30, 1, 30, 0, 0, 30, 1, 31, 0, 0, 31,29, 29
64, 3, 47, 0, 0, 47, 2, 52, 0, 0, 52, 2, 52, 0, 0, 52, 2, 52, 0, 0, 52, 2, 52, 0, 0, 52, 2, 52, 0, 0, 52, 2, 54, 0, 0, 54, 2, 54, 0, 0, 54, 2, 63, 0, 0, 63, 2, 68, 0, 0, 68, 3, 76, 0, 0, 76, 3, 77, 0, 0, 77,57, 54
128, 5, 108, 0, 0, 108, 5, 110, 0, 0, 110, 5, 112, 0, 0, 112, 5, 113, 0, 0, 113, 5, 113, 0, 0, 113, 5, 113, 0, 0, 113, 5, 116, 0, 0, 116, 5, 117, 0, 0, 117, 5, 117, 0, 0, 117, 5, 117, 0, 0, 117, 5, 117, 0, 0, 117, 5, 127, 0, 0, 127,115, 116
256, 11, 229, 0, 0, 229, 11, 229, 0, 0, 229, 11, 229, 0, 0, 229, 11, 230, 0, 0, 230, 11, 230, 0, 0, 230, 11, 230, 0, 0, 230, 11, 231, 0, 0, 231, 11, 231, 0, 0, 231, 11, 232, 0, 0, 232, 11, 232, 0, 0, 232, 11, 243, 0, 0, 243, 11, 276, 0, 0, 276,231, 231
512, 22, 456, 0, 0, 456, 22, 483, 0, 0, 483, 22, 484, 0, 0, 484, 22, 484, 0, 0, 484, 22, 485, 0, 0, 485, 22, 486, 0, 0, 486, 22, 488, 0, 0, 488, 22, 488, 0, 0, 488, 22, 490, 0, 0, 490, 22, 490, 0, 0, 490, 22, 498, 0, 0, 498, 22, 507, 0, 0, 507,487, 488
1024, 46, 995, 0, 0, 995, 46, 1015, 0, 0, 1015, 46, 1018, 0, 0, 1018, 46, 1021, 0, 0, 1021, 46, 1025, 0, 0, 1025, 46, 1027, 0, 0, 1027, 46, 1032, 0, 0, 1032, 46, 1034, 0, 0, 1034, 46, 1047, 0, 0, 1047, 46, 1059, 0, 0, 1059, 46, 1069, 0, 0, 1069, 46, 1072, 0, 0, 1072,1034, 1032
