scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 5, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 7, 0, 6, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 8, 0, 7, 0, 0, 8, 0, 10, 0, 0, 11, 0, 12, 0, 0, 13, 0, 22, 0, 0, 23, 0, 25, 0, 0, 26, 10, 81, 1, 0, 83,12, 8
1, 0, 5, 0, 0, 6, 0, 5, 0, 0, 6, 0, 5, 0, 0, 6, 0, 5, 0, 0, 6, 0, 5, 0, 0, 6, 0, 5, 0, 0, 6, 0, 7, 0, 0, 8, 0, 7, 0, 0, 8, 0, 9, 0, 0, 9, 0, 9, 0, 0, 10, 0, 10, 0, 0, 11, 0, 14, 0, 0, 15,8, 8
8, 0, 13, 1, 0, 15, 0, 16, 1, 0, 18, 0, 17, 1, 0, 18, 0, 22, 1, 0, 24, 0, 25, 1, 0, 26, 0, 28, 1, 0, 29, 0, 28, 1, 0, 29, 0, 29, 1, 0, 30, 0, 29, 1, 0, 30, 0, 30, 1, 0, 32, 0, 30, 1, 0, 32, 0, 66, 1, 0, 68,27, 29
16, 0, 13, 0, 0, 14, 0, 16, 0, 0, 17, 0, 29, 1, 0, 30, 0, 32, 0, 0, 33, 0, 32, 0, 0, 33, 0, 34, 1, 0, 35, 0, 36, 0, 0, 37, 0, 38, 1, 0, 39, 0, 40, 0, 0, 41, 0, 47, 1, 0, 48, 0, 50, 1, 0, 52, 0, 52, 0, 0, 53,36, 37
32, 0, 23, 1, 0, 24, 1, 28, 1, 0, 29, 1, 40, 1, 0, 41, 1, 53, 1, 0, 54, 1, 56, 1, 0, 57, 1, 59, 1, 0, 60, 1, 60, 1, 0, 61, 1, 64, 1, 0, 65, 1, 66, 1, 0, 67, 1, 68, 1, 0, 69, 1, 82, 1, 0, 83, 1, 89, 0, 0, 90,59, 61
64, 3, 50, 1, 0, 51, 3, 51, 1, 0, 52, 3, 62, 1, 0, 63, 3, 63, 1, 0, 64, 3, 72, 1, 0, 73, 3, 80, 1, 0, 81, 3, 95, 1, 0, 96, 3, 114, 1, 0, 115, 3, 138, 1, 0, 139, 3, 144, 1, 0, 145, 2, 165, 1, 0, 166, 3, 168, 1, 0, 169,99, 96
128, 5, 88, 1, 0, 89, 5, 108, 1, 0, 109, 5, 116, 1, 0, 117, 5, 138, 1, 0, 139, 5, 195, 1, 0, 196, 5, 212, 1, 0, 213, 5, 234, 1, 0, 235, 5, 248, 1, 0, 249, 5, 288, 1, 0, 289, 5, 364, 1, 0, 365, 5, 372, 1, 0, 373, 5, 404, 1, 0, 405,229, 235
256, 11, 247, 2, 0, 249, 11, 285, 2, 0, 287, 11, 381, 2, 0, 383, 11, 401, 2, 0, 403, 11, 468, 2, 0, 470, 11, 530, 2, 0, 532, 11, 535, 2, 0, 537, 11, 561, 2, 0, 563, 11, 571, 2, 0, 573, 11, 578, 2, 0, 580, 11, 600, 2, 0, 602, 11, 841, 2, 0, 843,493, 537
512, 22, 586, 2, 0, 588, 22, 642, 2, 0, 644, 22, 740, 2, 0, 742, 22, 899, 2, 0, 901, 22, 910, 2, 0, 912, 22, 911, 2, 0, 913, 22, 916, 2, 0, 918, 22, 993, 2, 0, 995, 22, 1015, 2, 0, 1017, 22, 1079, 2, 0, 1081, 22, 1083, 2, 0, 1085, 22, 1187, 2, 0, 1189,921, 918
1024, 46, 871, 2, 0, 873, 46, 888, 2, 0, 890, 46, 919, 2, 0, 921, 46, 941, 2, 0, 943, 46, 951, 2, 0, 953, 46, 1019, 2, 0, 1021, 46, 1173, 2, 0, 1175, 46, 1230, 3, 0, 1233, 46, 1261, 2, 0, 1263, 46, 1337, 2, 0, 1339, 46, 1519, 2, 0, 1521, 46, 1700, 2, 0, 1702,1126, 1175
