scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 7, 1, 0, 8, 0, 7, 1, 0, 9, 0, 7, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 8, 1, 0, 9, 0, 10, 1, 0, 11, 0, 10, 1, 0, 12, 0, 12, 1, 0, 13, 0, 12, 1, 0, 13, 10, 44, 2, 0, 47,10, 9
1, 0, 5, 1, 0, 6, 0, 5, 1, 0, 6, 0, 5, 1, 0, 6, 0, 5, 1, 0, 6, 0, 5, 1, 0, 6, 0, 5, 1, 0, 6, 0, 5, 1, 0, 6, 0, 7, 1, 0, 8, 0, 7, 1, 0, 9, 0, 7, 1, 0, 9, 0, 7, 1, 0, 9, 0, 12, 1, 0, 13,7, 6
8, 0, 10, 5, 0, 15, 0, 10, 5, 0, 15, 0, 10, 5, 0, 15, 0, 10, 5, 0, 15, 0, 10, 5, 0, 15, 0, 10, 5, 0, 15, 0, 18, 5, 0, 23, 0, 18, 5, 0, 23, 0, 18, 5, 0, 23, 0, 18, 5, 0, 23, 0, 23, 5, 0, 28, 0, 51, 5, 0, 56,20, 23
16, 0, 13, 3, 0, 16, 0, 17, 3, 0, 21, 0, 19, 3, 0, 22, 0, 19, 3, 0, 23, 0, 37, 3, 0, 40, 0, 45, 3, 0, 48, 0, 47, 3, 0, 50, 0, 47, 3, 0, 50, 0, 47, 3, 0, 50, 0, 47, 3, 0, 51, 0, 48, 3, 0, 51, 0, 55, 3, 0, 58,41, 50
32, 1, 16, 6, 0, 22, 1, 19, 6, 0, 25, 0, 24, 6, 0, 30, 1, 28, 6, 0, 34, 1, 28, 6, 0, 34, 0, 43, 6, 0, 49, 1, 44, 6, 0, 50, 0, 48, 6, 0, 54, 0, 65, 6, 0, 71, 1, 76, 6, 0, 82, 1, 80, 6, 0, 86, 1, 98, 6, 0, 104,52, 50
64, 2, 41, 8, 0, 49, 3, 47, 8, 0, 55, 3, 56, 8, 0, 64, 3, 57, 8, 0, 65, 3, 63, 8, 0, 71, 3, 63, 8, 0, 71, 3, 92, 8, 0, 100, 3, 103, 8, 0, 111, 3, 131, 8, 0, 139, 3, 144, 8, 0, 152, 3, 168, 8, 0, 176, 3, 207, 8, 0, 216,100, 100
128, 5, 168, 10, 0, 178, 5, 170, 10, 0, 180, 5, 174, 10, 0, 184, 5, 176, 10, 0, 186, 5, 184, 10, 0, 194, 5, 268, 10, 0, 278, 5, 360, 10, 0, 370, 5, 362, 10, 0, 372, 5, 412, 10, 0, 422, 5, 457, 10, 0, 467, 5, 491, 10, 0, 501, 5, 552, 10, 0, 562,315, 370
256, 11, 280, 14, 0, 294, 11, 366, 14, 0, 380, 11, 410, 14, 0, 424, 11, 456, 14, 0, 470, 11, 529, 14, 0, 543, 11, 533, 14, 0, 547, 11, 538, 14, 0, 552, 11, 613, 14, 0, 627, 11, 744, 14, 0, 758, 11, 815, 14, 0, 829, 11, 815, 14, 0, 829, 11, 870, 14, 0, 884,596, 552
512, 22, 321, 20, 0, 341, 22, 323, 20, 0, 343, 22, 405, 20, 0, 425, 22, 727, 20, 0, 747, 22, 851, 20, 0, 871, 22, 878, 20, 0, 898, 22, 916, 20, 0, 936, 22, 948, 20, 0, 968, 22, 951, 20, 0, 971, 22, 964, 20, 0, 984, 22, 980, 20, 0, 1000, 22, 1381, 20, 0, 1401,814, 936
1024, 46, 817, 34, 0, 851, 46, 1060, 34, 0, 1094, 46, 1198, 34, 0, 1232, 46, 1212, 34, 0, 1246, 46, 1456, 34, 0, 1490, 46, 1929, 34, 0, 1963, 46, 1980, 34, 0, 2014, 46, 2003, 34, 0, 2037, 46, 2008, 34, 0, 2042, 46, 2569, 34, 0, 2603, 46, 2627, 34, 0, 2661, 46, 2739, 34, 0, 2773,1838, 2014
2048, 94, 1343, 75, 0, 1418, 94, 1529, 75, 0, 1604, 94, 1584, 75, 0, 1659, 94, 1624, 75, 0, 1699, 94, 1731, 75, 0, 1806, 94, 1816, 75, 0, 1891, 94, 2049, 75, 0, 2124, 94, 2240, 75, 0, 2315, 94, 2574, 74, 0, 2648, 94, 3005, 75, 0, 3080, 94, 3200, 75, 0, 3275, 94, 3286, 75, 0, 3361,2210, 2124
