scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1,1, 1
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1,1, 1
8, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3,1, 1
16, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 4, 0, 0, 4,3, 3
32, 1, 6, 0, 0, 6, 1, 6, 0, 0, 6, 1, 7, 0, 0, 7, 1, 7, 0, 0, 7, 1, 7, 0, 0, 7, 1, 7, 0, 0, 7, 1, 8, 0, 0, 8, 1, 10, 0, 0, 10, 1, 13, 0, 0, 13, 1, 20, 0, 0, 20, 1, 24, 0, 0, 24, 1, 24, 0, 0, 24,11, 8
64, 2, 31, 0, 0, 31, 2, 39, 0, 0, 39, 2, 39, 0, 0, 39, 2, 39, 0, 0, 39, 2, 39, 0, 0, 39, 2, 39, 0, 0, 39, 2, 39, 0, 0, 39, 2, 39, 0, 0, 39, 2, 39, 0, 0, 39, 2, 39, 0, 0, 39, 2, 40, 0, 0, 40, 2, 58, 0, 0, 58,39, 39
128, 5, 22, 0, 0, 22, 5, 23, 0, 0, 23, 5, 23, 0, 0, 23, 5, 23, 0, 0, 23, 5, 23, 0, 0, 23, 5, 23, 0, 0, 23, 5, 24, 0, 0, 24, 5, 25, 0, 0, 25, 5, 27, 0, 0, 27, 5, 63, 0, 0, 63, 5, 66, 0, 0, 66, 5, 66, 0, 0, 66,32, 24
256, 10, 44, 0, 0, 44, 11, 48, 0, 0, 48, 11, 51, 0, 0, 51, 11, 55, 0, 0, 55, 11, 55, 0, 0, 55, 10, 56, 0, 0, 56, 11, 62, 0, 0, 62, 11, 63, 0, 0, 63, 11, 66, 0, 0, 66, 11, 66, 0, 0, 66, 11, 69, 0, 0, 69, 11, 78, 0, 0, 78,59, 62
512, 22, 91, 0, 0, 91, 22, 94, 0, 0, 94, 22, 100, 0, 0, 100, 22, 104, 0, 0, 104, 22, 117, 0, 0, 117, 22, 123, 0, 0, 123, 22, 124, 0, 0, 124, 22, 124, 0, 0, 124, 22, 124, 0, 0, 124, 22, 126, 0, 0, 126, 22, 128, 0, 0, 128, 23, 146, 0, 0, 146,116, 124
1024, 46, 193, 0, 0, 193, 46, 195, 0, 0, 195, 46, 200, 0, 0, 200, 46, 227, 0, 0, 227, 46, 239, 0, 0, 239, 46, 253, 0, 0, 253, 46, 270, 0, 0, 270, 46, 301, 0, 0, 301, 46, 306, 0, 0, 306, 46, 306, 0, 0, 306, 46, 325, 0, 0, 325, 46, 336, 0, 0, 336,262, 270
