scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 5, 4, 0, 0, 5,2, 2
1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2,2, 2
8, 0, 3, 0, 0, 3, 1, 5, 0, 0, 5, 1, 5, 0, 0, 5, 1, 5, 0, 0, 5, 1, 7, 0, 0, 7, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11,9, 11
16, 1, 7, 0, 0, 7, 1, 9, 0, 0, 9, 1, 13, 0, 0, 13, 1, 13, 0, 0, 13, 1, 13, 0, 0, 13, 1, 13, 0, 0, 13, 1, 14, 0, 0, 14, 1, 14, 0, 0, 14, 1, 15, 0, 0, 15, 1, 15, 0, 0, 15, 1, 15, 0, 0, 15, 1, 18, 0, 0, 18,13, 14
32, 3, 13, 0, 0, 13, 3, 13, 0, 0, 13, 3, 13, 0, 0, 13, 3, 13, 0, 0, 13, 3, 13, 0, 0, 13, 3, 16, 0, 0, 16, 3, 21, 0, 0, 21, 3, 24, 0, 0, 24, 3, 35, 0, 0, 35, 3, 35, 0, 0, 35, 3, 35, 0, 0, 35, 3, 35, 0, 0, 35,22, 21
64, 6, 7, 0, 0, 7, 6, 7, 0, 0, 7, 6, 7, 0, 0, 7, 6, 8, 0, 0, 8, 6, 21, 0, 0, 21, 6, 22, 0, 0, 22, 6, 22, 0, 0, 22, 6, 23, 0, 0, 23, 6, 37, 0, 0, 37, 6, 44, 0, 0, 44, 6, 47, 0, 0, 47, 6, 48, 0, 0, 48,24, 22
128, 13, 13, 0, 0, 13, 13, 15, 0, 0, 15, 13, 35, 0, 0, 35, 13, 39, 0, 0, 39, 13, 41, 0, 0, 41, 13, 42, 0, 0, 42, 13, 44, 0, 0, 44, 13, 44, 0, 0, 44, 13, 47, 0, 0, 47, 13, 54, 0, 0, 54, 13, 72, 0, 0, 72, 12, 114, 0, 0, 114,43, 44
256, 26, 22, 0, 0, 22, 26, 67, 0, 0, 67, 26, 72, 0, 0, 72, 26, 73, 0, 0, 73, 26, 74, 0, 0, 74, 26, 75, 0, 0, 75, 26, 78, 0, 0, 78, 26, 82, 0, 0, 82, 26, 83, 0, 0, 83, 26, 84, 0, 0, 84, 26, 134, 0, 0, 134, 26, 207, 0, 0, 207,82, 78
512, 52, 131, 0, 0, 131, 52, 153, 0, 0, 153, 52, 155, 0, 0, 155, 52, 157, 0, 0, 157, 52, 159, 0, 0, 159, 52, 163, 0, 0, 163, 52, 165, 0, 0, 165, 53, 165, 0, 0, 165, 52, 167, 0, 0, 167, 52, 185, 0, 0, 185, 52, 282, 0, 0, 282, 52, 400, 0, 0, 400,175, 165
1024, 108, 17, 0, 0, 17, 108, 26, 0, 0, 26, 108, 161, 0, 0, 161, 108, 258, 0, 0, 258, 108, 285, 0, 0, 285, 108, 314, 0, 0, 314, 108, 318, 0, 0, 318, 108, 408, 0, 0, 408, 108, 603, 0, 0, 603, 108, 650, 0, 0, 650, 108, 670, 0, 0, 670, 108, 1337, 0, 0, 1337,369, 318
