scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 5, 4, 0, 0, 5,2, 2
1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2,2, 2
8, 0, 3, 0, 0, 3, 1, 5, 0, 0, 5, 1, 5, 0, 0, 5, 0, 5, 0, 0, 5, 1, 7, 0, 0, 7, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11,9, 11
16, 1, 7, 0, 0, 8, 1, 9, 0, 0, 9, 1, 13, 0, 0, 13, 1, 13, 0, 0, 13, 1, 13, 0, 0, 13, 1, 13, 0, 0, 13, 1, 13, 0, 0, 13, 1, 14, 0, 0, 14, 1, 14, 0, 0, 14, 1, 14, 0, 0, 14, 1, 15, 0, 0, 15, 1, 18, 0, 0, 18,13, 13
32, 3, 13, 0, 0, 13, 3, 13, 0, 0, 13, 3, 16, 0, 0, 16, 3, 17, 0, 0, 17, 3, 20, 0, 0, 20, 3, 21, 0, 0, 21, 3, 21, 0, 0, 21, 3, 21, 0, 0, 21, 3, 22, 0, 0, 22, 3, 22, 0, 0, 22, 3, 36, 0, 0, 36, 3, 36, 0, 0, 36,21, 21
64, 6, 8, 0, 0, 8, 6, 8, 0, 0, 8, 7, 8, 0, 0, 8, 6, 8, 0, 0, 8, 6, 10, 0, 0, 10, 6, 20, 0, 0, 20, 6, 24, 0, 0, 24, 6, 26, 0, 0, 26, 6, 35, 0, 0, 35, 6, 37, 0, 0, 37, 6, 42, 0, 0, 42, 6, 43, 0, 0, 43,22, 24
128, 13, 39, 0, 0, 39, 13, 39, 0, 0, 39, 13, 43, 0, 0, 43, 13, 44, 0, 0, 44, 13, 45, 0, 0, 45, 12, 48, 0, 0, 48, 13, 48, 0, 0, 48, 13, 48, 0, 0, 48, 13, 49, 0, 0, 49, 12, 49, 0, 0, 49, 13, 52, 0, 0, 52, 13, 61, 0, 0, 61,47, 48
256, 27, 72, 0, 0, 72, 27, 73, 0, 0, 73, 27, 76, 0, 0, 76, 27, 76, 0, 0, 76, 27, 77, 0, 0, 77, 27, 78, 0, 0, 78, 27, 78, 0, 0, 78, 27, 78, 0, 0, 78, 27, 80, 0, 0, 80, 27, 82, 0, 0, 82, 27, 84, 0, 0, 84, 27, 110, 0, 0, 110,78, 78
512, 54, 20, 0, 0, 20, 54, 144, 0, 0, 144, 55, 164, 0, 0, 164, 54, 164, 0, 0, 164, 54, 165, 0, 0, 165, 54, 165, 0, 0, 165, 54, 165, 0, 0, 165, 54, 174, 0, 0, 174, 54, 175, 0, 0, 175, 54, 176, 0, 0, 176, 54, 268, 0, 0, 268, 54, 402, 0, 0, 402,176, 165
1024, 111, 23, 0, 0, 23, 111, 28, 0, 0, 28, 111, 29, 0, 0, 29, 111, 214, 0, 0, 214, 111, 304, 0, 0, 304, 111, 317, 0, 0, 317, 111, 317, 0, 0, 317, 111, 323, 0, 0, 323, 111, 643, 0, 0, 643, 111, 655, 0, 0, 655, 111, 733, 0, 0, 733, 111, 1349, 0, 0, 1349,356, 317
