scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2, 3, 5, 0, 0, 5,1, 1
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1,1, 1
8, 0, 7, 0, 0, 7, 0, 8, 0, 0, 8, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9,9, 9
16, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 14, 0, 0, 14, 0, 14, 0, 0, 14, 0, 14, 0, 0, 14, 0, 14, 0, 0, 14, 0, 14, 0, 0, 14, 0, 16, 0, 0, 16, 0, 17, 0, 0, 17, 0, 17, 0, 0, 17,14, 14
32, 1, 26, 0, 0, 26, 1, 26, 0, 0, 26, 1, 26, 0, 0, 26, 1, 27, 0, 0, 27, 0, 28, 0, 0, 28, 0, 28, 0, 0, 28, 1, 28, 0, 0, 28, 1, 28, 0, 0, 28, 1, 28, 0, 0, 28, 1, 29, 0, 0, 29, 1, 29, 0, 0, 29, 1, 29, 0, 0, 29,28, 28
64, 2, 52, 0, 0, 52, 2, 52, 0, 0, 52, 2, 53, 0, 0, 53, 2, 54, 0, 0, 54, 2, 54, 0, 0, 54, 2, 55, 0, 0, 55, 2, 58, 0, 0, 58, 2, 58, 0, 0, 58, 2, 58, 0, 0, 58, 2, 59, 0, 0, 59, 2, 61, 0, 0, 61, 2, 62, 0, 0, 62,56, 58
128, 5, 108, 0, 0, 108, 5, 109, 0, 0, 109, 5, 109, 0, 0, 109, 5, 109, 0, 0, 109, 5, 109, 0, 0, 109, 5, 110, 0, 0, 110, 5, 110, 0, 0, 110, 5, 110, 0, 0, 110, 5, 111, 0, 0, 111, 5, 113, 0, 0, 113, 5, 116, 0, 0, 116, 5, 125, 0, 0, 125,111, 110
256, 11, 222, 0, 0, 222, 11, 224, 0, 0, 224, 11, 224, 0, 0, 224, 11, 224, 0, 0, 224, 11, 224, 0, 0, 224, 11, 225, 0, 0, 225, 11, 225, 0, 0, 225, 11, 226, 0, 0, 226, 11, 226, 0, 0, 226, 11, 228, 0, 0, 228, 11, 235, 0, 0, 235, 11, 259, 0, 0, 259,226, 225
512, 22, 477, 0, 0, 477, 22, 477, 0, 0, 477, 22, 478, 0, 0, 478, 22, 478, 0, 0, 478, 22, 478, 0, 0, 478, 22, 479, 0, 0, 479, 22, 479, 0, 0, 479, 22, 484, 0, 0, 484, 22, 486, 0, 0, 486, 22, 492, 0, 0, 492, 22, 496, 0, 0, 496, 22, 520, 0, 0, 520,482, 479
1024, 46, 1006, 0, 0, 1006, 46, 1011, 0, 0, 1011, 46, 1016, 0, 0, 1016, 46, 1017, 0, 0, 1017, 46, 1018, 0, 0, 1018, 46, 1019, 0, 0, 1019, 46, 1019, 0, 0, 1019, 46, 1021, 0, 0, 1021, 46, 1022, 0, 0, 1022, 46, 1040, 0, 0, 1040, 46, 1073, 0, 0, 1073, 46, 1078, 0, 0, 1078,1025, 1019
