scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 4, 0, 0, 4, 0, 4, 0, 0, 5, 0, 4, 0, 0, 5, 0, 7, 0, 0, 7, 0, 8, 1, 0, 9, 0, 17, 0, 0, 17, 0, 17, 0, 0, 18, 0, 17, 0, 0, 18, 0, 20, 0, 0, 20, 0, 23, 0, 0, 23, 0, 23, 0, 0, 23, 10, 91, 0, 0, 92,15, 18
1, 0, 4, 0, 0, 4, 0, 7, 0, 0, 7, 0, 7, 0, 0, 8, 0, 13, 0, 0, 13, 0, 16, 0, 0, 17, 0, 16, 0, 0, 17, 0, 17, 0, 0, 17, 0, 18, 0, 0, 19, 0, 18, 0, 0, 19, 0, 18, 0, 0, 19, 0, 20, 0, 0, 20, 0, 22, 0, 0, 22,16, 17
8, 0, 8, 0, 0, 9, 0, 10, 0, 0, 11, 0, 14, 0, 0, 14, 0, 14, 0, 0, 15, 0, 16, 0, 0, 16, 0, 16, 0, 0, 17, 0, 17, 0, 0, 18, 0, 20, 0, 0, 20, 0, 19, 0, 0, 20, 0, 21, 0, 0, 22, 0, 27, 0, 0, 28, 0, 33, 0, 0, 34,18, 18
16, 0, 33, 0, 0, 33, 0, 36, 0, 0, 37, 0, 39, 0, 0, 40, 0, 40, 0, 0, 41, 0, 40, 0, 0, 41, 0, 40, 0, 0, 41, 0, 40, 0, 0, 41, 0, 40, 0, 0, 41, 0, 41, 0, 0, 41, 0, 41, 0, 0, 41, 0, 41, 0, 0, 41, 0, 47, 0, 0, 48,40, 41
32, 0, 22, 0, 0, 22, 0, 27, 0, 0, 28, 0, 31, 0, 0, 32, 1, 41, 0, 0, 41, 0, 44, 0, 0, 44, 1, 45, 0, 0, 45, 1, 48, 0, 0, 48, 0, 50, 0, 0, 50, 0, 54, 0, 0, 54, 0, 57, 0, 0, 57, 0, 64, 0, 0, 64, 1, 70, 0, 0, 70,46, 48
64, 2, 37, 0, 0, 37, 2, 61, 0, 0, 61, 2, 62, 0, 0, 62, 2, 65, 0, 0, 65, 2, 72, 0, 0, 72, 2, 72, 0, 0, 72, 2, 74, 0, 0, 74, 2, 81, 0, 0, 81, 2, 98, 0, 0, 98, 2, 99, 0, 0, 99, 2, 101, 0, 0, 101, 2, 104, 0, 0, 104,79, 74
128, 5, 125, 1, 0, 126, 5, 147, 1, 0, 148, 5, 148, 1, 0, 149, 5, 151, 1, 0, 152, 5, 153, 1, 0, 154, 5, 154, 1, 0, 155, 5, 154, 1, 0, 155, 5, 159, 1, 0, 160, 5, 161, 1, 0, 162, 5, 163, 1, 0, 164, 5, 176, 1, 0, 177, 5, 189, 1, 0, 190,158, 155
256, 11, 146, 1, 0, 147, 11, 227, 1, 0, 228, 11, 268, 1, 0, 269, 11, 287, 1, 0, 288, 11, 289, 1, 0, 290, 11, 291, 1, 0, 292, 11, 305, 1, 0, 306, 11, 319, 1, 0, 320, 11, 346, 1, 0, 347, 11, 354, 1, 0, 355, 11, 376, 1, 0, 377, 11, 436, 1, 0, 437,307, 306
512, 22, 358, 1, 0, 359, 22, 381, 1, 0, 382, 22, 398, 1, 0, 399, 22, 408, 1, 0, 409, 22, 495, 1, 0, 496, 22, 709, 1, 0, 710, 22, 912, 1, 0, 913, 22, 961, 1, 0, 962, 22, 995, 1, 0, 996, 22, 996, 1, 0, 997, 22, 1007, 1, 0, 1008, 22, 1010, 1, 0, 1011,727, 913
1024, 46, 710, 2, 0, 712, 46, 753, 2, 0, 755, 46, 790, 2, 0, 792, 46, 824, 2, 0, 826, 46, 840, 2, 0, 842, 46, 843, 2, 0, 845, 46, 868, 2, 0, 870, 46, 878, 2, 0, 880, 46, 912, 2, 0, 914, 46, 912, 2, 0, 914, 46, 915, 2, 0, 917, 42, 967, 2, 0, 969,855, 870
2048, 93, 599, 4, 0, 603, 93, 647, 4, 0, 651, 93, 713, 4, 0, 717, 93, 720, 4, 0, 724, 93, 746, 4, 0, 750, 93, 753, 4, 0, 757, 93, 796, 4, 0, 800, 93, 857, 4, 0, 861, 93, 862, 4, 0, 866, 93, 877, 4, 0, 881, 74, 1690, 4, 0, 1694, 93, 1915, 4, 0, 1919,870, 800
4096, 186, 812, 7, 0, 819, 186, 881, 7, 0, 888, 186, 907, 7, 0, 914, 186, 910, 7, 0, 917, 186, 959, 7, 0, 966, 186, 966, 7, 0, 973, 186, 1000, 7, 0, 1007, 186, 1136, 7, 0, 1143, 186, 1145, 7, 0, 1152, 186, 1148, 7, 0, 1155, 186, 1158, 7, 0, 1165, 151, 3166, 7, 0, 3173,1028, 1007
8192, 372, 1292, 13, 0, 1305, 372, 1633, 13, 0, 1646, 372, 1790, 13, 0, 1803, 372, 1956, 13, 0, 1969, 372, 2001, 13, 0, 2014, 372, 2008, 13, 0, 2021, 372, 2021, 13, 0, 2034, 372, 2025, 13, 0, 2038, 372, 2038, 13, 0, 2051, 372, 2051, 13, 0, 2064, 372, 2429, 13, 0, 2442, 322, 7354, 13, 0, 7367,2008, 2034
