scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 4, 0, 0, 4, 0, 4, 0, 0, 5, 0, 4, 0, 0, 5, 0, 4, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 8, 0, 0, 8, 10, 61, 1, 0, 63,6, 6
1, 0, 1, 0, 0, 2, 0, 2, 0, 0, 2, 0, 3, 0, 0, 3, 0, 3, 0, 0, 4, 0, 3, 0, 0, 4, 0, 3, 0, 0, 4, 0, 3, 0, 0, 4, 0, 3, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 5, 0, 0, 6, 0, 5, 0, 0, 6,4, 4
8, 0, 9, 0, 0, 10, 0, 9, 0, 0, 10, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 12, 0, 11, 0, 0, 12, 0, 11, 0, 0, 12, 0, 11, 0, 0, 12, 0, 13, 0, 0, 14, 0, 13, 0, 0, 14, 0, 38, 0, 0, 38,12, 12
16, 0, 7, 0, 0, 7, 0, 7, 0, 0, 8, 0, 9, 0, 0, 9, 0, 9, 0, 0, 10, 0, 9, 1, 0, 10, 0, 16, 0, 0, 17, 0, 16, 0, 0, 17, 0, 18, 0, 0, 19, 0, 24, 0, 0, 24, 0, 24, 0, 0, 24, 0, 24, 0, 0, 25, 0, 61, 1, 0, 62,16, 17
32, 1, 23, 0, 0, 23, 0, 24, 0, 0, 25, 0, 24, 0, 0, 25, 1, 30, 0, 0, 31, 1, 35, 0, 0, 36, 1, 35, 0, 0, 36, 1, 36, 0, 0, 36, 1, 36, 0, 0, 37, 1, 38, 0, 0, 39, 1, 39, 0, 0, 40, 1, 45, 0, 0, 46, 1, 45, 0, 0, 46,35, 36
64, 2, 26, 1, 0, 27, 2, 27, 1, 0, 28, 2, 27, 1, 0, 28, 2, 35, 1, 0, 36, 2, 39, 1, 0, 40, 2, 42, 1, 0, 43, 2, 47, 1, 0, 48, 2, 47, 1, 0, 48, 2, 64, 1, 0, 65, 2, 71, 1, 0, 72, 2, 73, 1, 0, 74, 2, 81, 1, 0, 82,48, 48
128, 5, 53, 2, 0, 56, 5, 59, 2, 0, 61, 5, 71, 2, 0, 73, 5, 81, 2, 0, 84, 5, 86, 2, 0, 88, 5, 90, 2, 0, 92, 5, 91, 2, 0, 93, 5, 131, 2, 0, 133, 5, 146, 2, 0, 148, 5, 146, 2, 0, 148, 5, 150, 2, 0, 152, 5, 172, 2, 0, 175,107, 93
256, 11, 220, 4, 0, 224, 11, 223, 4, 0, 227, 11, 224, 4, 0, 228, 11, 235, 4, 0, 239, 11, 238, 4, 0, 242, 11, 240, 4, 0, 244, 11, 247, 4, 0, 251, 11, 258, 4, 0, 262, 11, 263, 4, 0, 267, 11, 278, 4, 0, 282, 11, 289, 4, 0, 293, 11, 304, 4, 0, 308,253, 251
512, 22, 235, 9, 0, 244, 22, 247, 9, 0, 256, 22, 251, 9, 0, 260, 22, 366, 9, 0, 375, 22, 378, 9, 0, 387, 22, 388, 9, 0, 397, 22, 402, 9, 0, 411, 22, 415, 9, 0, 424, 22, 421, 9, 0, 430, 22, 717, 9, 0, 726, 22, 766, 9, 0, 775, 22, 784, 9, 0, 793,444, 411
1024, 46, 610, 20, 0, 630, 46, 622, 20, 0, 642, 46, 732, 20, 0, 752, 46, 742, 20, 0, 762, 46, 822, 20, 0, 842, 46, 892, 20, 0, 912, 46, 1080, 20, 0, 1100, 46, 1266, 20, 0, 1286, 46, 1433, 20, 0, 1453, 46, 1544, 20, 0, 1564, 46, 1668, 20, 0, 1688, 46, 1740, 20, 0, 1760,1100, 1100
2048, 93, 998, 38, 0, 1036, 93, 1059, 38, 0, 1097, 93, 1072, 38, 0, 1110, 93, 1108, 38, 0, 1146, 93, 1161, 38, 0, 1200, 93, 1182, 38, 0, 1221, 93, 1197, 38, 0, 1235, 93, 1201, 38, 0, 1239, 93, 1206, 38, 0, 1245, 93, 1208, 38, 0, 1246, 93, 1379, 38, 0, 1417, 93, 1487, 38, 0, 1525,1215, 1235
4096, 186, 1989, 74, 0, 2063, 186, 2056, 74, 0, 2130, 186, 2056, 74, 0, 2130, 186, 2059, 74, 0, 2133, 186, 2071, 74, 0, 2145, 186, 2076, 74, 0, 2150, 186, 2086, 74, 0, 2160, 186, 2088, 74, 0, 2162, 186, 2092, 74, 0, 2166, 186, 2149, 74, 0, 2223, 186, 2319, 74, 0, 2393, 186, 2324, 74, 0, 2398,2179, 2160
