scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1,1, 1
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1,1, 1
8, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6,5, 6
16, 0, 4, 0, 0, 4, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 7, 0, 0, 7,6, 6
32, 1, 5, 0, 0, 5, 1, 5, 0, 0, 5, 1, 6, 0, 0, 6, 1, 6, 0, 0, 6, 1, 7, 0, 0, 7, 1, 7, 0, 0, 7, 1, 7, 0, 0, 7, 1, 7, 0, 0, 7, 1, 7, 0, 0, 7, 1, 9, 0, 0, 9, 1, 9, 0, 0, 9, 1, 20, 0, 0, 20,7, 7
64, 2, 23, 0, 0, 23, 2, 24, 0, 0, 24, 2, 24, 0, 0, 24, 2, 25, 0, 0, 25, 2, 25, 0, 0, 25, 2, 25, 0, 0, 25, 2, 25, 0, 0, 25, 2, 25, 0, 0, 25, 2, 25, 0, 0, 25, 2, 25, 0, 0, 25, 2, 26, 0, 0, 26, 2, 36, 0, 0, 36,25, 25
128, 5, 27, 0, 0, 27, 5, 29, 0, 0, 29, 5, 29, 0, 0, 29, 5, 29, 0, 0, 29, 5, 29, 0, 0, 29, 5, 29, 0, 0, 29, 5, 29, 0, 0, 29, 5, 29, 0, 0, 29, 5, 29, 0, 0, 29, 5, 29, 0, 0, 29, 5, 29, 0, 0, 29, 5, 32, 0, 0, 32,29, 29
256, 11, 41, 0, 0, 41, 10, 44, 0, 0, 44, 11, 45, 0, 0, 45, 11, 45, 0, 0, 45, 11, 45, 0, 0, 45, 11, 45, 0, 0, 45, 11, 45, 0, 0, 45, 11, 47, 0, 0, 47, 11, 47, 0, 0, 47, 11, 50, 0, 0, 50, 11, 50, 0, 0, 50, 11, 70, 0, 0, 70,47, 45
512, 22, 85, 0, 0, 85, 22, 92, 0, 0, 92, 22, 94, 0, 0, 94, 22, 98, 0, 0, 98, 23, 100, 0, 0, 100, 22, 101, 0, 0, 101, 22, 103, 0, 0, 103, 22, 113, 0, 0, 113, 22, 120, 0, 0, 120, 22, 120, 0, 0, 120, 22, 121, 0, 0, 121, 22, 121, 0, 0, 121,106, 103
1024, 46, 162, 0, 0, 162, 46, 169, 0, 0, 169, 46, 169, 0, 0, 169, 47, 171, 0, 0, 171, 46, 173, 0, 0, 173, 46, 202, 0, 0, 202, 46, 202, 0, 0, 202, 46, 213, 0, 0, 213, 46, 224, 0, 0, 224, 46, 240, 0, 0, 240, 46, 247, 0, 0, 247, 46, 272, 0, 0, 272,201, 202
