scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 5, 4, 0, 0, 4,2, 2
1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2,2, 2
8, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 1, 2, 0, 0, 2, 1, 2, 0, 0, 2, 0, 3, 0, 0, 3, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8,6, 8
16, 1, 4, 0, 0, 4, 1, 7, 0, 0, 7, 1, 8, 0, 0, 8, 1, 8, 0, 0, 8, 1, 16, 0, 0, 16, 1, 16, 0, 0, 16, 1, 16, 0, 0, 16, 1, 16, 0, 0, 16, 1, 16, 0, 0, 16, 1, 16, 0, 0, 16, 1, 16, 0, 0, 16, 1, 16, 0, 0, 16,13, 16
32, 3, 8, 0, 0, 8, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 16, 0, 0, 16, 3, 17, 0, 0, 17, 3, 17, 0, 0, 17, 3, 17, 0, 0, 17, 3, 17, 0, 0, 17, 3, 17, 0, 0, 17, 3, 19, 0, 0, 19,14, 17
64, 6, 22, 0, 0, 22, 6, 23, 0, 0, 23, 6, 23, 0, 0, 23, 6, 24, 0, 0, 24, 6, 24, 0, 0, 24, 6, 24, 0, 0, 24, 6, 24, 0, 0, 24, 6, 24, 0, 0, 24, 6, 24, 0, 0, 24, 6, 25, 0, 0, 25, 6, 26, 0, 0, 26, 6, 27, 0, 0, 27,24, 24
128, 13, 36, 0, 0, 36, 13, 36, 0, 0, 36, 13, 37, 0, 0, 37, 12, 40, 0, 0, 40, 12, 57, 0, 0, 57, 13, 57, 0, 0, 57, 13, 58, 0, 0, 58, 13, 58, 0, 0, 58, 13, 58, 0, 0, 58, 12, 69, 0, 0, 69, 13, 87, 0, 0, 87, 13, 87, 0, 0, 87,56, 58
256, 26, 32, 1, 0, 33, 26, 42, 1, 0, 43, 26, 62, 1, 0, 63, 26, 67, 1, 0, 68, 26, 74, 1, 0, 75, 26, 77, 1, 0, 78, 26, 80, 1, 0, 81, 26, 81, 1, 0, 82, 26, 83, 1, 0, 84, 26, 83, 1, 0, 84, 26, 87, 1, 0, 88, 26, 88, 1, 0, 89,75, 81
512, 52, 53, 2, 0, 55, 52, 173, 2, 0, 175, 52, 173, 2, 0, 175, 52, 173, 2, 0, 175, 52, 177, 2, 0, 179, 52, 224, 2, 0, 226, 52, 293, 2, 0, 295, 53, 366, 2, 0, 368, 52, 366, 2, 0, 368, 52, 367, 2, 0, 369, 52, 368, 2, 0, 370, 52, 371, 2, 0, 373,270, 295
1024, 107, 95, 6, 0, 101, 107, 97, 6, 0, 103, 107, 97, 6, 0, 103, 107, 98, 6, 0, 104, 107, 98, 6, 0, 104, 107, 98, 6, 0, 104, 107, 99, 6, 0, 105, 107, 100, 6, 0, 106, 107, 102, 6, 0, 108, 107, 102, 6, 0, 108, 107, 241, 6, 0, 247, 107, 310, 6, 0, 316,119, 105
