scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 5, 4, 0, 0, 4,2, 2
1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2,2, 2
8, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 1, 2, 0, 0, 2, 1, 2, 0, 0, 2, 0, 3, 0, 0, 3, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8,6, 8
16, 1, 4, 0, 0, 4, 1, 4, 0, 0, 4, 1, 5, 0, 0, 5, 1, 5, 0, 0, 5, 1, 5, 0, 0, 5, 1, 5, 0, 0, 5, 1, 6, 0, 0, 6, 1, 6, 0, 0, 6, 1, 6, 0, 0, 6, 1, 7, 0, 0, 7, 1, 11, 0, 0, 11, 1, 16, 0, 0, 16,6, 6
32, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 9, 0, 0, 9, 3, 10, 0, 0, 10,9, 9
64, 6, 18, 0, 0, 18, 6, 23, 0, 0, 23, 6, 23, 0, 0, 23, 6, 23, 0, 0, 23, 6, 24, 0, 0, 24, 6, 24, 0, 0, 24, 6, 24, 0, 0, 24, 6, 25, 0, 0, 25, 6, 25, 0, 0, 25, 6, 26, 0, 0, 26, 6, 27, 0, 0, 27, 6, 29, 0, 0, 29,24, 24
128, 13, 15, 0, 0, 15, 12, 40, 0, 0, 40, 13, 56, 0, 0, 56, 12, 57, 0, 0, 57, 12, 58, 0, 0, 58, 13, 58, 0, 0, 58, 13, 58, 0, 0, 58, 13, 58, 0, 0, 58, 12, 58, 0, 0, 58, 12, 59, 0, 0, 59, 12, 59, 0, 0, 59, 13, 89, 0, 0, 89,56, 58
256, 27, 30, 1, 0, 31, 27, 68, 1, 0, 69, 27, 74, 1, 0, 75, 27, 74, 1, 0, 75, 27, 75, 1, 0, 76, 27, 77, 1, 0, 78, 27, 78, 1, 0, 79, 27, 80, 1, 0, 81, 27, 83, 1, 0, 84, 27, 85, 1, 0, 86, 27, 87, 1, 0, 88, 27, 157, 1, 0, 158,79, 79
512, 54, 51, 2, 0, 53, 53, 53, 2, 0, 55, 53, 55, 2, 0, 57, 53, 58, 2, 0, 60, 53, 143, 2, 0, 145, 53, 173, 2, 0, 175, 53, 173, 2, 0, 175, 53, 218, 2, 0, 220, 53, 292, 2, 0, 294, 53, 367, 2, 0, 369, 53, 367, 2, 0, 369, 53, 367, 2, 0, 369,192, 175
1024, 110, 97, 6, 0, 103, 110, 98, 6, 0, 104, 110, 98, 6, 0, 104, 110, 101, 6, 0, 107, 110, 101, 6, 0, 107, 110, 101, 6, 0, 107, 110, 102, 6, 0, 108, 110, 103, 6, 0, 109, 110, 105, 6, 0, 111, 110, 244, 6, 0, 250, 110, 298, 6, 0, 304, 110, 408, 6, 0, 414,141, 108
