scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 12, 0, 0, 13, 0, 12, 0, 0, 13, 0, 12, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 14, 0, 13, 0, 0, 14, 0, 14, 0, 0, 15, 0, 15, 0, 0, 15, 0, 16, 0, 0, 17, 0, 16, 0, 0, 17, 10, 36, 2, 0, 38,14, 14
1, 0, 12, 0, 0, 12, 0, 12, 0, 0, 12, 0, 15, 0, 0, 16, 0, 15, 0, 0, 16, 0, 15, 0, 0, 16, 0, 15, 0, 0, 16, 0, 16, 0, 0, 16, 0, 16, 0, 0, 17, 0, 16, 0, 0, 17, 0, 16, 0, 0, 17, 0, 16, 0, 0, 17, 0, 16, 0, 0, 17,16, 16
8, 1, 25, 2, 0, 27, 1, 27, 2, 0, 29, 1, 29, 2, 0, 31, 1, 36, 2, 0, 38, 1, 41, 2, 0, 43, 1, 46, 2, 0, 48, 1, 47, 2, 0, 49, 1, 54, 2, 0, 56, 1, 56, 2, 0, 58, 1, 80, 2, 0, 82, 1, 90, 2, 0, 92, 1, 94, 2, 0, 96,53, 49
16, 3, 60, 3, 0, 63, 3, 62, 3, 0, 65, 3, 63, 3, 0, 66, 3, 64, 3, 0, 67, 3, 67, 3, 0, 70, 3, 68, 3, 0, 71, 3, 73, 3, 0, 76, 3, 80, 3, 0, 83, 3, 98, 3, 0, 101, 3, 110, 3, 0, 113, 3, 147, 3, 0, 150, 3, 173, 3, 0, 176,86, 76
32, 7, 112, 6, 0, 118, 7, 154, 6, 0, 160, 7, 170, 6, 0, 176, 7, 212, 6, 0, 218, 6, 213, 6, 0, 219, 7, 223, 6, 0, 229, 7, 238, 6, 0, 244, 7, 247, 6, 0, 253, 7, 255, 6, 0, 261, 7, 280, 6, 0, 286, 7, 293, 6, 0, 299, 7, 296, 6, 0, 302,235, 244
64, 12, 380, 11, 0, 391, 12, 455, 11, 0, 466, 12, 468, 11, 0, 479, 12, 480, 11, 0, 491, 12, 504, 11, 0, 515, 12, 511, 11, 0, 522, 12, 527, 11, 0, 538, 12, 558, 11, 0, 569, 12, 579, 11, 0, 590, 12, 698, 11, 0, 709, 12, 699, 11, 0, 710, 12, 707, 11, 0, 718,559, 538
128, 28, 580, 25, 0, 605, 28, 805, 25, 0, 830, 28, 974, 25, 0, 999, 28, 1219, 25, 0, 1244, 28, 1304, 25, 0, 1329, 28, 1379, 25, 0, 1404, 28, 1381, 25, 0, 1406, 28, 1472, 25, 0, 1497, 28, 1644, 25, 0, 1669, 28, 1748, 25, 0, 1773, 28, 1824, 25, 0, 1849, 28, 1869, 25, 0, 1894,1400, 1406
256, 52, 928, 45, 0, 973, 52, 1044, 45, 0, 1089, 52, 1137, 45, 0, 1182, 52, 1161, 45, 0, 1206, 52, 1302, 45, 0, 1347, 52, 1351, 45, 0, 1396, 52, 1362, 45, 0, 1407, 52, 1422, 45, 0, 1467, 52, 1436, 45, 0, 1481, 52, 1446, 45, 0, 1491, 52, 1503, 45, 0, 1548, 52, 1830, 45, 0, 1875,1361, 1407
512, 108, 2091, 92, 0, 2183, 108, 2103, 92, 0, 2195, 108, 2170, 92, 0, 2262, 108, 2273, 92, 0, 2365, 108, 2398, 92, 0, 2490, 108, 2443, 92, 0, 2535, 108, 2453, 92, 0, 2545, 108, 2461, 92, 0, 2553, 108, 2467, 92, 0, 2559, 108, 2498, 92, 0, 2590, 108, 2573, 92, 0, 2665, 108, 2630, 92, 0, 2722,2476, 2545
1024, 210, 5065, 175, 0, 5240, 210, 5145, 175, 0, 5320, 196, 5180, 175, 0, 5355, 210, 5258, 175, 0, 5433, 210, 5287, 175, 0, 5462, 210, 5338, 175, 0, 5513, 210, 5373, 175, 0, 5548, 210, 5402, 175, 0, 5577, 210, 5422, 175, 0, 5597, 210, 5460, 175, 0, 5635, 210, 5475, 175, 0, 5650, 210, 5477, 175, 0, 5652,5509, 5548
