scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 6, 0, 0, 6, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7,5, 7
1, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7,7, 7
8, 1, 34, 0, 0, 34, 1, 34, 0, 0, 34, 1, 34, 0, 0, 34, 1, 35, 0, 0, 35, 1, 35, 0, 0, 35, 1, 38, 0, 0, 38, 1, 38, 0, 0, 38, 1, 38, 0, 0, 38, 1, 39, 0, 0, 39, 1, 39, 0, 0, 39, 1, 39, 0, 0, 39, 1, 44, 0, 0, 44,37, 38
16, 3, 38, 0, 0, 38, 3, 38, 0, 0, 38, 3, 38, 0, 0, 38, 2, 39, 0, 0, 39, 3, 40, 0, 0, 40, 2, 46, 0, 0, 46, 3, 46, 0, 0, 46, 3, 48, 0, 0, 48, 2, 48, 0, 0, 48, 3, 48, 0, 0, 48, 3, 48, 0, 0, 48, 3, 51, 0, 0, 51,44, 46
32, 7, 43, 0, 0, 43, 7, 43, 0, 0, 43, 7, 44, 0, 0, 44, 7, 44, 0, 0, 44, 7, 45, 0, 0, 45, 7, 45, 0, 0, 45, 7, 46, 0, 0, 46, 7, 47, 0, 0, 47, 7, 47, 0, 0, 47, 7, 47, 0, 0, 47, 6, 55, 0, 0, 55, 5, 77, 0, 0, 77,46, 46
64, 12, 75, 0, 0, 75, 12, 76, 0, 0, 76, 12, 76, 0, 0, 76, 12, 79, 0, 0, 79, 12, 101, 0, 0, 101, 12, 101, 0, 0, 101, 12, 104, 0, 0, 104, 12, 109, 0, 0, 109, 12, 110, 0, 0, 110, 12, 113, 0, 0, 113, 12, 116, 0, 0, 116, 12, 148, 0, 0, 148,98, 104
128, 28, 172, 0, 0, 172, 28, 174, 0, 0, 174, 28, 175, 0, 0, 175, 28, 201, 0, 0, 201, 28, 210, 0, 0, 210, 28, 218, 0, 0, 218, 28, 244, 0, 0, 244, 28, 260, 0, 0, 260, 28, 295, 0, 0, 295, 28, 306, 0, 0, 306, 28, 343, 0, 0, 343, 28, 353, 0, 0, 353,243, 244
256, 52, 302, 0, 0, 302, 52, 304, 0, 0, 304, 52, 331, 0, 0, 331, 52, 349, 0, 0, 349, 52, 383, 0, 0, 383, 52, 392, 0, 0, 392, 52, 409, 0, 0, 409, 52, 410, 0, 0, 410, 52, 420, 0, 0, 420, 52, 442, 0, 0, 442, 52, 448, 0, 0, 448, 52, 537, 0, 0, 537,389, 409
512, 108, 639, 0, 0, 639, 108, 643, 0, 0, 643, 108, 658, 0, 0, 658, 108, 661, 0, 0, 661, 108, 663, 0, 0, 663, 108, 669, 0, 0, 669, 108, 670, 0, 0, 670, 108, 673, 0, 0, 673, 108, 676, 0, 0, 676, 108, 682, 0, 0, 682, 98, 688, 0, 0, 688, 108, 708, 0, 0, 708,668, 670
1024, 210, 1248, 0, 0, 1248, 210, 1264, 0, 0, 1264, 210, 1327, 0, 0, 1327, 210, 1332, 0, 0, 1332, 210, 1334, 0, 0, 1334, 210, 1341, 0, 0, 1341, 210, 1343, 0, 0, 1343, 210, 1347, 0, 0, 1347, 210, 1347, 0, 0, 1347, 210, 1349, 0, 0, 1349, 171, 1361, 0, 0, 1361, 210, 1423, 0, 0, 1423,1334, 1343
2048, 435, 2523, 0, 0, 2523, 435, 2524, 0, 0, 2524, 435, 2529, 0, 0, 2529, 435, 2548, 0, 0, 2548, 360, 2553, 0, 0, 2553, 435, 2628, 0, 0, 2628, 435, 2632, 0, 0, 2632, 435, 2642, 0, 0, 2642, 435, 2691, 0, 0, 2691, 435, 2709, 0, 0, 2709, 435, 2724, 0, 0, 2724, 435, 2772, 0, 0, 2772,2618, 2632
4096, 737, 4966, 0, 0, 4966, 736, 4971, 0, 0, 4971, 681, 4991, 0, 0, 4991, 737, 4999, 0, 0, 4999, 742, 5019, 0, 0, 5019, 740, 5031, 0, 0, 5031, 738, 5046, 0, 0, 5046, 737, 5094, 0, 0, 5094, 740, 5098, 0, 0, 5098, 740, 5147, 0, 0, 5147, 738, 5161, 0, 0, 5161, 739, 5203, 0, 0, 5203,5055, 5046
8192, 1411, 9714, 0, 0, 9714, -8492, 9740, 0, 0, 9740, -8485, 9762, 0, 0, 9762, -8493, 9766, 0, 0, 9766, -8497, 9767, 0, 0, 9767, -8494, 9778, 0, 0, 9778, -8495, 9787, 0, 0, 9787, -8491, 9790, 0, 0, 9790, -8498, 9790, 0, 0, 9790, -8491, 9791, 0, 0, 9791, -8503, 9796, 0, 0, 9796, -8497, 9809, 0, 0, 9809,9776, 9787
