scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 6, 2, 0, 0, 2, 0, 3, 0, 0, 3, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9,8, 8
1, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8,8, 8
8, 4, 18, 0, 0, 18, 4, 20, 0, 0, 20, 4, 21, 0, 0, 21, 4, 22, 0, 0, 22, 4, 24, 0, 0, 24, 4, 24, 0, 0, 24, 4, 27, 0, 0, 27, 4, 32, 0, 0, 32, 4, 32, 0, 0, 32, 4, 32, 0, 0, 32, 4, 34, 0, 0, 34, 4, 51, 0, 0, 51,27, 27
16, 8, 20, 0, 0, 20, 8, 32, 0, 0, 32, 8, 36, 0, 0, 36, 8, 39, 0, 0, 39, 8, 40, 0, 0, 40, 8, 43, 0, 0, 43, 8, 43, 0, 0, 43, 8, 43, 0, 0, 43, 8, 47, 0, 0, 47, 8, 47, 0, 0, 47, 8, 48, 0, 0, 48, 8, 49, 0, 0, 49,42, 43
32, 18, 27, 0, 0, 27, 18, 37, 0, 0, 37, 18, 72, 0, 0, 72, 18, 72, 0, 0, 72, 18, 72, 0, 0, 72, 18, 73, 0, 0, 73, 18, 75, 0, 0, 75, 18, 76, 0, 0, 76, 18, 76, 0, 0, 76, 18, 76, 0, 0, 76, 18, 81, 0, 0, 81, 18, 90, 0, 0, 90,71, 75
64, 32, 35, 1, 0, 36, 32, 41, 1, 0, 42, 32, 53, 1, 0, 54, 32, 135, 1, 0, 136, 32, 136, 1, 0, 137, 32, 139, 1, 0, 140, 32, 142, 1, 0, 143, 32, 144, 1, 0, 145, 32, 147, 1, 0, 148, 32, 149, 1, 0, 150, 32, 185, 1, 0, 186, 32, 253, 1, 0, 254,128, 143
128, 73, 78, 2, 0, 80, 73, 80, 2, 0, 82, 73, 82, 2, 0, 84, 73, 83, 2, 0, 85, 73, 85, 2, 0, 87, 73, 87, 2, 0, 89, 73, 88, 2, 0, 90, 73, 88, 2, 0, 90, 73, 91, 2, 0, 93, 73, 354, 2, 0, 356, 73, 428, 2, 0, 430, 73, 524, 2, 0, 526,148, 90
256, 133, 437, 6, 0, 443, 133, 511, 6, 0, 517, 133, 514, 6, 0, 520, 133, 516, 6, 0, 522, 133, 516, 6, 0, 522, 133, 516, 6, 0, 522, 133, 516, 6, 0, 522, 133, 517, 6, 0, 523, 133, 519, 6, 0, 525, 133, 580, 6, 0, 586, 133, 737, 6, 0, 743, 133, 831, 6, 0, 837,550, 522
512, 297, 610, 12, 0, 622, 281, 1081, 12, 0, 1093, 281, 1110, 12, 0, 1122, 281, 1110, 12, 0, 1122, 281, 1112, 12, 0, 1124, 281, 1128, 12, 0, 1140, 281, 1154, 12, 0, 1166, 281, 1185, 12, 0, 1197, 281, 1211, 12, 0, 1223, 281, 1213, 12, 0, 1225, 281, 1214, 12, 0, 1226, 281, 1244, 12, 0, 1256,1163, 1166
1024, 254, 2070, 22, 0, 2092, 540, 2111, 22, 0, 2133, 341, 2120, 22, 0, 2142, 208, 2162, 22, 0, 2184, 341, 2170, 22, 0, 2192, 540, 2172, 22, 0, 2194, 540, 2174, 22, 0, 2196, 340, 2195, 22, 0, 2217, 340, 2197, 22, 0, 2219, 340, 2238, 22, 0, 2260, 340, 2350, 22, 0, 2372, 339, 2364, 22, 0, 2386,2210, 2196
