scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 6, 2, 0, 0, 2, 0, 3, 0, 0, 3, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9, 0, 9, 0, 0, 9,8, 8
1, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8,8, 8
8, 4, 23, 0, 0, 23, 4, 28, 0, 0, 28, 4, 32, 0, 0, 32, 4, 32, 0, 0, 32, 4, 33, 0, 0, 33, 4, 33, 0, 0, 33, 4, 33, 0, 0, 33, 4, 33, 0, 0, 33, 4, 33, 0, 0, 33, 4, 34, 0, 0, 34, 4, 34, 0, 0, 34, 4, 53, 0, 0, 53,33, 33
16, 8, 39, 0, 0, 39, 8, 39, 0, 0, 39, 8, 41, 0, 0, 41, 8, 42, 0, 0, 42, 8, 42, 0, 0, 42, 8, 43, 0, 0, 43, 8, 43, 0, 0, 43, 8, 47, 0, 0, 47, 8, 49, 0, 0, 49, 8, 49, 0, 0, 49, 8, 52, 0, 0, 52, 8, 72, 0, 0, 72,45, 43
32, 18, 18, 0, 0, 18, 18, 19, 0, 0, 19, 18, 20, 0, 0, 20, 18, 32, 0, 0, 32, 18, 68, 0, 0, 68, 18, 74, 0, 0, 74, 18, 74, 0, 0, 74, 18, 76, 0, 0, 76, 18, 83, 0, 0, 83, 18, 100, 0, 0, 100, 18, 111, 0, 0, 111, 18, 115, 0, 0, 115,66, 74
64, 32, 40, 1, 0, 41, 32, 45, 1, 0, 46, 32, 47, 1, 0, 48, 32, 74, 1, 0, 75, 32, 129, 1, 0, 130, 32, 138, 1, 0, 139, 32, 140, 1, 0, 141, 32, 140, 1, 0, 141, 32, 141, 1, 0, 142, 32, 142, 1, 0, 143, 32, 146, 1, 0, 147, 32, 249, 1, 0, 250,115, 141
128, 73, 66, 2, 0, 68, 73, 72, 2, 0, 74, 73, 73, 2, 0, 75, 73, 75, 2, 0, 77, 73, 80, 2, 0, 82, 73, 82, 2, 0, 84, 73, 84, 2, 0, 86, 73, 94, 2, 0, 96, 73, 289, 2, 0, 291, 73, 355, 2, 0, 357, 73, 487, 2, 0, 489, 73, 537, 2, 0, 539,171, 86
256, 133, 98, 6, 0, 104, 133, 109, 6, 0, 115, 133, 112, 6, 0, 118, 133, 113, 6, 0, 119, 133, 118, 6, 0, 124, 133, 123, 6, 0, 129, 133, 129, 6, 0, 135, 133, 138, 6, 0, 144, 133, 180, 6, 0, 186, 133, 246, 6, 0, 252, 133, 267, 6, 0, 273, 133, 518, 6, 0, 524,159, 135
512, 314, 630, 12, 0, 642, 281, 1054, 12, 0, 1066, 281, 1069, 12, 0, 1081, 281, 1081, 12, 0, 1093, 281, 1094, 12, 0, 1106, 281, 1095, 12, 0, 1107, 281, 1098, 12, 0, 1110, 281, 1099, 12, 0, 1111, 281, 1100, 12, 0, 1112, 281, 1101, 12, 0, 1113, 281, 1102, 12, 0, 1114, 281, 1163, 12, 0, 1175,1101, 1110
1024, 540, 2078, 22, 0, 2100, 341, 2079, 22, 0, 2101, 540, 2104, 22, 0, 2126, 296, 2131, 22, 0, 2153, 340, 2142, 22, 0, 2164, 341, 2142, 22, 0, 2164, 339, 2143, 22, 0, 2165, 540, 2167, 22, 0, 2189, 340, 2179, 22, 0, 2201, 341, 2196, 22, 0, 2218, 340, 2252, 22, 0, 2274, 339, 2336, 22, 0, 2358,2175, 2165
2048, 782, 101, 44, 0, 145, 782, 101, 44, 0, 145, 783, 104, 44, 0, 148, 783, 108, 44, 0, 152, 784, 112, 44, 0, 156, 782, 118, 44, 0, 162, 781, 118, 44, 0, 162, 782, 119, 44, 0, 163, 781, 124, 44, 0, 168, 783, 128, 44, 0, 172, 801, 162, 44, 0, 206, 464, 2379, 44, 0, 2423,163, 162
4096, 999, -15, 88, 0, 72, 996, -9, 88, 0, 78, 1001, -9, 90, 0, 80, 1000, 0, 88, 0, 88, 999, 0, 88, 0, 88, 1001, 0, 89, 0, 88, 1003, 0, 88, 0, 88, 998, 1, 90, 0, 91, 1000, 4, 88, 0, 92, 999, 3, 91, 0, 94, 1000, 8, 88, 0, 96, 1028, 4113, 88, 0, 4201,88, 88
