scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.496528, 5.250672, 1.050012, 0.001087, 6.3006839999999995, 3.369644, 5.588841, 1.374149, 0.00102, 6.9629900000000005, 3.285082, 6.051734, 1.433957, 0.001047, 7.485690999999999, 3.535983, 6.678736, 1.290459, 0.00118, 7.969195, 3.758452, 6.766631, 1.3416, 0.001127, 8.108231, 4.068684, 7.989163, 1.376453, 0.001044, 9.365616, 4.583649, 8.612013, 1.420995, 0.001057, 10.033007999999999, 5.754843, 9.467354, 1.635599, 9.54E-4, 11.102953, 7.196737, 10.286082, 1.489477, 8.18E-4, 11.775559000000001, 9.259669, 13.54777, 1.524814, 0.001063, 15.072583999999999, 11.284937, 21.924504, 2.524111, 8.77E-4, 24.448615, 354.17923, 143.401997, 3.742392, 0.009964, 147.144389,11.2324442, 8.612013, 1.433957, 10.033007999999999
1, 2.386144, 3.919577, 0.788784, 0.001061, 4.708361, 2.466981, 4.165429, 0.647921, 0.001049, 4.81335, 2.719588, 4.069317, 0.747335, 0.001188, 4.8166519999999995, 2.477876, 3.9737, 0.910872, 0.001004, 4.884572, 2.559607, 4.164293, 0.731623, 0.001161, 4.895916, 2.570176, 4.210436, 0.848433, 0.001237, 5.058869, 2.577109, 4.325589, 0.73902, 0.001002, 5.064609, 2.816898, 4.306276, 0.821394, 0.001392, 5.12767, 3.350722, 5.09616, 1.245176, 0.001402, 6.341336, 3.262733, 6.191927, 0.877839, 0.001349, 7.0697659999999996, 2.972872, 7.672938, 0.83154, 0.00107, 8.504478, 3.149647, 9.94521, 1.002704, 0.001301, 10.947913999999999,5.657721799999999, 4.306276, 0.83154, 5.064609
8, 3.963451, 13.630156, 1.142318, 0.001012, 14.772473999999999, 3.868859, 14.398943, 1.120951, 9.49E-4, 15.519893999999999, 3.903899, 14.489789, 1.142506, 9.36E-4, 15.632295, 4.145295, 14.571413, 1.157389, 9.07E-4, 15.728802, 4.225649, 14.992749, 1.19502, 0.001352, 16.187769, 4.08529, 15.43671, 1.289981, 8.48E-4, 16.726691, 4.31631, 15.883431, 1.341623, 8.74E-4, 17.225054, 5.35288, 25.150936, 1.376488, 8.48E-4, 26.527424, 4.74782, 26.715969, 1.21727, 0.001115, 27.933239, 14.757463, 26.830364, 1.253015, 0.001118, 28.083379, 5.448135, 31.628616, 1.306409, 0.00133, 32.935025, 6.893781, 31.668329, 1.729759, 0.00153, 33.398088,21.2499572, 15.883431, 1.253015, 17.225054
16, 5.793001, 33.126246, 1.711995, 0.001183, 34.838241000000004, 5.494062, 40.266442, 1.654083, 0.001167, 41.920525, 5.553555, 40.454867, 1.655469, 9.69E-4, 42.110336000000004, 5.05051, 40.414296, 1.802509, 0.001028, 42.216805, 5.734436, 41.117255, 1.767506, 0.001164, 42.884761, 5.775076, 41.37905, 1.682085, 0.00114, 43.061135, 5.463233, 41.267139, 1.885074, 0.001091, 43.152213, 5.417677, 43.411243, 1.750431, 9.74E-4, 45.161674, 5.512427, 44.015681, 1.728508, 0.001199, 45.744189, 12.494006, 53.696718, 1.460083, 0.001013, 55.156800999999994, 6.650002, 54.648611, 1.731867, 9.49E-4, 56.380478000000004, 6.932003, 63.045009, 1.800939, 9.56E-4, 64.845948,45.778891699999996, 41.37905, 1.731867, 43.152213
32, 8.93284, 72.725529, 3.161581, 0.001073, 75.88710999999999, 8.96614, 72.80529, 3.170051, 0.001014, 75.975341, 8.723071, 73.128117, 3.337839, 9.95E-4, 76.465956, 8.740957, 73.67196, 3.110643, 9.96E-4, 76.782603, 8.872493, 74.006204, 3.175098, 9.23E-4, 77.181302, 8.662643, 74.562912, 3.110839, 9.24E-4, 77.673751, 8.590181, 75.266375, 3.143841, 0.001651, 78.41021599999999, 9.022627, 76.403737, 3.198347, 0.001333, 79.602084, 8.632375, 83.235357, 3.251579, 0.001104, 86.486936, 8.810423, 83.606314, 3.229818, 0.001195, 86.83613199999999, 10.982984, 99.899599, 3.222976, 0.00102, 103.122575, 15.46217, 102.090467, 2.298987, 0.001012, 104.389454,81.85368960000001, 75.266375, 3.198347, 78.41021599999999
64, 15.139576, 99.837222, 6.69234, 9.83E-4, 106.529562, 15.770523, 100.41201, 6.799475, 0.001342, 107.211485, 15.620272, 135.820653, 6.568696, 9.26E-4, 142.38934899999998, 15.422789, 141.785687, 5.93133, 0.001056, 147.717017, 15.160437, 142.53591, 5.919214, 0.001167, 148.455124, 15.122962, 143.198531, 6.731652, 9.97E-4, 149.930183, 15.385742, 144.238181, 6.34566, 0.001052, 150.583841, 15.350461, 146.384855, 6.226842, 9.81E-4, 152.611697, 14.909563, 148.57912, 5.988618, 0.001008, 154.567738, 15.640643, 148.611919, 6.169008, 9.84E-4, 154.780927, 15.257744, 161.904559, 5.803655, 9.23E-4, 167.708214, 21.991661, 169.592593, 4.686434, 0.001001, 174.27902699999999,147.59555749999998, 144.238181, 6.226842, 150.583841
128, 33.632352, 280.858064, 14.034791, 9.83E-4, 294.892855, 33.23983, 283.162751, 12.790549, 0.001022, 295.9533, 28.713243, 285.279844, 12.301181, 0.001034, 297.581025, 33.922709, 285.816103, 12.651179, 0.001059, 298.467282, 29.189171, 291.345076, 12.918592, 0.001192, 304.263668, 33.447085, 291.798166, 13.451224, 0.001126, 305.24939, 29.507538, 293.321039, 12.702598, 0.001032, 306.023637, 29.892724, 293.67541, 12.400436, 0.001004, 306.075846, 28.620611, 295.680082, 12.595589, 0.001309, 308.27567100000005, 29.58651, 299.015213, 13.14749, 0.001038, 312.162703, 29.159674, 345.061005, 13.306955, 9.99E-4, 358.36796000000004, 34.114777, 357.847804, 8.79564, 0.001054, 366.643444,309.2420482, 293.321039, 12.790549, 306.023637
256, 58.360182, 583.870059, 33.305409, 0.001088, 617.1754679999999, 58.3482, 583.779573, 33.867718, 0.001227, 617.647291, 58.56543, 589.228183, 33.463221, 0.001071, 622.6914039999999, 58.317968, 589.989715, 33.140202, 0.001343, 623.1299170000001, 56.613131, 593.917479, 31.328565, 0.001001, 625.246044, 57.917903, 598.007337, 32.755577, 0.001081, 630.762914, 62.745173, 599.949357, 31.212404, 0.001278, 631.161761, 56.445539, 600.36814, 31.844178, 0.001277, 632.2123180000001, 66.767603, 601.178683, 36.417048, 0.00113, 637.595731, 58.317945, 634.592602, 35.454398, 0.001072, 670.047, 58.003009, 640.294372, 32.762902, 0.001089, 673.057274, 61.132782, 798.778368, 22.180732, 0.00119, 820.9591,636.3551654, 599.949357, 33.140202, 631.161761
512, 127.638299, 1219.760274, 74.368677, 0.001092, 1294.128951, 126.048791, 1252.557368, 68.065552, 0.001065, 1320.62292, 125.639823, 1252.358498, 68.607955, 0.001074, 1320.966453, 119.591099, 1260.895823, 68.418951, 0.001199, 1329.3147740000002, 123.431767, 1261.575708, 68.540338, 0.001114, 1330.116046, 120.505449, 1280.139637, 67.106186, 0.001082, 1347.245823, 125.915124, 1287.897681, 68.38232, 9.78E-4, 1356.2800009999999, 118.937767, 1299.817255, 70.661729, 0.001079, 1370.4789839999999, 119.652282, 1309.931405, 73.972629, 0.001738, 1383.9040340000001, 119.728649, 1316.890659, 69.234765, 0.001198, 1386.1254239999998, 118.28871, 1585.571151, 71.501616, 0.001122, 1657.072767, 121.545608, 1623.649958, 50.773934, 0.001179, 1674.423892,1380.2127226, 1287.897681, 68.607955, 1356.2800009999999
1024, 293.505122, 3216.56105, 189.923714, 9.94E-4, 3406.484764, 274.428776, 3222.35338, 184.79861, 0.001466, 3407.15199, 266.147912, 3238.213697, 192.747863, 0.001076, 3430.96156, 262.068212, 3249.07771, 184.390119, 0.001171, 3433.467829, 263.312204, 3273.85859, 179.192458, 0.001099, 3453.051048, 262.185104, 3266.781349, 187.663932, 0.001832, 3454.445281, 254.691905, 3265.609363, 191.323318, 0.001125, 3456.9326810000002, 265.289109, 3267.108296, 191.347641, 0.00118, 3458.4559369999997, 265.344841, 3271.052891, 190.239405, 9.78E-4, 3461.2922959999996, 271.165333, 3271.374168, 192.532548, 0.00112, 3463.906716, 302.920364, 3464.96004, 174.883625, 9.77E-4, 3639.843665, 247.710054, 3515.395867, 140.144443, 0.001195, 3655.5403100000003,3465.9509002999994, 3267.108296, 190.239405, 3456.9326810000002
