scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.469453, 5.437835, 1.294009, 0.001634, 6.731844, 3.174237, 5.624317, 1.273254, 0.001252, 6.897570999999999, 3.434639, 5.87063, 1.405416, 0.00113, 7.276046, 3.856351, 8.211097, 1.416752, 0.001107, 9.627849000000001, 3.946222, 8.46762, 1.427984, 0.001177, 9.895604, 4.080023, 9.093369, 1.380981, 0.001172, 10.47435, 4.751408, 9.179717, 1.606455, 0.001106, 10.786172, 5.632888, 9.581027, 1.517878, 0.001137, 11.098905, 7.533009, 11.137922, 1.652035, 9.63E-4, 12.789957, 9.173735, 13.597292, 1.706228, 7.5E-4, 15.303519999999999, 11.48218, 24.485057, 2.418089, 7.64E-4, 26.903146, 338.063106, 144.530852, 4.200794, 0.009174, 148.731646,12.105312000000001, 9.179717, 1.517878, 10.786172
1, 2.355226, 4.055658, 0.726908, 0.001197, 4.782566, 2.649346, 4.155395, 0.757394, 0.001206, 4.912789, 2.487544, 4.25866, 0.715022, 0.001417, 4.973682, 2.726723, 4.286024, 0.744523, 9.15E-4, 5.030547, 2.600436, 4.184364, 0.879502, 0.001072, 5.063866000000001, 2.545059, 4.348264, 0.764717, 0.001223, 5.112981, 2.541984, 4.356262, 0.769636, 0.001093, 5.125898, 2.548038, 4.460131, 0.883689, 0.00131, 5.343819999999999, 3.227031, 4.747517, 0.820017, 0.001214, 5.567534, 3.128667, 4.670621, 0.957519, 0.001145, 5.62814, 3.273675, 4.893084, 0.917837, 0.001076, 5.8109210000000004, 3.235776, 5.020725, 1.012708, 0.001064, 6.033433,5.257017800000001, 4.356262, 0.820017, 5.125898
8, 3.950065, 14.503743, 1.129502, 0.001036, 15.633245, 4.058067, 15.458992, 1.113777, 0.001118, 16.572769, 4.242142, 15.41495, 1.178787, 8.84E-4, 16.593737, 4.017028, 15.69794, 1.146414, 0.001128, 16.844354, 3.985924, 15.769163, 1.293002, 0.001059, 17.062165, 4.244555, 16.02893, 1.1762, 0.001067, 17.20513, 4.846175, 16.372574, 1.320074, 9.62E-4, 17.692648, 5.015163, 17.435547, 1.222317, 0.001031, 18.657864, 4.987444, 17.664378, 1.402307, 8.75E-4, 19.066685, 6.031378, 27.300047, 1.18303, 8.32E-4, 28.483076999999998, 15.461234, 41.382788, 1.256674, 0.001053, 42.639461999999995, 7.054, 42.75165, 1.515232, 8.7E-4, 44.266881999999995,21.081789099999998, 16.372574, 1.222317, 17.692648
16, 5.51206, 40.646859, 1.725212, 9.13E-4, 42.372071, 6.08544, 40.784732, 1.762406, 0.001019, 42.547138, 5.370233, 40.886182, 1.866897, 0.001124, 42.753079, 5.187341, 40.973018, 1.803869, 0.001052, 42.776887, 5.570723, 41.207618, 1.691634, 0.001182, 42.899252, 5.761593, 41.348638, 1.674378, 0.001071, 43.023016, 5.147221, 44.095727, 1.687676, 0.001073, 45.783403, 5.462083, 44.296023, 1.762152, 0.001113, 46.058175, 5.485142, 45.288206, 1.799757, 0.001052, 47.087963, 12.611363, 52.656027, 1.460993, 0.001186, 54.117020000000004, 6.612291, 55.338928, 1.740477, 0.001085, 57.079405, 7.374915, 60.250924, 1.904658, 0.001133, 62.155581999999995,46.412533800000006, 44.095727, 1.762152, 45.783403
32, 8.686437, 74.43312, 3.10207, 0.001214, 77.53519, 8.91739, 74.959256, 3.094196, 9.96E-4, 78.053452, 8.600846, 75.076439, 3.088225, 0.001234, 78.16466399999999, 9.00712, 75.568272, 3.15206, 0.001062, 78.720332, 8.671506, 75.7409, 3.140866, 0.001042, 78.881766, 8.621574, 76.003522, 3.145003, 0.001179, 79.148525, 8.978542, 76.808643, 3.135931, 0.001271, 79.944574, 10.089744, 84.84636, 3.167447, 0.001013, 88.013807, 8.609827, 86.014257, 3.205558, 0.001114, 89.219815, 8.624311, 86.461971, 3.190255, 0.00128, 89.652226, 11.00911, 98.862967, 3.159245, 0.001036, 102.022212, 16.175655, 103.121716, 2.584699, 0.001059, 105.706415,84.1821373, 76.808643, 3.15206, 79.944574
64, 15.199725, 105.031171, 6.890737, 9.72E-4, 111.921908, 15.43726, 134.218177, 6.448969, 0.001336, 140.667146, 16.203416, 144.604975, 6.489088, 0.001183, 151.094063, 15.41923, 145.383122, 5.790728, 8.98E-4, 151.17385, 15.256284, 149.125154, 5.858241, 0.001082, 154.983395, 15.108668, 149.517905, 6.037485, 9.02E-4, 155.55539000000002, 15.052581, 150.618819, 5.764637, 9.75E-4, 156.383456, 15.227599, 152.301513, 5.78967, 0.001165, 158.091183, 18.045296, 152.706553, 5.800633, 0.001082, 158.50718600000002, 15.348357, 154.19388, 6.110192, 0.001163, 160.30407200000002, 15.415174, 155.169227, 5.838879, 8.38E-4, 161.008106, 20.938839, 175.988332, 4.47703, 0.001331, 180.46536200000003,154.77678470000004, 150.618819, 5.858241, 156.383456
128, 28.799737, 287.801545, 12.144336, 0.003246, 299.945881, 28.682504, 288.174489, 12.459028, 0.001081, 300.633517, 28.706608, 288.580719, 12.336985, 0.001114, 300.917704, 33.406323, 294.299224, 12.225498, 0.001147, 306.524722, 28.863778, 302.676296, 12.709219, 0.001122, 315.385515, 29.04638, 304.575704, 12.764453, 0.001085, 317.340157, 28.848793, 305.64107, 12.129908, 0.001468, 317.770978, 29.252084, 306.067163, 12.744073, 0.001176, 318.811236, 28.830437, 314.151879, 12.847802, 0.001286, 326.999681, 29.177234, 314.674091, 12.461788, 0.001258, 327.135879, 28.89941, 316.712891, 12.625245, 0.001166, 329.338136, 39.241914, 360.982186, 8.853547, 0.001101, 369.835733,316.08575249999996, 305.64107, 12.625245, 317.770978
256, 58.678281, 582.506627, 30.310213, 0.001033, 612.81684, 59.075607, 591.930566, 30.892724, 0.001173, 622.82329, 61.808641, 593.303166, 30.599653, 0.002911, 623.902819, 64.215666, 589.806564, 35.383703, 0.001142, 625.190267, 58.878428, 594.978751, 32.321514, 0.001151, 627.300265, 59.5052, 598.295325, 32.69446, 0.001012, 630.9897850000001, 58.443382, 607.521162, 31.094236, 0.001043, 638.615398, 58.197084, 611.615949, 30.493861, 9.79E-4, 642.10981, 58.518016, 615.988718, 31.635611, 0.00291, 647.624329, 58.346662, 620.109371, 31.212212, 0.001058, 651.321583, 58.761175, 649.101776, 34.112237, 0.00119, 683.214013, 64.241366, 789.752398, 22.466864, 0.001133, 812.219262,639.3091559000001, 607.521162, 31.635611, 638.615398
512, 121.579564, 1245.512732, 68.328668, 0.001133, 1313.8413999999998, 121.687953, 1250.775963, 67.592056, 0.001194, 1318.368019, 126.227753, 1271.138318, 69.666598, 0.001253, 1340.804916, 126.333928, 1283.904373, 67.745607, 0.001016, 1351.6499800000001, 131.898612, 1293.762089, 71.932897, 0.001044, 1365.694986, 124.827458, 1327.22746, 68.127668, 0.001054, 1395.3551280000001, 119.682656, 1447.535226, 69.299451, 0.001158, 1516.834677, 118.818517, 1478.58186, 67.838728, 0.001046, 1546.420588, 127.125258, 1501.190333, 62.151509, 0.00117, 1563.341842, 115.73753, 1498.106232, 71.835617, 0.001231, 1569.941849, 118.905349, 1528.665552, 67.578294, 0.001189, 1596.2438459999998, 120.875144, 1600.347156, 49.35621, 0.001295, 1649.703366,1456.4655831000002, 1447.535226, 68.127668, 1516.834677
1024, 248.821569, 3248.334099, 123.773709, 0.001323, 3372.107808, 266.568565, 3197.786818, 181.915969, 0.001477, 3379.702787, 266.549207, 3218.555313, 172.831146, 7.32E-4, 3391.386459, 265.542498, 3270.223056, 184.848279, 0.001167, 3455.0713349999996, 272.188252, 3277.83458, 181.754081, 0.001455, 3459.5886610000002, 299.07256, 3274.850834, 187.021279, 0.001476, 3461.872113, 272.921941, 3279.403922, 185.005299, 0.001653, 3464.409221, 257.760581, 3286.513288, 182.00227, 0.001194, 3468.515558, 272.030996, 3329.757357, 180.167204, 0.00109, 3509.924561, 256.173577, 3353.524135, 174.668877, 0.001464, 3528.193012, 255.820426, 3362.676363, 175.986213, 0.00115, 3538.662576, 303.475553, 3598.263617, 170.447075, 0.001039, 3768.710692,3465.7326282999993, 3279.403922, 181.915969, 3464.409221
