scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.492851, 86.2654, 2.397188, 9.12E-4, 88.662588, 3.1268, 91.57515, 3.171948, 8.84E-4, 94.747098, 3.061002, 93.49024, 2.646722, 0.001061, 96.136962, 3.18557, 99.050012, 2.689682, 8.93E-4, 101.739694, 4.451849, 99.189646, 2.980442, 6.71E-4, 102.17008799999999, 3.725299, 105.64112, 2.722042, 7.05E-4, 108.363162, 3.085175, 106.794604, 2.443963, 8.89E-4, 109.238567, 6.880613, 113.457357, 3.114853, 6.28E-4, 116.57221, 5.401055, 119.054423, 2.979787, 8.14E-4, 122.03421, 9.323467, 143.584718, 3.304511, 6.9E-4, 146.889229, 11.593263, 188.633997, 4.270514, 6.57E-4, 192.90451099999999, 328.289742, 1356.827363, 16.582708, 0.009322, 1373.410071,119.07957309999999, 106.794604, 2.980442, 109.238567
1, 2.339215, 74.946957, 1.740669, 8.3E-4, 76.687626, 2.535892, 76.074663, 1.859274, 8.53E-4, 77.933937, 2.418295, 76.497065, 1.797781, 8.92E-4, 78.294846, 2.655782, 76.679802, 1.8939, 0.001151, 78.573702, 2.455424, 78.006782, 1.782998, 0.001161, 79.78978000000001, 2.493845, 78.428801, 1.908922, 8.64E-4, 80.33772300000001, 2.699261, 82.068057, 2.430184, 8.62E-4, 84.498241, 2.682269, 82.846664, 2.161383, 8.94E-4, 85.008047, 3.003168, 91.379792, 2.24336, 9.21E-4, 93.62315199999999, 2.850555, 94.15966, 2.633307, 9.01E-4, 96.792967, 2.922654, 103.453287, 3.289464, 9.06E-4, 106.742751, 2.910642, 113.466321, 2.523099, 0.001125, 115.98942,86.1595146, 82.068057, 2.161383, 84.498241
8, 3.937028, 178.012339, 1.970366, 9.59E-4, 179.982705, 4.045288, 180.331189, 2.098524, 9.4E-4, 182.429713, 3.950157, 181.153293, 1.967361, 9.66E-4, 183.120654, 4.107172, 183.595821, 2.071998, 9.32E-4, 185.667819, 4.11571, 186.277224, 1.984551, 9.01E-4, 188.261775, 4.039352, 186.856433, 2.048575, 8.77E-4, 188.905008, 5.098527, 189.097929, 2.051198, 9.19E-4, 191.149127, 4.940374, 190.679595, 2.468262, 9.02E-4, 193.14785700000002, 5.428415, 193.41522, 2.146901, 8.86E-4, 195.56212100000002, 6.201325, 198.697642, 2.056453, 8.92E-4, 200.754095, 7.692674, 212.786223, 2.731306, 9.27E-4, 215.517529, 13.681946, 235.246214, 3.930046, 9.37E-4, 239.17626,192.45156979999996, 189.097929, 2.071998, 191.149127
16, 6.098571, 323.317061, 2.002457, 0.001594, 325.319518, 5.564477, 326.94948, 1.937308, 9.23E-4, 328.88678799999997, 5.172757, 327.554572, 1.940289, 9.35E-4, 329.494861, 5.40885, 330.6149, 1.958116, 9.31E-4, 332.573016, 5.506828, 334.544189, 2.04863, 9.29E-4, 336.592819, 5.548064, 336.749179, 2.207872, 8.89E-4, 338.95705100000004, 5.537708, 344.246911, 1.950328, 0.001081, 346.197239, 5.022061, 346.593194, 1.964706, 9.81E-4, 348.55789999999996, 5.647373, 348.649645, 2.039795, 9.85E-4, 350.68944000000005, 5.896006, 349.167346, 2.073203, 9.59E-4, 351.240549, 14.807347, 357.540052, 2.101324, 9.47E-4, 359.641376, 7.741947, 386.739649, 1.924526, 9.95E-4, 388.664175,342.2831039, 344.246911, 2.039795, 346.197239
32, 8.608723, 594.616619, 2.027055, 0.001223, 596.643674, 8.981456, 600.177162, 1.975775, 0.001017, 602.152937, 8.898893, 602.372092, 2.042696, 9.35E-4, 604.4147879999999, 8.790314, 610.151067, 2.025594, 0.001141, 612.176661, 8.997208, 615.414675, 1.920512, 9.53E-4, 617.335187, 8.682975, 622.312192, 2.018755, 8.8E-4, 624.330947, 8.584446, 624.103258, 1.977185, 0.00113, 626.080443, 8.995677, 624.318696, 1.95308, 0.001032, 626.271776, 8.755992, 626.629863, 1.962403, 9.43E-4, 628.592266, 9.089532, 634.612388, 2.055181, 9.01E-4, 636.667569, 9.70077, 637.469183, 2.109977, 8.84E-4, 639.57916, 18.441466, 660.86482, 2.033411, 9.09E-4, 662.898231,621.7601734, 624.103258, 2.018755, 626.080443
64, 15.633947, 1212.387486, 2.100731, 0.001153, 1214.488217, 15.254619, 1219.055515, 1.956471, 0.001131, 1221.011986, 15.322035, 1219.353271, 2.051819, 0.001059, 1221.40509, 15.544423, 1227.605704, 1.930425, 0.001391, 1229.536129, 15.445593, 1228.280891, 1.917739, 0.001153, 1230.19863, 15.133479, 1236.872636, 1.986743, 0.001385, 1238.859379, 15.248925, 1246.688706, 2.067715, 0.001438, 1248.7564209999998, 15.305013, 1248.244038, 2.007876, 0.001022, 1250.251914, 15.982372, 1257.09635, 2.000691, 8.86E-4, 1259.097041, 15.340177, 1288.111279, 2.179208, 0.001081, 1290.290487, 15.357391, 1295.526186, 1.955746, 8.84E-4, 1297.4819320000001, 20.978367, 1351.703654, 2.077948, 0.001221, 1353.781602,1248.6889009000001, 1246.688706, 2.000691, 1248.7564209999998
128, 29.011646, 2874.756822, 1.914494, 9.29E-4, 2876.671316, 28.797653, 2881.918428, 1.842338, 9.94E-4, 2883.760766, 29.356407, 2894.336935, 2.076764, 9.82E-4, 2896.4136989999997, 29.778772, 2913.475131, 1.914436, 0.001085, 2915.389567, 28.919506, 2914.786316, 1.951532, 0.001276, 2916.737848, 28.81609, 2920.848415, 1.944293, 9.62E-4, 2922.792708, 29.825501, 2923.863762, 2.037635, 9.17E-4, 2925.901397, 30.072874, 2934.34405, 1.846674, 9.51E-4, 2936.190724, 29.555015, 2934.798818, 2.007431, 8.57E-4, 2936.806249, 28.879276, 2943.62101, 1.90095, 0.001032, 2945.52196, 29.378104, 2999.940521, 2.220314, 0.001253, 3002.160835, 35.409921, 3059.247923, 1.93805, 0.001124, 3061.185973,2928.1675753, 2923.863762, 1.951532, 2925.901397
256, 58.543734, 5801.589046, 3.527655, 9.45E-4, 5805.116701, 58.563113, 5899.588, 3.451417, 0.0012, 5903.039417, 58.746732, 6057.214743, 3.498389, 0.001509, 6060.713132000001, 56.730642, 6097.265022, 3.451137, 0.001371, 6100.716159, 60.136727, 6099.343846, 3.419387, 0.001522, 6102.763233, 60.754515, 6103.639479, 3.495923, 0.001395, 6107.135402000001, 58.586113, 6108.316777, 3.411722, 0.00128, 6111.728499, 64.859498, 6114.556153, 3.300452, 0.001091, 6117.856605000001, 58.937856, 6135.238398, 3.454001, 0.001067, 6138.6923990000005, 59.206357, 6159.887376, 3.424548, 0.001049, 6163.311924, 57.04882, 6225.358355, 3.756547, 0.001126, 6229.114902, 58.604598, 6760.456428, 4.398883, 0.001243, 6764.855311,6103.5071671999995, 6108.316777, 3.451417, 6111.728499
512, 119.214982, 14311.955295, 4.847305, 0.001044, 14316.802599999999, 118.103068, 14356.254679, 4.877208, 0.001206, 14361.131887, 118.913452, 14609.813697, 4.895648, 0.00112, 14614.709345, 120.970189, 14613.607468, 4.407303, 0.001314, 14618.014771, 118.383314, 14819.53916, 4.729963, 0.001155, 14824.269123, 119.354807, 14953.000244, 4.401362, 9.46E-4, 14957.401606000001, 118.067037, 15072.304501, 4.43526, 0.001518, 15076.739761, 118.079419, 15190.412895, 4.336136, 0.001243, 15194.749031, 118.287574, 15258.359062, 4.564403, 0.001094, 15262.923465, 120.909422, 15371.148271, 4.732356, 0.001233, 15375.880627, 117.776838, 15371.787537, 4.355733, 0.001217, 15376.14327, 124.457198, 15805.153933, 5.049716, 0.001121, 15810.203649,14966.1962886, 15072.304501, 4.564403, 15076.739761
1024, 257.864402, 42673.56985, 8.659116, 0.001361, 42682.228966, 278.670735, 43335.85178, 9.176601, 0.001554, 43345.028381, 241.311748, 44200.176197, 9.4632, 0.00104, 44209.639397, 244.644701, 45273.468923, 10.182312, 0.00163, 45283.651235, 258.394818, 45413.229838, 9.504939, 0.00117, 45422.734777, 243.280454, 45577.878824, 8.988991, 0.001171, 45586.867815, 290.306209, 45849.767215, 11.882241, 0.00132, 45861.649456, 255.831063, 46091.906011, 9.127542, 0.00129, 46101.033553, 237.541682, 46267.455002, 9.062053, 0.001125, 46276.517055000004, 273.426936, 46610.618363, 8.986392, 0.001222, 46619.604755, 241.448231, 47120.216313, 9.728552, 0.001605, 47129.944865, 246.604776, 53786.483346, 11.748626, 0.001549, 53798.231972,45583.66712889999, 45849.767215, 9.4632, 45861.649456
