scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.338836, 43.479434, 2.278031, 9.6E-4, 45.757464999999996, 3.209845, 44.145487, 2.191387, 9.09E-4, 46.336874, 3.313434, 48.161122, 2.610606, 9.64E-4, 50.771727999999996, 3.954254, 52.668129, 2.928483, 0.001191, 55.596612, 3.580599, 52.976846, 2.792349, 9.03E-4, 55.769195, 3.327984, 54.23577, 2.673676, 0.001254, 56.909446, 4.195418, 56.311211, 2.824732, 9.41E-4, 59.135943, 6.861294, 68.412379, 3.631527, 6.74E-4, 72.043906, 5.289146, 73.312253, 3.113599, 0.001222, 76.42585199999999, 9.313737, 76.779709, 3.544213, 8.55E-4, 80.323922, 11.818225, 119.0553, 4.345691, 9.06E-4, 123.400991, 337.956127, 1118.779012, 10.946727, 0.012008, 1129.725739,67.6714469, 56.311211, 2.928483, 59.135943
1, 2.437995, 33.676676, 1.46728, 9.47E-4, 35.143956, 2.396308, 34.793805, 1.501921, 8.67E-4, 36.295726, 2.601036, 35.214782, 1.985512, 9.23E-4, 37.200294, 2.548695, 35.626098, 1.656646, 0.001091, 37.282744, 2.740598, 36.027144, 1.724482, 8.7E-4, 37.751626, 2.671182, 37.178123, 1.586108, 9.26E-4, 38.764231, 3.081013, 38.302659, 1.6444, 8.61E-4, 39.947058999999996, 2.479041, 39.015685, 1.806064, 9.28E-4, 40.821749, 2.885742, 40.857468, 1.947109, 9.08E-4, 42.804576999999995, 2.778794, 42.646977, 1.864068, 9.43E-4, 44.511045, 2.859712, 47.661871, 2.272602, 0.001164, 49.934473, 3.248774, 57.943261, 3.099674, 0.001093, 61.042935,40.5313524, 38.302659, 1.806064, 39.947058999999996
8, 4.01056, 102.642625, 2.518373, 9.02E-4, 105.16099799999999, 4.133557, 103.568496, 2.72701, 8.87E-4, 106.29550599999999, 4.067253, 105.108316, 2.467484, 9.73E-4, 107.5758, 4.033423, 106.428696, 2.574038, 0.001181, 109.002734, 6.166493, 106.362811, 2.660006, 0.001404, 109.02281699999999, 5.804169, 107.17987, 2.865377, 0.001451, 110.04524699999999, 4.038, 107.342183, 2.724763, 9.01E-4, 110.066946, 4.838745, 108.545681, 2.652876, 9.83E-4, 111.19855700000001, 4.161319, 108.972124, 2.569172, 0.001076, 111.54129599999999, 6.225243, 108.958946, 2.812535, 8.94E-4, 111.771481, 7.708494, 139.399575, 2.820776, 9.88E-4, 142.220351, 14.20882, 172.685197, 6.82531, 8.83E-4, 179.510507,112.87407350000001, 107.342183, 2.724763, 110.066946
16, 5.114263, 239.028189, 2.219333, 9.72E-4, 241.247522, 5.31135, 241.052243, 2.196241, 0.001081, 243.248484, 5.118597, 241.372739, 2.322818, 9.35E-4, 243.695557, 5.453974, 245.729329, 2.234388, 0.001149, 247.963717, 5.371318, 246.384748, 2.270912, 0.001392, 248.65566, 5.372015, 248.775068, 2.24445, 9.59E-4, 251.019518, 5.521673, 249.762495, 2.252539, 9.48E-4, 252.015034, 5.462877, 252.185163, 2.175507, 0.001189, 254.36067, 5.812768, 254.381176, 2.360421, 9.36E-4, 256.741597, 15.055451, 256.046424, 4.789898, 0.00157, 260.836322, 7.371956, 268.165915, 2.248691, 9.13E-4, 270.414606, 5.973384, 270.816789, 2.398782, 9.42E-4, 273.215571,252.8951165, 249.762495, 2.252539, 252.015034
32, 8.589241, 430.623383, 3.08787, 0.001323, 433.711253, 8.56114, 431.537604, 2.924597, 9.08E-4, 434.462201, 8.881417, 433.855598, 3.285839, 9.22E-4, 437.141437, 8.733123, 435.174352, 3.120377, 0.001003, 438.294729, 8.735068, 437.637546, 3.115253, 9.32E-4, 440.752799, 9.046754, 439.264477, 3.008967, 0.00108, 442.273444, 8.814312, 440.826144, 3.156843, 0.001124, 443.982987, 8.426228, 442.8134, 3.118754, 9.7E-4, 445.932154, 8.981053, 452.306533, 3.055032, 9.43E-4, 455.361565, 16.687703, 460.779423, 3.254716, 9.63E-4, 464.034139, 8.685441, 462.873534, 2.929505, 8.79E-4, 465.803039, 9.402045, 486.896545, 3.418966, 9.24E-4, 490.315511,446.80384940000005, 440.826144, 3.118754, 443.982987
64, 15.350463, 1293.770811, 4.171327, 9.54E-4, 1297.942138, 15.079515, 1306.235528, 4.078496, 0.001105, 1310.314024, 15.394668, 1321.739164, 4.220475, 0.001294, 1325.9596390000002, 15.148804, 1345.405512, 4.050518, 0.001036, 1349.45603, 15.02207, 1348.116376, 4.040082, 0.001025, 1352.156458, 15.039759, 1372.290712, 4.225668, 0.001084, 1376.51638, 15.150537, 1374.14598, 4.013309, 0.001365, 1378.159289, 15.586972, 1374.043167, 4.20493, 0.001079, 1378.2480970000001, 14.884222, 1376.065108, 4.033589, 8.33E-4, 1380.098697, 15.471265, 1378.696822, 4.268134, 9.29E-4, 1382.964956, 14.93218, 1384.771712, 4.089893, 8.87E-4, 1388.861605, 22.204713, 1435.493179, 4.040613, 0.001068, 1439.533792,1362.2735175, 1374.043167, 4.089893, 1378.159289
128, 29.442267, 4278.220117, 5.720135, 9.91E-4, 4283.940251999999, 29.532278, 4294.768983, 5.563945, 0.001002, 4300.332928, 28.433012, 4312.208502, 5.831254, 9.79E-4, 4318.039756, 28.325582, 4339.868464, 5.679818, 0.001075, 4345.548282, 28.162494, 4371.543874, 5.733884, 0.001001, 4377.277758, 28.109137, 4399.700029, 5.68755, 8.69E-4, 4405.387578999999, 29.123829, 4436.029105, 5.638941, 7.93E-4, 4441.668046, 28.8759, 4454.098784, 5.688866, 9.33E-4, 4459.78765, 28.597054, 4465.051616, 5.670032, 7.95E-4, 4470.721648, 28.253754, 4476.310728, 5.937117, 9.82E-4, 4482.247845000001, 34.7098, 4487.643444, 5.925746, 9.81E-4, 4493.56919, 28.31628, 4501.904266, 5.645659, 0.001215, 4507.549924999999,4409.4580682, 4436.029105, 5.688866, 4441.668046
256, 57.470915, 7065.855062, 10.492093, 9.63E-4, 7076.3471549999995, 57.882486, 7125.197022, 10.424282, 0.003027, 7135.621304, 55.928473, 7183.758644, 10.3419, 9.69E-4, 7194.100544, 56.947402, 7200.321809, 10.36665, 9.6E-4, 7210.688459, 60.090683, 7207.173585, 10.458439, 0.001026, 7217.632024, 57.592629, 7217.455978, 10.330613, 9.21E-4, 7227.786591, 58.438399, 7227.037202, 10.530477, 0.001085, 7237.567679000001, 58.26499, 7282.93669, 10.212911, 0.001068, 7293.149601, 57.986578, 7311.447934, 10.969347, 0.001235, 7322.417281, 58.293369, 7365.020977, 10.533933, 9.13E-4, 7375.55491, 57.377559, 7395.277352, 11.279447, 0.001322, 7406.556799, 62.855806, 7497.385156, 10.025301, 9.83E-4, 7507.410457,7262.107519200001, 7227.037202, 10.458439, 7237.567679000001
512, 113.297853, 21395.657581, 20.808979, 9.98E-4, 21416.46656, 117.871987, 21420.499402, 23.248986, 0.001122, 21443.748388, 118.097878, 21520.357, 20.434667, 9.81E-4, 21540.791667, 117.365159, 21555.336298, 23.25672, 0.001236, 21578.593018, 121.231024, 21562.520829, 22.380775, 0.003338, 21584.901604000002, 117.202855, 21579.546553, 22.393689, 9.38E-4, 21601.940242, 112.603035, 21620.680175, 23.695141, 0.001089, 21644.375316, 115.739237, 21744.834377, 22.011567, 9.26E-4, 21766.845944, 116.266991, 21758.190357, 25.33665, 8.87E-4, 21783.527007, 123.564695, 21798.365581, 22.128738, 9.08E-4, 21820.494318999998, 119.995302, 21800.922326, 37.690286, 0.001072, 21838.612612, 116.307091, 21816.134543, 23.027923, 9.81E-4, 21839.162466,21660.3830117, 21620.680175, 23.248986, 21644.375316
1024, 239.513135, 140400.7856, 58.193282, 9.9E-4, 140458.978882, 244.161082, 140426.251971, 63.952472, 0.0011, 140490.204443, 239.811294, 140571.25454, 48.29156, 9.97E-4, 140619.5461, 230.021853, 140737.016077, 58.163319, 0.001087, 140795.17939600002, 241.588135, 140844.418492, 54.823831, 0.001052, 140899.24232299998, 244.038059, 140858.574808, 53.839553, 0.001299, 140912.414361, 235.850512, 140863.287521, 53.955498, 0.00133, 140917.243019, 231.611602, 140964.230876, 51.219044, 9.82E-4, 141015.44991999998, 244.000914, 141231.548575, 60.620006, 0.001199, 141292.168581, 239.585531, 141343.1541, 61.363766, 9.41E-4, 141404.517866, 245.053908, 141560.61359, 54.27588, 9.47E-4, 141614.88947, 249.372875, 142132.053985, 61.072201, 0.001274, 142193.126186,140996.0855479, 140863.287521, 54.823831, 140917.243019
