scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.343339, 4.413693, 0.00129, 0.001143, 4.414983, 3.508723, 4.598884, 0.001249, 0.001519, 4.600133, 3.472784, 4.802702, 0.001121, 0.001128, 4.803823, 3.309083, 5.03012, 0.001076, 9.51E-4, 5.0311960000000004, 3.99567, 5.980498, 0.001081, 0.001103, 5.981579, 3.625293, 7.6001, 0.001462, 0.001138, 7.601562, 4.596613, 8.071836, 0.001033, 0.00118, 8.072868999999999, 6.025405, 9.518504, 7.6E-4, 0.001155, 9.519264, 7.574879, 12.151144, 6.77E-4, 0.00106, 12.151821, 9.902991, 16.256378, 0.001127, 7.61E-4, 16.257505000000002, 11.871028, 20.458009, 7.29E-4, 8.95E-4, 20.458738, 326.362068, 100.354857, 0.006973, 0.009884, 100.36183,9.447849000000001, 8.071836, 0.001081, 8.072868999999999
1, 2.645621, 3.040909, 0.001154, 0.001223, 3.042063, 2.409287, 3.112959, 0.001365, 9.63E-4, 3.114324, 2.414363, 3.16057, 0.001099, 9.56E-4, 3.161669, 2.690777, 3.534467, 0.001081, 0.001041, 3.535548, 2.64111, 3.566805, 0.00104, 8.9E-4, 3.567845, 2.878167, 3.774155, 0.001003, 0.00131, 3.775158, 2.671478, 3.919553, 0.001497, 0.001223, 3.92105, 2.58084, 3.924013, 0.001416, 0.001411, 3.925429, 5.230681, 4.164022, 0.001497, 0.001219, 4.165519, 3.382953, 4.509395, 9.16E-4, 0.001125, 4.510311, 3.56867, 4.868185, 0.001052, 0.001307, 4.869237, 2.930617, 5.704891, 9.8E-4, 0.001001, 5.705871,3.854609, 3.919553, 0.001099, 3.92105
8, 3.691396, 9.669466, 0.00101, 0.001223, 9.670476, 3.911921, 9.733736, 0.001089, 9.22E-4, 9.734825, 3.860635, 10.590335, 0.001147, 0.00103, 10.591482, 3.798052, 10.724894, 0.001096, 0.001011, 10.725990000000001, 4.054009, 11.082871, 0.001205, 0.001473, 11.084076000000001, 4.151511, 11.515371, 0.001091, 0.001506, 11.516462, 4.57944, 11.967213, 0.001334, 0.001274, 11.968547, 5.13109, 13.845652, 0.00109, 9.55E-4, 13.846741999999999, 6.708222, 16.863837, 0.001227, 0.001114, 16.865064, 5.479073, 17.915855, 0.001122, 0.001058, 17.916977, 6.063822, 18.244407, 0.001403, 0.00101, 18.24581, 13.916694, 20.891088, 0.001069, 0.001403, 20.892157,13.249597500000002, 11.967213, 0.001147, 11.968547
16, 5.518956, 20.343374, 0.00124, 0.001488, 20.344614, 6.10088, 20.352522, 0.001036, 9.44E-4, 20.353558, 10.715757, 20.495873, 0.001063, 0.00109, 20.496935999999998, 6.279921, 20.718955, 0.001122, 0.001235, 20.720077, 5.481836, 20.978565, 0.001126, 9.67E-4, 20.979691, 10.209479, 21.077092, 0.001027, 0.002916, 21.078119, 5.595106, 21.714167, 0.0012, 0.001018, 21.715367, 5.843458, 21.818627, 0.001113, 9.82E-4, 21.81974, 5.449973, 22.096275, 0.001187, 0.001002, 22.097462, 5.565304, 22.269971, 0.001108, 0.001029, 22.271079, 5.435175, 22.530274, 0.00105, 0.001039, 22.531323999999998, 5.922183, 22.651389, 0.001295, 0.001304, 22.652684,21.406335300000002, 21.714167, 0.001113, 21.715367
32, 9.60732, 34.641502, 0.00112, 0.001176, 34.642622, 8.1814, 35.300415, 0.002704, 0.001407, 35.303119, 9.024947, 35.4521, 0.001357, 0.001183, 35.453457, 10.025965, 36.152017, 0.001132, 9.94E-4, 36.153149, 8.435156, 40.33823, 9.64E-4, 9.15E-4, 40.339194000000006, 9.683954, 40.552756, 9.33E-4, 0.001227, 40.553689000000006, 10.600878, 40.770584, 0.001034, 0.001262, 40.771618, 10.255028, 41.414582, 9.87E-4, 8.76E-4, 41.415569000000005, 8.473554, 44.107695, 9.36E-4, 8.94E-4, 44.108631, 8.802695, 46.409595, 9.13E-4, 8.62E-4, 46.410508, 9.059766, 47.160233, 9.76E-4, 8.81E-4, 47.161209, 17.748106, 53.146046, 9.32E-4, 0.001203, 53.146978,40.7670143, 40.770584, 9.87E-4, 40.771618
64, 18.489848, 87.235138, 9.93E-4, 9.32E-4, 87.236131, 16.942311, 88.25658, 9.54E-4, 0.00114, 88.25753399999999, 17.437498, 89.017846, 9.83E-4, 9.87E-4, 89.01882900000001, 17.4666, 89.018064, 0.001081, 9.91E-4, 89.019145, 16.946308, 89.150222, 9.17E-4, 9.58E-4, 89.151139, 17.143507, 89.156539, 0.001174, 7.92E-4, 89.157713, 17.477693, 89.231181, 0.001031, 9.96E-4, 89.232212, 16.859077, 89.517009, 0.001271, 9.72E-4, 89.51828, 17.066765, 90.020311, 9.72E-4, 0.001121, 90.02128300000001, 17.562497, 90.07353, 0.001108, 9.86E-4, 90.07463800000001, 15.562775, 95.717286, 9.98E-4, 0.001085, 95.718284, 21.356675, 96.702335, 9.69E-4, 8.78E-4, 96.703304,89.9169057, 89.231181, 0.001031, 89.232212
128, 28.660564, 155.067267, 0.001165, 0.001243, 155.06843199999997, 28.239579, 156.122408, 0.001244, 9.86E-4, 156.12365200000002, 29.057711, 162.319498, 0.001147, 0.001325, 162.320645, 28.267331, 167.113805, 9.11E-4, 0.001287, 167.11471600000002, 28.229734, 167.132433, 0.001058, 0.001026, 167.133491, 29.244584, 168.166762, 9.65E-4, 0.001019, 168.167727, 29.421242, 168.222902, 9.54E-4, 0.001026, 168.223856, 30.342446, 169.773985, 9.35E-4, 0.00101, 169.77492, 29.507572, 169.778485, 0.001009, 0.001193, 169.779494, 28.346226, 170.431094, 9.28E-4, 0.001131, 170.432022, 40.621159, 182.103121, 0.001171, 0.001041, 182.104292, 28.569648, 183.61996, 9.69E-4, 0.001018, 183.620929,168.11748150000003, 168.222902, 0.001009, 168.223856
256, 58.467472, 295.751362, 0.001001, 0.00101, 295.75236299999995, 59.202082, 297.696543, 9.82E-4, 0.001044, 297.69752500000004, 59.639342, 298.819382, 9.85E-4, 0.001207, 298.82036700000003, 69.292215, 299.328318, 9.87E-4, 0.001297, 299.32930500000003, 59.354129, 302.205307, 9.61E-4, 0.001371, 302.206268, 57.682793, 303.017792, 9.47E-4, 8.84E-4, 303.018739, 59.84952, 305.369792, 0.001231, 9.78E-4, 305.37102300000004, 58.540153, 305.403769, 0.001017, 0.001017, 305.404786, 59.658524, 306.207134, 0.001021, 0.001011, 306.208155, 60.60992, 306.78403, 9.97E-4, 0.001048, 306.78502699999996, 83.0974, 323.235196, 0.0011, 0.001373, 323.236296, 67.05958, 324.243726, 9.96E-4, 0.001172, 324.24472199999997,304.8077491, 305.369792, 9.97E-4, 305.37102300000004
512, 122.043151, 587.993358, 9.92E-4, 9.71E-4, 587.9943499999999, 116.884742, 601.190176, 9.78E-4, 0.001081, 601.191154, 118.550261, 605.600232, 0.001254, 0.001068, 605.601486, 121.157028, 615.354238, 0.001013, 0.00115, 615.355251, 135.442353, 615.391238, 9.77E-4, 0.001138, 615.3922150000001, 115.829243, 616.496864, 0.001092, 0.001337, 616.4979559999999, 140.560234, 617.001356, 9.66E-4, 0.001038, 617.0023219999999, 120.181371, 617.122269, 9.48E-4, 0.00106, 617.123217, 120.505819, 617.696592, 9.69E-4, 0.001313, 617.6975610000001, 119.018092, 623.40475, 9.23E-4, 0.001022, 623.405673, 121.404783, 626.409237, 0.001206, 0.001012, 626.410443, 148.845546, 692.378284, 0.001145, 0.001308, 692.379429,615.5677278000001, 617.001356, 9.78E-4, 617.0023219999999
1024, 245.987319, 1182.130595, 9.66E-4, 0.001119, 1182.1315610000001, 282.13358, 1193.716395, 9.97E-4, 0.001397, 1193.717392, 285.165586, 1194.999507, 0.001051, 0.001351, 1195.000558, 269.762017, 1211.498619, 0.001125, 0.001066, 1211.499744, 236.302588, 1221.265154, 9.86E-4, 0.001305, 1221.26614, 271.268466, 1224.263944, 9.43E-4, 0.001192, 1224.264887, 248.944246, 1228.469448, 0.001051, 0.001142, 1228.470499, 267.968511, 1228.990097, 0.001247, 0.001048, 1228.991344, 244.191412, 1244.263955, 0.001238, 0.001183, 1244.265193, 241.170227, 1251.572439, 0.001216, 0.002951, 1251.5736550000001, 248.951501, 1254.110979, 0.001484, 0.001121, 1254.112463, 304.253249, 1256.628919, 9.0E-4, 0.001151, 1256.629819,1225.3161875, 1228.469448, 0.001125, 1228.470499
2048, 541.077038, 2382.505009, 0.001135, 0.00117, 2382.506144, 505.090436, 2384.399689, 0.001929, 0.001408, 2384.401618, 580.150298, 2408.469013, 0.003819, 0.004168, 2408.472832, 522.044953, 2413.743564, 0.00133, 0.001329, 2413.744894, 498.420911, 2431.092339, 0.003469, 0.001821, 2431.095808, 514.193704, 2454.966345, 0.001093, 0.001141, 2454.9674379999997, 489.162076, 2619.016143, 0.001102, 0.001214, 2619.017245, 509.362523, 2629.151795, 0.001323, 0.001297, 2629.153118, 634.698973, 2629.811299, 0.001035, 0.001569, 2629.8123339999997, 508.680882, 2662.319077, 0.001118, 0.001296, 2662.3201950000002, 509.403328, 2701.526499, 0.001427, 0.0016, 2701.527926, 504.366903, 2749.464453, 0.001668, 0.001866, 2749.466121,2533.4513408, 2619.016143, 0.00133, 2619.017245
4096, 1194.990803, 4901.526606, 0.001716, 0.001717, 4901.528322, 1141.203699, 4903.725172, 0.001573, 0.001609, 4903.726745, 1138.364101, 4926.034331, 0.001646, 0.001539, 4926.035977, 1111.172727, 4940.271126, 0.00183, 0.001885, 4940.272956, 1168.893514, 4942.258096, 0.001416, 0.00171, 4942.259512, 1220.467193, 4947.987039, 0.001487, 0.002234, 4947.988526, 1173.375849, 4949.399554, 0.001634, 0.001486, 4949.401188, 1153.449875, 4989.246961, 0.00213, 0.00159, 4989.249091, 1187.651293, 5001.142507, 0.001506, 0.001679, 5001.144012999999, 1114.884797, 5036.007551, 0.001443, 0.001765, 5036.008994, 1179.993455, 5075.910308, 0.001615, 0.002208, 5075.911923000001, 1267.342874, 5184.13599, 0.001759, 0.001496, 5184.1377489999995,4971.1998925, 4949.399554, 0.001615, 4949.401188
