scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 4.066682, 4.801652, 0.949411, 0.001087, 5.751063, 3.853879, 5.036396, 1.231913, 0.00109, 6.268309, 4.185062, 5.236069, 1.11025, 0.001011, 6.346318999999999, 4.426138, 5.843716, 1.040329, 0.001062, 6.8840449999999995, 4.568733, 5.925784, 1.114516, 0.001134, 7.0403, 5.027585, 7.058603, 1.194662, 0.001081, 8.253264999999999, 8.453822, 8.140948, 1.315385, 0.001051, 9.456333, 7.721497, 9.267911, 1.36759, 0.001172, 10.635501, 9.670297, 11.306557, 1.444083, 8.49E-4, 12.75064, 12.124078, 18.217173, 2.349222, 8.83E-4, 20.566395, 14.693355, 21.830902, 2.402214, 8.67E-4, 24.233116, 371.336029, 92.676395, 9.288776, 0.007987, 101.965171,11.243422299999999, 8.140948, 1.315385, 9.456333
1, 3.342669, 2.861939, 0.710068, 0.00104, 3.572007, 3.125599, 2.984669, 0.58835, 0.001222, 3.573019, 3.256317, 3.382244, 0.708675, 0.001644, 4.090919, 3.504594, 3.741591, 0.781003, 0.001045, 4.522594, 3.47737, 3.773952, 0.780132, 0.001299, 4.554084, 3.371108, 3.769435, 0.84777, 0.001126, 4.617205, 3.252174, 3.811327, 0.92959, 0.001063, 4.740917, 4.092435, 3.945277, 0.867645, 9.83E-4, 4.812922, 5.635154, 4.119875, 0.940586, 9.76E-4, 5.060461, 3.785354, 4.265402, 0.947584, 0.001074, 5.212986, 3.960345, 4.680941, 1.144124, 0.001027, 5.8250649999999995, 4.063708, 5.614817, 1.003291, 0.001238, 6.618108,4.701017200000001, 3.811327, 0.867645, 4.740917
8, 4.967295, 10.161763, 0.645934, 0.001302, 10.807697000000001, 5.11584, 10.194633, 0.712815, 0.001127, 10.907447999999999, 4.902077, 10.278421, 0.638887, 0.001219, 10.917308, 5.1696, 10.246883, 0.755303, 0.00132, 11.002186, 5.847708, 10.84354, 0.651944, 0.001093, 11.495484000000001, 5.178105, 13.539958, 0.757682, 0.001377, 14.297640000000001, 7.230776, 15.567386, 0.927893, 0.001395, 16.495279, 9.218563, 16.352024, 0.966763, 0.001282, 17.318787, 7.980683, 17.769798, 0.821316, 0.001127, 18.591114, 8.614452, 19.918232, 0.998172, 0.00121, 20.916404, 6.827483, 21.186143, 0.769348, 0.001074, 21.955491000000002, 15.688707, 24.151203, 1.050904, 0.001298, 25.202106999999998,15.3897141, 15.567386, 0.769348, 16.495279
16, 7.053869, 23.531737, 0.491905, 0.001068, 24.023642, 6.99704, 23.845779, 0.519162, 0.001252, 24.364941, 6.933392, 23.850943, 0.523165, 0.001009, 24.374108, 6.820363, 24.148827, 0.59521, 0.001016, 24.744037000000002, 7.133334, 24.224703, 0.535962, 0.001039, 24.760665000000003, 13.03789, 27.250235, 0.537116, 0.001125, 27.787351, 7.546808, 29.752746, 0.704291, 0.001509, 30.457037, 8.51871, 29.955404, 0.633252, 0.001233, 30.588656, 6.951243, 31.658098, 0.512206, 0.001021, 32.170304, 7.155506, 31.883611, 0.625715, 9.93E-4, 32.509326, 7.167492, 37.738145, 0.966322, 9.73E-4, 38.704467, 7.187984, 39.288162, 0.551331, 0.001282, 39.839493,29.0460892, 29.752746, 0.59521, 30.457037
32, 11.05594, 51.737263, 0.513667, 0.00109, 52.25093, 15.862815, 53.102451, 0.609808, 0.001014, 53.712259, 11.42132, 54.053283, 0.529608, 0.001174, 54.582891000000004, 12.471141, 54.688067, 0.501451, 0.001023, 55.189518, 11.153591, 54.7195, 0.542209, 0.001245, 55.261708999999996, 11.651694, 61.903352, 0.519311, 0.001249, 62.422663, 14.888061, 62.764942, 0.516015, 9.67E-4, 63.280957, 11.006955, 63.784966, 0.460508, 9.99E-4, 64.245474, 11.219103, 64.801069, 0.45533, 0.001021, 65.256399, 12.396015, 66.462038, 0.565592, 0.001028, 67.02763, 12.519271, 66.361084, 0.739479, 0.001045, 67.10056300000001, 21.057803, 69.133179, 0.82309, 9.91E-4, 69.95626899999999,60.8080063, 62.764942, 0.529608, 63.280957
64, 20.078989, 106.657122, 0.406028, 9.83E-4, 107.06315000000001, 19.810367, 115.790677, 0.443056, 0.001364, 116.233733, 19.80525, 116.336505, 0.481549, 0.001086, 116.818054, 20.049862, 120.540855, 0.492939, 0.001001, 121.033794, 19.803203, 120.725671, 0.507203, 0.001042, 121.23287400000001, 20.726332, 121.46705, 0.731643, 0.001031, 122.198693, 19.698617, 123.19534, 0.493958, 0.001016, 123.68929800000001, 20.103517, 123.3309, 0.435395, 0.001017, 123.766295, 19.78332, 125.310101, 0.415829, 0.001062, 125.72593, 20.219257, 128.268274, 0.559358, 9.93E-4, 128.827632, 25.42493, 130.376267, 0.583277, 0.001169, 130.95954400000002, 25.659816, 144.912885, 0.4752, 0.001214, 145.388085,123.04858470000002, 123.19534, 0.493958, 123.68929800000001
128, 40.248076, 226.244428, 0.437088, 0.001213, 226.681516, 38.391093, 229.018543, 0.376231, 0.0014, 229.39477399999998, 47.326974, 230.304737, 0.365106, 0.001064, 230.669843, 40.102259, 242.062304, 0.549972, 0.001055, 242.612276, 40.627995, 246.169891, 0.454265, 0.001261, 246.624156, 41.246679, 249.993136, 0.359488, 0.001042, 250.352624, 45.95109, 250.903161, 0.4228, 0.001505, 251.325961, 48.128437, 253.462769, 0.34656, 0.001039, 253.80932900000002, 40.231896, 254.309642, 0.454518, 0.001126, 254.76416, 38.622674, 267.512479, 0.341363, 0.001215, 267.853842, 39.391885, 269.980536, 0.455346, 0.001051, 270.435882, 52.158383, 274.767416, 0.463975, 0.001061, 275.23139100000003,249.7842847, 250.903161, 0.4228, 251.325961
256, 83.543074, 420.996832, 0.641581, 0.001098, 421.63841299999996, 81.294539, 421.763457, 0.436652, 0.001062, 422.200109, 81.631864, 422.154115, 0.52949, 0.001082, 422.683605, 83.918115, 427.916318, 0.489192, 0.001051, 428.40551, 81.056945, 430.033177, 0.457206, 0.001077, 430.490383, 81.802796, 431.45187, 0.459857, 0.001111, 431.911727, 81.428326, 431.432808, 0.525035, 0.001233, 431.957843, 81.448156, 442.00496, 0.687524, 9.93E-4, 442.692484, 88.177939, 450.941695, 0.45537, 0.001094, 451.397065, 82.350813, 474.836905, 0.661806, 0.001394, 475.498711, 100.714514, 485.41716, 0.485989, 9.5E-4, 485.90314900000004, 86.969286, 497.837027, 0.591263, 0.001046, 498.42829,442.31405860000007, 431.45187, 0.489192, 431.957843
512, 164.445722, 865.297509, 0.613833, 0.00105, 865.911342, 169.769473, 866.595579, 0.515758, 0.001201, 867.111337, 166.683092, 867.083162, 0.461794, 9.9E-4, 867.5449560000001, 171.835102, 871.95649, 0.67026, 9.55E-4, 872.62675, 169.835754, 873.099611, 0.553157, 0.001062, 873.652768, 168.272128, 873.625783, 0.469468, 9.41E-4, 874.095251, 169.769288, 878.99283, 0.542177, 0.00102, 879.5350070000001, 175.263745, 886.128279, 0.431475, 0.001119, 886.559754, 167.381099, 889.234899, 0.624223, 0.001003, 889.8591220000001, 166.527997, 901.842863, 0.428846, 0.001461, 902.271709, 163.144461, 916.195802, 0.569646, 0.001117, 916.765448, 198.344928, 948.863731, 0.447557, 0.001402, 949.311288,883.0022101999999, 878.99283, 0.542177, 879.5350070000001
1024, 344.470646, 1882.250103, 0.465117, 0.001048, 1882.71522, 349.096731, 1888.628749, 0.638342, 0.001108, 1889.267091, 346.22742, 1889.401447, 0.561593, 0.001371, 1889.9630399999999, 362.71325, 1918.576055, 0.64141, 0.00113, 1919.217465, 345.294561, 1939.260154, 0.485433, 0.001292, 1939.7455870000001, 347.227879, 1945.016492, 0.582153, 0.001175, 1945.598645, 350.385831, 1956.239413, 0.463653, 0.001371, 1956.703066, 353.395869, 1959.84917, 0.637098, 0.001051, 1960.4862679999999, 356.46195, 1965.804084, 0.630337, 0.001006, 1966.4344210000002, 352.449173, 1968.387051, 0.498878, 0.001216, 1968.885929, 366.144104, 1983.539676, 0.616304, 0.001372, 1984.15598, 345.285163, 2347.333085, 0.535878, 0.001116, 2347.8689630000003,1942.0457492, 1956.239413, 0.616304, 1956.703066
