scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 4.216816, 5.012494, 0.952644, 9.5E-4, 5.9651380000000005, 3.996279, 4.999329, 1.129347, 9.85E-4, 6.1286760000000005, 4.523327, 5.365048, 1.129189, 0.001028, 6.494237, 4.347144, 5.698825, 1.016373, 0.001118, 6.715198, 4.763495, 5.832201, 1.518797, 8.77E-4, 7.350998000000001, 5.503973, 6.922287, 1.127816, 9.22E-4, 8.050103, 6.651477, 7.736042, 1.451334, 9.12E-4, 9.187376, 7.616579, 8.736391, 1.358786, 8.77E-4, 10.095177, 9.612511, 13.625035, 1.461709, 8.58E-4, 15.086744, 12.631757, 17.772181, 2.086821, 7.65E-4, 19.859002, 15.954473, 21.528545, 2.318762, 0.001051, 23.847307, 384.174257, 100.830763, 8.83282, 0.009897, 109.663583,11.2814818, 7.736042, 1.451334, 9.187376
1, 3.284468, 3.050554, 0.759292, 9.23E-4, 3.809846, 3.307318, 3.079989, 0.731599, 8.99E-4, 3.811588, 3.442894, 3.313737, 0.700447, 9.6E-4, 4.014184, 3.662283, 3.958867, 0.896415, 8.79E-4, 4.855282, 3.408094, 3.995291, 0.904648, 9.02E-4, 4.899939, 3.699805, 4.130744, 0.829952, 0.00114, 4.960696, 3.53659, 4.13143, 0.839055, 9.8E-4, 4.970485, 4.04916, 4.391251, 0.928001, 8.61E-4, 5.319252, 6.0206, 4.981354, 1.040194, 0.00109, 6.021547999999999, 4.291609, 5.20798, 1.091319, 0.001291, 6.2992989999999995, 4.238266, 5.672322, 0.870599, 0.001358, 6.542921000000001, 5.094664, 10.02616, 1.018906, 9.6E-4, 11.045066,5.1695194, 4.13143, 0.896415, 4.970485
8, 4.871563, 9.568873, 0.653486, 0.001342, 10.222359, 6.069878, 10.444535, 0.722912, 8.81E-4, 11.167447, 5.33539, 10.507637, 0.739244, 0.001158, 11.246881, 5.105527, 10.72136, 0.760316, 9.1E-4, 11.481676, 5.268663, 11.004681, 0.659055, 8.87E-4, 11.663736, 5.460806, 11.214428, 0.782235, 8.93E-4, 11.996663, 8.527058, 16.312477, 1.029815, 0.001284, 17.342292, 9.130522, 16.586928, 0.957583, 0.001032, 17.544511, 9.681596, 17.272118, 1.182656, 0.001338, 18.454774, 8.442729, 19.055443, 1.045134, 8.84E-4, 20.100577, 6.809186, 21.635438, 0.668056, 8.74E-4, 22.303494, 14.922374, 25.066467, 1.258754, 0.001089, 26.325221,15.3302051, 16.312477, 0.782235, 17.342292
16, 6.833196, 23.814469, 0.557825, 0.001247, 24.372294, 6.93067, 24.143937, 0.569425, 0.001004, 24.713362, 6.984961, 24.301056, 0.472899, 0.001015, 24.773955, 7.210361, 24.43808, 0.493195, 0.001022, 24.931275, 8.520449, 24.711082, 0.539534, 9.66E-4, 25.250616, 7.034453, 25.457283, 0.510722, 9.32E-4, 25.968005, 13.131421, 27.66004, 0.560574, 0.001299, 28.220613999999998, 7.510683, 28.624875, 0.755036, 9.81E-4, 29.379911, 7.976448, 31.052929, 0.743417, 9.7E-4, 31.796346, 6.746479, 31.980515, 0.537062, 9.7E-4, 32.517577, 7.221117, 33.489727, 0.796581, 9.91E-4, 34.286308000000005, 7.235525, 39.547745, 0.705101, 9.12E-4, 40.252846,28.183796899999997, 27.66004, 0.560574, 28.220613999999998
32, 11.057516, 47.792026, 0.517214, 9.52E-4, 48.30924, 11.04339, 48.64174, 0.558802, 9.79E-4, 49.200542, 11.866505, 49.525197, 0.547281, 9.3E-4, 50.072478, 15.016544, 53.288871, 0.528169, 9.81E-4, 53.81704, 13.166491, 55.516801, 0.630106, 9.76E-4, 56.146907, 11.288907, 59.619151, 0.483882, 9.83E-4, 60.103033, 11.919365, 59.688295, 0.5671, 9.83E-4, 60.255395, 11.021368, 60.818591, 0.468903, 9.99E-4, 61.287493999999995, 14.908015, 65.125033, 0.484393, 9.64E-4, 65.609426, 23.497089, 66.915591, 0.737107, 0.001384, 67.652698, 12.529257, 67.439608, 0.510339, 9.93E-4, 67.94994700000001, 11.547126, 69.004715, 0.675024, 9.85E-4, 69.679739,59.20949599999999, 59.688295, 0.547281, 60.255395
64, 20.361694, 107.533845, 0.499873, 9.97E-4, 108.033718, 20.135902, 119.807084, 0.427526, 0.001028, 120.23461, 20.646937, 121.821001, 0.651324, 0.001003, 122.472325, 20.232766, 122.73778, 0.446815, 0.001051, 123.184595, 20.045755, 123.361578, 0.435293, 0.001018, 123.796871, 19.947367, 123.585203, 0.462359, 0.001082, 124.04756200000001, 20.917249, 127.597857, 0.574, 0.001017, 128.17185700000002, 19.751704, 128.929619, 0.487478, 0.001241, 129.417097, 20.365711, 129.197723, 0.476231, 0.001033, 129.673954, 20.042719, 136.374544, 0.612944, 9.77E-4, 136.98748799999998, 25.591271, 139.463766, 0.600343, 0.001363, 140.064109, 26.659123, 150.797173, 0.494299, 9.24E-4, 151.291472,127.80504679999999, 127.597857, 0.487478, 128.17185700000002
128, 47.499895, 234.130424, 0.384809, 0.0011, 234.515233, 47.116362, 235.264687, 0.395491, 0.001353, 235.660178, 49.448505, 236.369936, 0.410392, 0.001011, 236.780328, 37.95748, 236.710212, 0.366615, 0.001004, 237.076827, 38.620926, 250.538941, 0.396924, 9.87E-4, 250.935865, 39.643662, 251.928294, 0.540851, 0.001037, 252.469145, 40.08841, 252.768436, 0.365529, 0.001001, 253.13396500000002, 40.785337, 253.198405, 0.384052, 9.55E-4, 253.582457, 40.859356, 254.971436, 0.359375, 0.001037, 255.330811, 38.696117, 255.036496, 0.459202, 0.001028, 255.495698, 50.400239, 259.071778, 0.458083, 0.001047, 259.529861, 55.902887, 301.466368, 0.595129, 0.001001, 302.061497,248.9995135, 252.768436, 0.396924, 253.13396500000002
256, 81.559022, 433.429612, 0.465446, 0.001028, 433.895058, 80.013652, 434.649075, 0.461749, 0.001044, 435.110824, 80.776146, 435.336741, 0.725363, 0.00125, 436.06210400000003, 82.713393, 435.951313, 0.747935, 0.001075, 436.699248, 82.346796, 437.049292, 0.577919, 0.001133, 437.627211, 79.862558, 439.036879, 0.533977, 0.001382, 439.570856, 82.145059, 439.898115, 0.465477, 0.001043, 440.36359200000004, 79.579587, 442.689444, 0.495123, 0.001035, 443.18456699999996, 89.160368, 458.714894, 0.451145, 9.89E-4, 459.166039, 80.481247, 459.608226, 0.481712, 0.001002, 460.089938, 81.309375, 482.851581, 0.674925, 0.001051, 483.526506, 80.314378, 557.734873, 0.509089, 0.001014, 558.243962,447.1400885, 439.898115, 0.533977, 440.36359200000004
512, 164.810424, 881.880486, 0.500165, 0.001509, 882.3806510000001, 173.302877, 885.175313, 0.616434, 0.001059, 885.791747, 167.930298, 888.017585, 0.619233, 0.001064, 888.6368180000001, 170.721333, 900.421284, 0.553558, 0.001039, 900.974842, 170.501768, 901.088423, 0.507972, 0.001552, 901.596395, 163.068723, 907.714242, 0.618769, 8.79E-4, 908.333011, 166.311797, 909.754538, 0.613359, 0.00103, 910.367897, 187.330196, 913.7113, 0.60422, 0.001122, 914.3155200000001, 167.665642, 916.338377, 0.593602, 0.001061, 916.9319790000001, 163.777702, 942.883356, 0.601221, 0.001089, 943.4845770000001, 169.683037, 979.939316, 0.51657, 0.001103, 980.455886, 187.530065, 1021.419941, 0.48098, 0.00122, 1021.900921,915.0888672000001, 909.754538, 0.60422, 910.367897
1024, 354.013606, 1869.04501, 0.509643, 0.002222, 1869.5546530000001, 349.293773, 1955.308559, 0.498292, 0.001312, 1955.806851, 365.26866, 1958.444494, 0.515955, 0.001172, 1958.9604490000002, 335.558577, 1960.799437, 0.724621, 0.001447, 1961.524058, 350.61722, 1977.866063, 0.528477, 0.001412, 1978.39454, 380.800418, 2006.378868, 0.49516, 0.001465, 2006.874028, 341.152357, 2016.069533, 0.565118, 0.001109, 2016.634651, 358.392141, 2030.948762, 0.495879, 0.001268, 2031.444641, 351.717886, 2073.699435, 0.662439, 0.00125, 2074.361874, 345.016033, 2085.630639, 0.473572, 0.001521, 2086.104211, 354.965601, 2087.861365, 0.739503, 0.001177, 2088.600868, 361.431205, 2463.296282, 0.625878, 0.001492, 2463.9221599999996,2015.8706171000001, 2016.069533, 0.528477, 2016.634651
