scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.398194, 5.611496, 1.271539, 0.001032, 6.883035, 3.52613, 5.870098, 1.249665, 0.001109, 7.119763, 3.554284, 6.184653, 1.269485, 0.001118, 7.454138, 3.603779, 6.467593, 1.18941, 9.9E-4, 7.657003, 3.871422, 6.790193, 1.418047, 0.001043, 8.20824, 4.424876, 7.659688, 1.39513, 0.001053, 9.054818000000001, 4.51683, 8.811901, 1.398928, 0.001085, 10.210829, 5.343493, 9.764727, 1.84954, 8.02E-4, 11.614267, 7.539509, 11.594419, 1.659424, 8.9E-4, 13.253843, 9.262533, 15.902635, 1.873241, 0.001046, 17.775876, 12.323806, 25.331577, 2.3098, 7.88E-4, 27.641377, 342.400829, 146.455935, 4.25218, 0.011214, 150.70811500000002,11.9990154, 8.811901, 1.418047, 10.210829
1, 2.58004, 3.829545, 0.727321, 0.001053, 4.556866, 2.611202, 3.936879, 0.686455, 0.001103, 4.623334, 2.531311, 3.944295, 0.695121, 9.72E-4, 4.639416, 2.502585, 3.948835, 0.721286, 0.001056, 4.670121, 2.40541, 3.957224, 0.792099, 0.001203, 4.749323, 2.820548, 4.034312, 0.726215, 0.001477, 4.760527, 2.609898, 4.080145, 0.927524, 0.001179, 5.007669, 3.10812, 4.379834, 0.77441, 0.001073, 5.154244, 2.920841, 4.5127, 0.826224, 0.001028, 5.338924, 3.167793, 4.508076, 0.878089, 9.9E-4, 5.386165, 3.212025, 4.621475, 0.884406, 0.001114, 5.5058810000000005, 3.879321, 5.10161, 1.139914, 0.001016, 6.241524,4.9835604, 4.080145, 0.792099, 5.007669
8, 3.783517, 13.618134, 1.163439, 9.02E-4, 14.781573, 4.26514, 13.793095, 1.213858, 0.001208, 15.006953, 3.897493, 13.986397, 1.235075, 0.001225, 15.221472, 4.210887, 14.483178, 1.206754, 9.28E-4, 15.689932, 3.843422, 14.27565, 1.441922, 9.56E-4, 15.717572, 3.979393, 14.762584, 1.219513, 8.87E-4, 15.982097, 4.515561, 15.156043, 1.300136, 9.74E-4, 16.456179, 4.849599, 15.584032, 1.384581, 8.98E-4, 16.968613, 4.929468, 15.666715, 1.322559, 9.0E-4, 16.989274, 6.365209, 25.177311, 1.268704, 8.86E-4, 26.446015, 17.146078, 36.270747, 1.26817, 9.64E-4, 37.538917, 6.60678, 41.983444, 1.632733, 9.11E-4, 43.616177,19.2017024, 15.156043, 1.268704, 16.456179
16, 5.442944, 23.201494, 1.897387, 9.44E-4, 25.098881, 5.313287, 23.305125, 1.956731, 9.93E-4, 25.261856, 5.00911, 23.797746, 1.873681, 0.001118, 25.671427, 5.046414, 23.94356, 1.899951, 9.59E-4, 25.843511000000003, 5.341732, 24.148166, 1.943759, 9.65E-4, 26.091925, 5.313114, 24.125886, 1.977474, 9.33E-4, 26.103360000000002, 5.350354, 23.759617, 2.390856, 9.32E-4, 26.150472999999998, 5.686222, 24.413611, 2.025741, 9.33E-4, 26.439352, 5.556616, 24.572312, 1.956822, 0.001235, 26.529134, 6.408781, 38.038842, 1.873814, 9.08E-4, 39.912656000000005, 14.686183, 52.007027, 1.43394, 9.63E-4, 53.440967, 6.855216, 60.69288, 1.880558, 0.001019, 62.573438,30.1444661, 24.148166, 1.956731, 26.150472999999998
32, 8.614185, 68.766224, 3.473559, 9.5E-4, 72.23978299999999, 8.359067, 69.359031, 3.411037, 0.001173, 72.770068, 8.63598, 69.737585, 3.148995, 9.13E-4, 72.88658, 8.659907, 73.113547, 3.133085, 0.001127, 76.24663199999999, 9.718647, 77.456852, 3.297144, 0.001396, 80.753996, 8.291112, 78.004868, 3.211381, 9.02E-4, 81.216249, 8.484414, 78.147445, 3.365593, 9.61E-4, 81.51303800000001, 8.443455, 86.991107, 3.175019, 9.78E-4, 90.166126, 9.600947, 88.378561, 3.225819, 9.35E-4, 91.60438, 8.29812, 88.842094, 3.178028, 9.19E-4, 92.020122, 8.391609, 90.16907, 3.352652, 0.001032, 93.52172200000001, 11.002961, 108.881305, 2.676658, 8.87E-4, 111.557963,83.2698913, 78.147445, 3.225819, 81.51303800000001
64, 15.155049, 109.471775, 6.241491, 0.0012, 115.71326599999999, 18.059778, 112.877144, 6.072116, 9.38E-4, 118.94926, 15.175206, 131.528118, 6.321487, 0.001248, 137.849605, 15.304979, 131.926103, 6.165471, 0.001245, 138.091574, 15.290431, 132.556447, 6.150918, 9.13E-4, 138.70736499999998, 15.689612, 133.545568, 6.06928, 9.96E-4, 139.614848, 15.288265, 134.231323, 6.054623, 0.001276, 140.285946, 16.347247, 134.613297, 5.999499, 8.85E-4, 140.612796, 15.220432, 134.904251, 6.358945, 0.001213, 141.263196, 15.480258, 135.212101, 6.070496, 9.81E-4, 141.28259699999998, 16.958584, 151.858823, 6.334972, 9.46E-4, 158.193795, 23.380868, 167.249843, 4.718853, 9.27E-4, 171.968696,139.48509819999998, 134.231323, 6.150918, 140.285946
128, 28.65217, 256.693, 13.502249, 9.33E-4, 270.195249, 28.565059, 258.475331, 12.538889, 8.68E-4, 271.01421999999997, 29.775424, 260.196897, 12.926895, 9.94E-4, 273.123792, 28.822431, 262.369182, 13.146055, 0.001008, 275.515237, 30.696503, 262.527155, 13.014897, 0.001012, 275.542052, 28.677273, 264.241975, 13.228379, 0.00138, 277.47035400000004, 29.320504, 265.905034, 12.761505, 0.001085, 278.666539, 29.3241, 272.720579, 12.81715, 9.64E-4, 285.537729, 28.726978, 281.361274, 12.887364, 9.32E-4, 294.24863799999997, 33.187927, 288.610504, 14.325313, 9.94E-4, 302.935817, 28.946344, 292.218189, 14.032731, 9.56E-4, 306.25092, 34.132222, 362.095685, 9.306683, 0.001278, 371.402368,284.0305298, 265.905034, 13.014897, 278.666539
256, 58.059614, 535.182173, 39.10432, 0.001296, 574.2864930000001, 57.773224, 547.399084, 31.952532, 9.83E-4, 579.351616, 58.581454, 548.040788, 38.550847, 0.001034, 586.591635, 65.19105, 549.397427, 39.10986, 0.001064, 588.507287, 58.168635, 562.443515, 31.598858, 0.001104, 594.042373, 58.016474, 568.385069, 33.508855, 0.001416, 601.8939240000001, 57.817296, 570.987835, 31.860851, 0.001135, 602.848686, 58.680652, 567.59298, 35.467763, 0.001095, 603.060743, 57.882702, 567.406141, 37.931641, 0.001387, 605.3377820000001, 58.227565, 584.207194, 32.917097, 0.001205, 617.124291, 57.93732, 592.98307, 34.557762, 0.001095, 627.540832, 61.235898, 753.324902, 24.251375, 0.001024, 777.576277,600.6299169000001, 567.59298, 34.557762, 602.848686
512, 123.9833, 1181.681324, 66.471258, 0.001108, 1248.152582, 128.688238, 1192.517436, 73.050491, 0.001111, 1265.567927, 120.802723, 1205.77435, 72.529272, 7.78E-4, 1278.303622, 130.684626, 1216.161877, 72.199114, 8.16E-4, 1288.360991, 120.735616, 1210.713384, 78.014318, 9.12E-4, 1288.727702, 123.357266, 1404.726758, 55.944237, 0.001191, 1460.670995, 118.981828, 1396.222307, 71.599031, 0.001237, 1467.821338, 127.947628, 1401.331817, 74.280617, 0.001095, 1475.6124340000001, 126.10711, 1406.682366, 72.903563, 9.08E-4, 1479.585929, 118.884619, 1408.940699, 74.198924, 0.001211, 1483.139623, 118.676931, 1430.791222, 74.259004, 0.001107, 1505.050226, 117.195217, 1435.335293, 72.905289, 0.001062, 1508.2405820000001,1399.2840787, 1401.331817, 73.050491, 1467.821338
1024, 261.454523, 2997.035821, 139.342954, 8.7E-4, 3136.378775, 259.345369, 3127.24163, 175.425426, 0.001325, 3302.667056, 264.337832, 3136.528222, 193.676628, 0.00123, 3330.20485, 271.256808, 3150.084529, 195.911816, 0.001133, 3345.996345, 290.174337, 3156.758982, 194.904999, 0.001117, 3351.6639809999997, 273.062563, 3172.138313, 183.947347, 0.001326, 3356.0856599999997, 266.918732, 3169.59942, 187.458826, 0.001219, 3357.058246, 265.22608, 3181.599768, 182.992794, 0.001061, 3364.592562, 263.472333, 3200.904577, 198.316321, 0.001157, 3399.2208979999996, 258.739653, 3201.360795, 199.896177, 0.001106, 3401.256972, 264.504659, 3247.771982, 193.971579, 0.001131, 3441.743561, 304.412342, 3304.706324, 187.485988, 0.001132, 3492.192312,3365.0490130999997, 3172.138313, 193.971579, 3357.058246
