scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.741536, 5.438197, 1.441952, 9.17E-4, 6.880148999999999, 3.545788, 5.930169, 1.227318, 0.001361, 7.157487, 3.523987, 6.352101, 1.098225, 9.46E-4, 7.4503260000000004, 3.330979, 6.277571, 1.348786, 9.22E-4, 7.6263570000000005, 3.80309, 6.847878, 1.467842, 9.99E-4, 8.315719999999999, 4.486434, 7.465343, 1.312141, 9.52E-4, 8.777484, 5.632578, 9.018237, 1.442137, 0.00104, 10.460374, 7.721923, 11.276402, 1.895838, 8.16E-4, 13.172239999999999, 6.106222, 11.539057, 1.779889, 0.001051, 13.318946, 9.641891, 14.300128, 1.871477, 8.48E-4, 16.171605, 11.764764, 25.455447, 2.513104, 9.24E-4, 27.968550999999998, 334.358793, 142.013302, 4.254258, 0.008753, 146.26756,12.041908999999999, 9.018237, 1.467842, 10.460374
1, 2.640786, 3.707799, 0.691675, 0.001247, 4.399474, 2.716368, 3.926878, 0.72551, 0.001052, 4.652388, 2.623319, 3.92238, 0.755905, 9.29E-4, 4.678285, 2.541588, 3.895666, 0.787743, 0.001124, 4.683409, 2.513605, 4.013197, 0.68442, 0.001212, 4.697617, 2.424272, 3.917368, 0.80086, 0.001268, 4.718228, 2.562898, 4.160688, 0.843903, 9.97E-4, 5.0045910000000005, 2.740003, 4.265564, 0.821886, 0.001044, 5.0874500000000005, 3.005681, 4.333914, 0.771692, 0.001385, 5.105606, 3.119804, 4.432483, 0.869289, 0.001228, 5.301772000000001, 3.528864, 4.556977, 0.94833, 0.001032, 5.505307, 3.368928, 4.665347, 1.012955, 0.001053, 5.6783019999999995,4.943465300000001, 4.160688, 0.80086, 5.0045910000000005
8, 3.786726, 13.423585, 1.179519, 0.001034, 14.603103999999998, 4.386464, 13.594623, 1.192809, 0.001263, 14.787432, 3.936735, 13.781626, 1.292522, 0.001052, 15.074148, 4.243837, 14.197067, 1.287757, 0.001088, 15.484824, 3.861158, 14.124589, 1.38164, 9.99E-4, 15.506229000000001, 3.972971, 14.699934, 1.224778, 0.00148, 15.924712000000001, 5.023446, 14.920766, 1.303368, 9.81E-4, 16.224134, 4.966857, 15.994627, 1.270895, 9.36E-4, 17.265522, 4.799512, 16.015114, 1.418542, 9.3E-4, 17.433656, 6.235755, 26.157972, 1.310184, 9.6E-4, 27.468156, 17.423603, 39.91672, 1.253402, 0.001125, 41.170122, 6.481827, 41.355622, 1.739302, 0.001148, 43.094924,19.6338935, 14.920766, 1.292522, 16.224134
16, 5.51483, 29.951776, 1.835575, 9.87E-4, 31.787350999999997, 5.916144, 30.815534, 1.991392, 0.001004, 32.806926, 5.331582, 36.912722, 1.872728, 0.001288, 38.785450000000004, 5.581441, 37.161954, 1.709006, 0.001031, 38.870960000000004, 5.415794, 38.25547, 1.751074, 9.55E-4, 40.006544000000005, 5.711721, 38.271232, 1.82988, 9.72E-4, 40.101112, 5.52633, 38.672547, 1.846775, 0.001079, 40.519322, 5.346658, 41.099278, 1.899832, 0.001048, 42.99911, 5.024301, 41.193204, 1.831647, 0.001017, 43.024851, 14.801219, 51.401898, 1.45828, 0.001175, 52.860178000000005, 6.473264, 51.042694, 1.82082, 0.001006, 52.863513999999995, 6.854677, 56.331584, 1.887506, 0.001536, 58.21909,42.2837967, 38.672547, 1.831647, 40.519322
32, 8.668262, 68.300876, 3.263892, 0.001324, 71.564768, 8.693381, 70.377332, 3.361512, 9.96E-4, 73.738844, 8.774627, 70.807356, 3.183189, 9.77E-4, 73.990545, 8.427014, 72.371652, 3.31417, 0.001001, 75.685822, 9.318677, 73.197507, 3.377277, 9.44E-4, 76.57478400000001, 9.752923, 78.470451, 3.245992, 9.8E-4, 81.716443, 8.518035, 78.632761, 3.397777, 0.001208, 82.030538, 8.33635, 88.96043, 3.109569, 9.87E-4, 92.069999, 8.686952, 89.977684, 3.263616, 9.88E-4, 93.2413, 8.328095, 90.439946, 3.260436, 9.88E-4, 93.700382, 9.50506, 95.670773, 3.364714, 9.97E-4, 99.035487, 11.065394, 102.737172, 2.743652, 0.00101, 105.480824,84.1784144, 78.632761, 3.31417, 82.030538
64, 15.335424, 110.684205, 6.283874, 0.001007, 116.968079, 17.597417, 112.592583, 6.07843, 0.00103, 118.671013, 17.548938, 114.784009, 6.157856, 0.001166, 120.94186499999999, 15.385025, 131.324466, 6.104218, 0.00117, 137.428684, 16.797122, 131.502588, 6.523283, 9.91E-4, 138.025871, 16.742283, 133.961479, 6.28297, 0.001253, 140.244449, 15.613647, 133.879109, 6.371174, 9.7E-4, 140.250283, 15.506696, 134.494872, 6.171461, 9.95E-4, 140.66633299999998, 15.926809, 135.121818, 6.333886, 9.42E-4, 141.455704, 15.774214, 135.611474, 6.310065, 0.001359, 141.921539, 15.519484, 137.16235, 6.108159, 9.77E-4, 143.270509, 22.062683, 164.127828, 4.641455, 0.001054, 168.769283,136.287625, 133.961479, 6.28297, 140.250283
128, 28.957823, 259.239565, 12.931111, 0.001075, 272.170676, 29.259203, 259.41657, 13.024693, 0.001094, 272.441263, 30.428405, 260.904855, 12.810494, 0.001244, 273.715349, 28.873555, 262.89136, 13.177414, 0.001148, 276.068774, 28.991858, 264.513094, 12.979928, 0.001073, 277.493022, 29.600361, 266.441881, 13.243819, 0.001351, 279.6857, 29.033919, 266.73735, 12.97043, 0.00108, 279.70778, 28.979482, 272.059994, 13.116407, 0.001079, 285.176401, 29.107243, 283.488034, 12.976583, 0.001026, 296.46461700000003, 28.858407, 295.307185, 13.281675, 0.001296, 308.58886, 30.537731, 306.835284, 13.044787, 0.00104, 319.880071, 34.241658, 324.520163, 9.767623, 0.00109, 334.28778600000004,286.9221837, 266.73735, 13.044787, 279.70778
256, 63.039951, 543.148142, 35.336997, 0.001338, 578.485139, 58.799317, 547.323644, 32.028207, 0.001128, 579.3518509999999, 57.97871, 550.08814, 30.990468, 0.0011, 581.0786079999999, 58.494437, 548.066014, 33.266074, 0.001124, 581.332088, 64.480446, 555.266958, 31.790975, 0.001512, 587.057933, 61.194205, 564.166941, 32.613224, 0.001113, 596.7801649999999, 57.79982, 564.507307, 32.422191, 0.001577, 596.929498, 56.812578, 565.744045, 32.548703, 0.001146, 598.2927480000001, 58.414929, 568.76011, 32.122244, 0.001145, 600.8823540000001, 58.55215, 573.419686, 34.068979, 0.001422, 607.488665, 57.920331, 595.197031, 35.226652, 0.003225, 630.423683, 61.286152, 763.026919, 22.785394, 0.001092, 785.812313,595.9617593, 564.507307, 32.548703, 596.929498
512, 124.504291, 1190.702352, 73.575367, 0.001423, 1264.277719, 120.660683, 1191.339452, 74.960572, 0.001356, 1266.300024, 116.11821, 1198.700382, 72.392842, 0.001437, 1271.093224, 137.120332, 1198.569412, 76.614799, 0.001226, 1275.184211, 124.714005, 1203.449717, 77.239389, 0.001278, 1280.689106, 119.611331, 1349.010903, 71.414341, 0.001564, 1420.425244, 119.636953, 1396.422195, 52.506687, 0.001233, 1448.9288820000002, 121.609523, 1381.388847, 72.081796, 0.001513, 1453.4706429999999, 119.575106, 1382.190845, 71.343059, 0.001277, 1453.5339040000001, 119.363646, 1390.04765, 74.278117, 0.001189, 1464.325767, 119.429508, 1400.363378, 71.958304, 0.001203, 1472.321682, 121.40329, 1445.787199, 72.082469, 0.001138, 1517.869668,1380.6272687, 1381.388847, 72.392842, 1448.9288820000002
1024, 251.633771, 2900.953086, 144.199696, 0.001444, 3045.152782, 267.183513, 3114.454691, 185.658444, 0.001222, 3300.113135, 266.063642, 3120.566079, 195.706611, 0.001205, 3316.2726900000002, 271.253146, 3130.03574, 188.319705, 0.001497, 3318.3554449999997, 271.667294, 3134.820312, 201.230392, 0.00122, 3336.0507039999998, 270.514429, 3149.019275, 190.245641, 0.001661, 3339.264916, 263.603209, 3149.193307, 194.757115, 0.001281, 3343.950422, 279.161991, 3171.490368, 194.92554, 0.001267, 3366.4159080000004, 296.495693, 3172.896112, 194.074761, 0.001144, 3366.9708729999998, 264.598077, 3178.997866, 195.474999, 0.001629, 3374.472865, 256.784092, 3227.419372, 193.714677, 0.001753, 3421.134049, 313.948732, 3351.700824, 192.59246, 0.001226, 3544.293284,3348.3001007, 3149.193307, 194.757115, 3343.950422
