scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.121162, 87.766765, 1.927689, 9.53E-4, 89.69445400000001, 3.13546, 91.271838, 1.809607, 9.14E-4, 93.081445, 3.708083, 97.347792, 2.023355, 9.81E-4, 99.371147, 3.282946, 97.806794, 2.060461, 0.001016, 99.867255, 4.233765, 98.173369, 2.174394, 9.68E-4, 100.347763, 3.247608, 111.584801, 2.115304, 0.001162, 113.700105, 6.034453, 114.674081, 2.028689, 9.96E-4, 116.70277, 4.845439, 114.559831, 2.212139, 0.001144, 116.77197, 7.12105, 122.16299, 2.201485, 7.31E-4, 124.364475, 9.415346, 149.427335, 2.983797, 8.85E-4, 152.411132, 11.596518, 186.282124, 3.116118, 7.69E-4, 189.398242, 349.066852, 1398.360781, 12.558019, 0.012056, 1410.9188000000001,120.6016304, 114.559831, 2.174394, 116.70277
1, 2.473851, 71.984926, 1.410039, 9.58E-4, 73.394965, 2.344793, 73.537492, 1.447112, 9.52E-4, 74.984604, 2.499198, 76.180343, 1.441727, 0.001198, 77.62207, 2.726551, 76.579414, 1.446398, 9.22E-4, 78.025812, 2.628135, 77.474147, 1.817927, 9.99E-4, 79.292074, 2.643913, 84.450159, 1.7473, 9.53E-4, 86.197459, 3.239229, 86.656509, 2.157239, 0.001219, 88.813748, 2.618402, 90.490217, 1.376534, 0.001002, 91.86675100000001, 2.42162, 90.628744, 1.682085, 9.96E-4, 92.310829, 2.899145, 96.928668, 1.759449, 0.001165, 98.688117, 2.873666, 98.578449, 2.353798, 9.42E-4, 100.932247, 3.182452, 104.959812, 1.835222, 0.001448, 106.795034,86.8733711, 86.656509, 1.7473, 88.813748
8, 3.928549, 145.848135, 1.389856, 0.001089, 147.23799100000002, 3.790547, 150.442024, 1.455362, 9.61E-4, 151.897386, 4.069523, 157.984238, 1.443921, 9.36E-4, 159.428159, 3.813665, 158.206133, 1.692636, 9.17E-4, 159.898769, 4.054356, 159.247873, 1.385427, 8.79E-4, 160.6333, 3.959808, 159.339421, 1.428237, 9.29E-4, 160.76765799999998, 3.867494, 160.661871, 1.495536, 9.1E-4, 162.15740699999998, 4.973495, 168.320158, 1.589156, 0.001193, 169.909314, 5.417935, 170.048826, 1.552697, 0.001132, 171.601523, 4.64034, 170.42553, 1.568082, 9.59E-4, 171.993612, 6.587502, 180.672142, 1.809168, 0.001387, 182.48131, 12.521153, 192.087112, 8.363466, 0.001156, 200.45057799999998,165.0768438, 160.661871, 1.552697, 162.15740699999998
16, 5.082669, 233.715903, 1.512774, 0.001152, 235.228677, 5.379565, 237.700754, 1.60435, 0.001048, 239.305104, 5.266655, 238.231308, 1.430881, 9.31E-4, 239.662189, 5.501682, 238.755622, 1.502685, 0.001071, 240.258307, 4.947237, 239.999277, 1.54302, 9.3E-4, 241.54229700000002, 5.800613, 242.926206, 1.474766, 0.001162, 244.400972, 5.408034, 243.143171, 1.578028, 9.56E-4, 244.72119899999998, 5.325303, 243.630682, 1.552148, 9.26E-4, 245.18283, 5.787457, 245.202746, 1.652465, 0.001189, 246.855211, 5.569121, 245.673721, 1.456188, 9.62E-4, 247.129909, 14.171611, 270.2326, 1.767184, 0.001103, 271.999784, 6.949279, 273.154235, 1.482205, 0.001403, 274.63644000000005,246.10578019999997, 243.143171, 1.552148, 244.72119899999998
32, 8.399568, 400.988014, 1.540507, 9.18E-4, 402.528521, 8.488019, 406.331295, 1.465989, 9.33E-4, 407.797284, 8.450223, 407.46047, 1.451196, 9.39E-4, 408.91166599999997, 8.747822, 408.193466, 1.420312, 0.001003, 409.613778, 8.541009, 408.458216, 1.528827, 9.42E-4, 409.98704299999997, 8.812755, 408.695435, 1.416891, 0.001124, 410.112326, 9.132923, 417.341058, 1.526102, 0.001448, 418.86715999999996, 8.384699, 419.371753, 1.487278, 0.001121, 420.859031, 8.684648, 437.744996, 1.439775, 9.05E-4, 439.184771, 8.830525, 444.664088, 1.555766, 9.33E-4, 446.219854, 13.818975, 451.45103, 1.463009, 9.86E-4, 452.914039, 8.638458, 453.84757, 1.557959, 9.26E-4, 455.405529,422.44669519999997, 417.341058, 1.465989, 418.86715999999996
64, 16.035222, 754.84484, 1.573188, 0.001028, 756.4180279999999, 15.781377, 755.527828, 1.517803, 0.001336, 757.045631, 14.963362, 779.92558, 1.515233, 0.001159, 781.4408129999999, 14.961864, 784.499028, 1.701151, 0.001103, 786.2001789999999, 15.11478, 790.570212, 1.406784, 0.001344, 791.976996, 16.829447, 795.242499, 1.520723, 0.00113, 796.7632219999999, 14.917482, 800.046467, 1.449065, 0.001195, 801.495532, 15.234991, 803.986682, 1.503183, 9.52E-4, 805.489865, 15.571492, 810.662911, 1.511389, 9.6E-4, 812.1743, 15.284584, 819.349398, 1.531123, 0.001118, 820.8805209999999, 16.813805, 828.55937, 1.54998, 0.001013, 830.10935, 22.853546, 856.05715, 1.452997, 9.31E-4, 857.510147,798.3576408999999, 800.046467, 1.517803, 801.495532
128, 29.031334, 1583.601546, 1.72955, 0.001295, 1585.3310960000001, 28.637047, 1591.222132, 1.759617, 0.001165, 1592.981749, 29.907177, 1599.464725, 1.783857, 0.001016, 1601.248582, 28.442426, 1601.381166, 1.736023, 0.001275, 1603.1171889999998, 28.348211, 1614.75978, 1.815246, 9.65E-4, 1616.575026, 30.318435, 1668.521106, 1.881707, 9.91E-4, 1670.402813, 29.466657, 1674.43556, 1.681913, 0.001067, 1676.1174729999998, 28.319052, 1675.632745, 1.783627, 0.001127, 1677.4163720000001, 28.293624, 1678.952021, 1.698996, 0.001234, 1680.6510170000001, 29.056049, 1679.674592, 1.791237, 0.001042, 1681.465829, 29.066106, 1692.235646, 1.693829, 0.003178, 1693.9294750000001, 34.408579, 1796.241274, 1.768004, 0.001101, 1798.009278,1649.3905524999998, 1674.43556, 1.783627, 1676.1174729999998
256, 58.062781, 3525.517783, 2.18743, 0.001056, 3527.7052129999997, 59.578164, 3543.349589, 2.240445, 0.001075, 3545.590034, 62.234074, 3543.869669, 2.257782, 9.63E-4, 3546.1274510000003, 57.436953, 3568.927378, 2.159679, 0.001424, 3571.0870569999997, 57.953959, 3603.955557, 2.247398, 0.001257, 3606.202955, 57.450922, 3630.370327, 2.207118, 0.001053, 3632.577445, 58.51663, 3636.289963, 2.20224, 0.001184, 3638.4922030000002, 57.754315, 3644.216248, 2.303904, 0.00157, 3646.520152, 57.929052, 3658.69161, 2.16615, 0.001133, 3660.85776, 61.323681, 3666.751128, 2.283725, 0.001083, 3669.0348529999997, 57.173217, 3690.52271, 2.25412, 0.001442, 3692.7768300000002, 63.057938, 3890.432999, 2.217036, 0.001388, 3892.650035,3620.9266740000007, 3636.289963, 2.247398, 3638.4922030000002
512, 116.238963, 8306.953546, 3.460721, 0.001072, 8310.414267, 113.486213, 8354.862347, 3.217454, 0.00126, 8358.079801, 116.801105, 8359.65853, 3.425649, 0.001221, 8363.084179000001, 122.223317, 8361.440239, 3.442493, 0.001409, 8364.882732, 122.460253, 8459.986118, 3.344489, 9.45E-4, 8463.330607, 119.96805, 8475.208957, 3.384068, 0.001462, 8478.593025, 116.591927, 8491.025272, 3.33565, 0.001388, 8494.360922000002, 118.10242, 8567.823368, 3.490401, 0.001103, 8571.313768999999, 116.915291, 8586.178388, 3.330371, 0.001065, 8589.508759, 117.055054, 8586.899119, 3.28638, 9.89E-4, 8590.185499, 117.706118, 8592.537381, 3.399369, 0.001121, 8595.93675, 119.000728, 9120.0136, 3.441311, 0.001132, 9123.454911,8486.927604300003, 8491.025272, 3.384068, 8494.360922000002
1024, 248.723457, 21775.104582, 6.333837, 0.001335, 21781.438419, 245.087089, 21950.302885, 6.666432, 0.001218, 21956.969317000003, 234.574108, 21953.846432, 6.996576, 0.001269, 21960.843008, 239.361983, 22042.463638, 6.2846, 0.001121, 22048.748238, 281.582065, 22140.728424, 6.804327, 0.001505, 22147.532751000002, 239.848283, 22144.601898, 9.531086, 0.001177, 22154.132984, 270.022862, 22180.89061, 8.669081, 0.001343, 22189.559691, 255.855676, 22230.9412, 6.430815, 0.00156, 22237.372015, 243.433437, 22260.894778, 7.001364, 0.00138, 22267.896142, 241.168778, 22279.023021, 8.785223, 0.001268, 22287.808244, 241.749652, 22287.320055, 8.871128, 0.00136, 22296.191183, 300.185381, 23134.676814, 6.555335, 0.001275, 23141.232149,22154.7053573, 22180.89061, 7.001364, 22189.559691
