scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.297907, 42.462359, 1.834701, 9.73E-4, 44.29706, 3.147445, 49.269615, 1.665904, 9.97E-4, 50.935519, 3.328819, 49.297223, 1.863015, 9.64E-4, 51.160238, 3.996487, 49.108476, 2.249152, 9.53E-4, 51.357628000000005, 4.174278, 54.69185, 2.142749, 9.47E-4, 56.834599000000004, 3.406782, 59.84881, 1.976324, 0.001257, 61.825134, 4.686858, 59.768283, 2.088874, 9.38E-4, 61.857156999999994, 5.863459, 65.365284, 2.084624, 0.001076, 67.44990800000001, 8.121049, 67.826058, 2.319255, 7.84E-4, 70.145313, 9.560894, 80.253534, 2.403266, 7.29E-4, 82.6568, 12.565474, 124.297635, 3.315949, 0.001031, 127.613584, 322.451703, 1186.463002, 7.913964, 0.010771, 1194.376966,68.18358799999999, 59.84881, 2.142749, 61.857156999999994
1, 2.419817, 33.544873, 1.108999, 0.001081, 34.653872, 2.382291, 33.461811, 1.392881, 0.001049, 34.854692, 2.601661, 33.932735, 1.190902, 9.17E-4, 35.123637, 2.552574, 34.972257, 1.119594, 0.001034, 36.091851, 2.671581, 35.531978, 1.083907, 0.001429, 36.615885000000006, 2.703171, 36.150591, 1.280573, 9.15E-4, 37.431163999999995, 2.836439, 36.851323, 1.267014, 0.001084, 38.118337000000004, 2.82522, 37.982823, 1.119825, 9.81E-4, 39.102648, 2.998164, 39.035654, 1.508935, 8.97E-4, 40.544589, 3.273152, 42.996356, 1.457624, 9.36E-4, 44.45398, 3.096651, 44.51349, 1.61519, 9.51E-4, 46.128679999999996, 3.08441, 51.630012, 1.369705, 9.58E-4, 52.999717000000004,38.84654629999999, 36.851323, 1.280573, 38.118337000000004
8, 3.791812, 68.890913, 1.105384, 9.52E-4, 69.996297, 4.03173, 69.228402, 1.06413, 9.69E-4, 70.29253200000001, 3.854393, 69.869212, 1.159658, 0.001078, 71.02887, 3.997617, 71.581849, 1.170679, 9.27E-4, 72.75252800000001, 4.933115, 73.432594, 1.295443, 0.001002, 74.728037, 4.159532, 77.454087, 1.186683, 0.00117, 78.64077, 4.097055, 78.392395, 1.226747, 9.97E-4, 79.619142, 3.88418, 78.847829, 1.197429, 9.77E-4, 80.045258, 5.752581, 80.183592, 1.387749, 9.89E-4, 81.571341, 4.898977, 80.987338, 1.404193, 0.001026, 82.391531, 6.194838, 86.876926, 1.377446, 9.6E-4, 88.254372, 9.6536, 106.40518, 1.903988, 9.41E-4, 108.309168,77.93243809999998, 78.392395, 1.226747, 79.619142
16, 5.092217, 106.472692, 1.404533, 9.86E-4, 107.877225, 5.334339, 109.795857, 1.534012, 9.83E-4, 111.329869, 5.357823, 111.84583, 1.395423, 9.18E-4, 113.241253, 5.686106, 112.886285, 1.310019, 9.62E-4, 114.196304, 5.747601, 112.834108, 1.376063, 0.001117, 114.210171, 5.83409, 115.019302, 1.485834, 9.47E-4, 116.505136, 5.388182, 116.469563, 1.328226, 9.46E-4, 117.797789, 5.014584, 117.917769, 1.437755, 0.001054, 119.355524, 5.480913, 121.413204, 1.641641, 9.92E-4, 123.054845, 5.423364, 122.065833, 1.479528, 9.42E-4, 123.545361, 7.314934, 134.590258, 1.503967, 0.001016, 136.094225, 10.167054, 157.437276, 2.420503, 9.94E-4, 159.857779,118.93304770000002, 116.469563, 1.479528, 117.797789
32, 8.668295, 208.128357, 1.417784, 0.001231, 209.546141, 8.667777, 210.377187, 1.512858, 9.15E-4, 211.890045, 8.506197, 213.789056, 1.500878, 9.86E-4, 215.289934, 8.931657, 214.272979, 1.540533, 0.001108, 215.813512, 8.616941, 215.069792, 1.475087, 9.93E-4, 216.544879, 8.742317, 216.154934, 1.652145, 9.51E-4, 217.807079, 8.683549, 216.58918, 1.441317, 9.23E-4, 218.030497, 8.74375, 216.421517, 1.778017, 0.001149, 218.199534, 8.388406, 217.540891, 1.557294, 9.53E-4, 219.098185, 8.426116, 220.888198, 1.471526, 9.38E-4, 222.359724, 8.712239, 238.127728, 1.659668, 9.19E-4, 239.787396, 8.979539, 239.753968, 1.50217, 9.58E-4, 241.256138,219.4820785, 216.421517, 1.540533, 218.030497
64, 16.356742, 398.433423, 2.132255, 9.73E-4, 400.565678, 15.144035, 399.107411, 2.361907, 0.00121, 401.469318, 14.973766, 404.946671, 2.064817, 9.36E-4, 407.011488, 15.13492, 408.041537, 2.13525, 0.001168, 410.176787, 15.164721, 408.029275, 2.15391, 9.53E-4, 410.183185, 16.131069, 409.63108, 2.090701, 9.11E-4, 411.721781, 15.891171, 415.776646, 2.166428, 9.97E-4, 417.943074, 17.046344, 417.551504, 2.137349, 9.47E-4, 419.688853, 15.179623, 419.499233, 2.115486, 9.03E-4, 421.614719, 16.123521, 420.287363, 2.085902, 0.001234, 422.373265, 15.174207, 422.382751, 2.084327, 0.001047, 424.46707799999996, 17.636343, 471.722951, 2.442587, 8.92E-4, 474.165538,414.66495480000003, 415.776646, 2.13525, 417.943074
128, 28.686106, 865.312498, 3.865277, 0.001196, 869.177775, 29.328362, 887.437598, 3.590295, 0.001181, 891.027893, 28.519225, 895.829256, 3.672605, 0.001019, 899.501861, 28.658955, 898.958951, 4.069937, 0.001215, 903.0288879999999, 28.703077, 901.15829, 3.728719, 9.93E-4, 904.8870089999999, 28.704397, 901.345144, 3.773295, 9.03E-4, 905.118439, 30.676652, 902.140845, 3.691714, 9.79E-4, 905.8325590000001, 29.023004, 903.739977, 3.547107, 0.001013, 907.2870839999999, 30.842433, 903.768911, 3.664815, 0.001044, 907.433726, 29.75236, 904.247508, 3.75502, 9.95E-4, 908.002528, 28.409098, 915.068319, 3.703417, 9.3E-4, 918.7717359999999, 30.567222, 952.337989, 3.698382, 9.71E-4, 956.036371,905.0891723000001, 902.140845, 3.703417, 905.8325590000001
256, 62.983754, 2091.801792, 7.384836, 9.98E-4, 2099.1866280000004, 58.608235, 2097.067706, 8.222412, 0.001061, 2105.290118, 58.978065, 2101.090224, 7.583882, 0.00108, 2108.674106, 58.061529, 2107.199211, 7.24837, 8.91E-4, 2114.447581, 57.877907, 2111.374294, 7.603563, 0.0011, 2118.9778570000003, 57.553553, 2114.350844, 7.20817, 0.001084, 2121.559014, 58.403674, 2115.437629, 7.486628, 0.001104, 2122.924257, 58.233867, 2117.523447, 7.470561, 0.001085, 2124.994008, 58.261763, 2131.896761, 7.540378, 0.001059, 2139.437139, 58.091192, 2161.45794, 7.697677, 0.001077, 2169.155617, 67.846434, 2164.114565, 7.640455, 9.31E-4, 2171.75502, 57.533327, 2350.156497, 7.356419, 0.001071, 2357.512916,2129.7214717, 2115.437629, 7.583882, 2122.924257
512, 115.690897, 5591.793344, 17.795522, 0.001323, 5609.588866, 120.357544, 5657.920051, 19.272801, 0.001124, 5677.192852, 120.059501, 5680.194764, 19.542516, 9.88E-4, 5699.73728, 119.676121, 5686.079236, 18.153689, 0.001184, 5704.232924999999, 115.438045, 5700.157924, 15.381164, 0.001259, 5715.539088, 117.051065, 5714.305485, 16.110008, 0.001114, 5730.4154929999995, 116.794993, 5715.058825, 20.486696, 0.001191, 5735.545521, 117.208612, 5721.347791, 21.314972, 9.88E-4, 5742.662763, 117.952839, 5752.529343, 17.267832, 9.85E-4, 5769.797175, 114.501006, 5761.122344, 18.355548, 9.61E-4, 5779.477892000001, 118.086705, 5769.513163, 17.581522, 0.001032, 5787.094685, 114.065319, 6126.314248, 20.456649, 0.001107, 6146.770896999999,5734.1695674, 5715.058825, 18.355548, 5735.545521
1024, 246.277403, 16399.171749, 55.964804, 0.001054, 16455.136553, 241.018871, 16397.945183, 63.256831, 0.001186, 16461.202014, 241.218168, 16445.525446, 55.444305, 0.00108, 16500.969751, 259.197917, 16480.013092, 55.848434, 0.001069, 16535.861526, 236.71222, 16661.208011, 55.951839, 9.79E-4, 16717.15985, 237.339489, 16679.672927, 55.78052, 0.00108, 16735.453447, 236.685407, 16676.787107, 61.778408, 0.003088, 16738.565515, 243.995098, 16814.554845, 56.440258, 0.001094, 16870.995102999997, 242.37752, 16816.6181, 61.350949, 0.00169, 16877.969049, 243.241207, 16820.860548, 61.6739, 0.001046, 16882.534448000002, 243.132719, 16843.83667, 57.626612, 0.001421, 16901.463282, 238.995402, 17416.812984, 51.457188, 9.98E-4, 17468.270172,16722.2173985, 16679.672927, 57.626612, 16738.565515
