scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.414828, 4.452966, 0.001117, 8.76E-4, 4.454083, 3.037057, 4.557774, 0.001256, 9.42E-4, 4.55903, 3.237599, 5.488783, 0.001006, 8.44E-4, 5.489789, 4.186005, 5.970788, 9.06E-4, 9.06E-4, 5.971693999999999, 4.262879, 6.554512, 9.5E-4, 8.4E-4, 6.5554619999999995, 4.833714, 7.567143, 9.61E-4, 0.001081, 7.568104, 5.817395, 9.035928, 6.71E-4, 0.001041, 9.036599, 3.894909, 9.94408, 0.001194, 8.95E-4, 9.945274, 6.785591, 11.498829, 7.47E-4, 8.81E-4, 11.499576000000001, 9.616684, 18.711377, 6.79E-4, 9.04E-4, 18.712056, 11.514025, 22.534764, 8.18E-4, 6.82E-4, 22.535581999999998, 326.71018, 102.50253, 0.007068, 0.009983, 102.509598,10.187316599999999, 9.035928, 9.5E-4, 9.036599
1, 2.376219, 2.829627, 9.13E-4, 8.73E-4, 2.83054, 2.468218, 2.929556, 0.001582, 0.001022, 2.931138, 2.611733, 3.201282, 9.9E-4, 0.001014, 3.202272, 2.387252, 3.317849, 0.001222, 8.62E-4, 3.3190709999999997, 2.444407, 3.323566, 9.39E-4, 9.11E-4, 3.324505, 2.646908, 3.729272, 0.001022, 0.001175, 3.7302939999999998, 2.82646, 3.90233, 0.001053, 8.54E-4, 3.9033830000000003, 4.758064, 4.046904, 8.1E-4, 8.52E-4, 4.047714, 2.920606, 4.254618, 9.24E-4, 8.74E-4, 4.255542, 2.85882, 4.268423, 9.56E-4, 9.75E-4, 4.269379000000001, 3.050467, 4.297526, 0.001396, 9.0E-4, 4.298922, 3.25011, 4.958772, 0.001031, 8.75E-4, 4.959803,3.7282219999999997, 3.90233, 0.001022, 3.9033830000000003
8, 3.798101, 6.450486, 0.001113, 9.6E-4, 6.451599, 3.935246, 6.831978, 0.001064, 0.001099, 6.833042000000001, 4.001272, 7.350481, 0.001153, 0.001051, 7.351634000000001, 4.000926, 7.685129, 0.001064, 0.00103, 7.686193, 3.885862, 7.791104, 0.001105, 0.00108, 7.792209, 3.929188, 8.599327, 0.001021, 0.001252, 8.600348, 4.223, 9.326217, 0.001123, 0.001033, 9.32734, 5.778492, 13.030377, 0.00109, 0.001079, 13.031467, 5.128264, 13.688079, 0.001019, 0.001155, 13.689098, 5.194154, 15.609263, 9.67E-4, 9.61E-4, 15.61023, 4.83259, 15.814876, 0.001084, 0.001303, 15.81596, 12.900798, 17.56849, 0.001192, 8.96E-4, 17.569682,10.5737521, 9.326217, 0.001084, 9.32734
16, 5.49363, 13.456197, 0.001108, 0.001056, 13.457305, 5.356319, 13.463802, 0.001214, 9.61E-4, 13.465015999999999, 5.537441, 13.523188, 0.001023, 9.63E-4, 13.524211, 5.238139, 13.608828, 9.76E-4, 0.001117, 13.609804, 5.38248, 14.028749, 0.001275, 0.001029, 14.030024, 5.394609, 14.21383, 0.002547, 0.001255, 14.216377, 5.999129, 14.74131, 0.001202, 0.001558, 14.742512, 7.255612, 14.772655, 0.001075, 0.001067, 14.77373, 5.302215, 14.864962, 0.00113, 0.001152, 14.866092, 5.440554, 15.24564, 0.001105, 9.62E-4, 15.246745, 11.411543, 15.918888, 0.001027, 9.58E-4, 15.919915000000001, 5.096205, 18.128807, 0.001303, 9.73E-4, 18.13011,14.439442599999998, 14.74131, 0.00113, 14.742512
32, 9.347787, 27.521808, 8.49E-4, 0.001054, 27.522657, 9.392537, 28.560516, 0.001492, 0.001074, 28.562008, 9.83101, 28.899021, 0.001236, 0.001028, 28.900257, 8.463328, 29.228491, 9.86E-4, 9.48E-4, 29.229477000000003, 8.337319, 29.8927, 9.77E-4, 0.001008, 29.893677, 8.386278, 31.513996, 8.21E-4, 8.83E-4, 31.514816999999997, 9.461288, 31.731118, 9.1E-4, 0.00102, 31.732028, 9.691183, 31.960986, 0.001211, 9.7E-4, 31.962197, 8.372994, 34.793293, 9.45E-4, 8.8E-4, 34.794238, 10.900705, 38.982921, 9.24E-4, 8.92E-4, 38.983844999999995, 8.701191, 40.304263, 0.001068, 8.58E-4, 40.305330999999995, 15.902023, 45.042537, 8.34E-4, 8.13E-4, 45.043371,32.587787500000005, 31.731118, 9.86E-4, 31.732028
64, 17.106604, 67.751301, 8.79E-4, 7.75E-4, 67.75218, 16.758688, 68.013578, 9.25E-4, 9.97E-4, 68.01450299999999, 16.866091, 68.120871, 0.001249, 0.001033, 68.12212, 16.4283, 68.20563, 0.001033, 0.001051, 68.206663, 16.461949, 68.339793, 9.77E-4, 0.00101, 68.34077, 16.465484, 68.38587, 0.001197, 0.00103, 68.387067, 17.463495, 68.616163, 9.38E-4, 0.001011, 68.617101, 16.674911, 69.180152, 9.48E-4, 9.99E-4, 69.1811, 16.729293, 69.341878, 9.2E-4, 9.17E-4, 69.34279799999999, 18.067161, 70.150476, 8.15E-4, 8.67E-4, 70.151291, 18.1234, 77.539728, 8.04E-4, 0.001023, 77.540532, 28.175047, 81.53582, 8.78E-4, 9.01E-4, 81.536698,69.5903945, 68.616163, 9.48E-4, 68.617101
128, 31.981009, 134.518532, 0.001002, 0.00105, 134.519534, 31.04844, 134.535317, 9.61E-4, 9.64E-4, 134.53627799999998, 30.241258, 134.903905, 9.23E-4, 0.001021, 134.904828, 28.83724, 135.533316, 0.001156, 9.86E-4, 135.53447200000002, 28.840786, 135.587971, 0.001002, 9.22E-4, 135.588973, 34.060898, 136.151409, 0.001347, 0.001005, 136.152756, 31.650341, 136.709338, 9.25E-4, 9.74E-4, 136.710263, 29.418995, 137.538588, 0.001011, 9.86E-4, 137.539599, 29.098744, 137.848052, 9.25E-4, 0.001097, 137.848977, 30.3398, 142.63972, 8.9E-4, 9.93E-4, 142.64061, 27.992392, 144.542169, 9.44E-4, 0.001003, 144.543113, 32.698989, 156.171089, 9.41E-4, 9.7E-4, 156.17203,137.5999869, 136.709338, 9.61E-4, 136.710263
256, 57.969385, 243.956218, 0.00102, 9.92E-4, 243.95723800000002, 57.597129, 248.347881, 0.001121, 0.001023, 248.349002, 57.035503, 249.86653, 9.43E-4, 0.001043, 249.86747300000002, 58.128269, 251.356343, 0.001051, 9.79E-4, 251.357394, 58.932593, 252.948105, 0.001195, 0.00111, 252.9493, 58.430015, 253.030229, 9.71E-4, 0.001211, 253.03119999999998, 58.793336, 253.478293, 0.001007, 0.001011, 253.4793, 58.200064, 255.037223, 9.23E-4, 0.00105, 255.038146, 58.572828, 256.881197, 0.001279, 0.001087, 256.882476, 58.233229, 257.317191, 0.001136, 0.001165, 257.31832699999995, 58.43875, 257.392684, 8.86E-4, 0.001084, 257.39356999999995, 81.709456, 258.375395, 0.001004, 0.001039, 258.37639900000005,253.56661880000001, 253.478293, 0.001051, 253.4793
512, 117.772616, 491.528922, 9.06E-4, 0.001233, 491.529828, 114.653555, 491.882325, 0.001036, 0.001077, 491.883361, 114.407225, 492.937445, 8.82E-4, 0.001002, 492.938327, 117.676606, 496.888204, 8.99E-4, 9.11E-4, 496.889103, 118.712355, 500.170332, 8.19E-4, 9.92E-4, 500.17115099999995, 118.218991, 503.189547, 7.92E-4, 0.001034, 503.190339, 117.837589, 504.605896, 9.33E-4, 0.002973, 504.60682899999995, 115.991292, 506.519088, 8.82E-4, 0.001049, 506.51997, 117.559937, 522.647018, 8.49E-4, 0.001005, 522.647867, 117.671443, 529.071061, 9.03E-4, 9.27E-4, 529.071964, 120.292182, 534.611148, 9.48E-4, 0.001122, 534.612096, 154.153342, 540.762735, 8.38E-4, 0.001001, 540.7635730000001,508.25310069999995, 504.605896, 8.99E-4, 504.60682899999995
1024, 238.076231, 950.356588, 0.001047, 0.001019, 950.357635, 235.983866, 958.637749, 9.65E-4, 0.001212, 958.6387139999999, 242.944147, 961.689436, 0.00102, 0.001242, 961.690456, 233.790736, 964.863303, 9.4E-4, 0.001049, 964.864243, 296.043943, 970.790917, 8.49E-4, 0.001102, 970.791766, 270.376792, 980.487951, 9.85E-4, 9.43E-4, 980.488936, 240.474639, 985.735095, 9.2E-4, 0.001302, 985.736015, 238.646323, 986.406075, 8.0E-4, 0.00101, 986.406875, 249.499956, 987.378064, 0.001003, 0.001162, 987.379067, 233.90628, 988.703102, 0.001168, 0.00146, 988.70427, 238.631405, 1002.264239, 9.73E-4, 9.54E-4, 1002.265212, 247.558812, 1002.660357, 7.76E-4, 9.53E-4, 1002.661133,978.6965553999999, 985.735095, 9.73E-4, 985.736015
