scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 4.801732, 4.774143, 0.657669, 9.96E-4, 5.431812, 4.333716, 5.63715, 0.82262, 0.001032, 6.45977, 4.180976, 5.604755, 1.065791, 8.85E-4, 6.670546, 4.301404, 6.032528, 0.830358, 8.65E-4, 6.8628860000000005, 4.788587, 6.020425, 0.968803, 0.001054, 6.989228000000001, 5.411945, 7.400726, 1.182143, 0.001024, 8.582868999999999, 6.165324, 8.301668, 1.367359, 0.001026, 9.669027, 8.069749, 10.165426, 1.070335, 0.001063, 11.235761, 9.705558, 13.627389, 1.24657, 8.65E-4, 14.873959000000001, 12.453861, 22.54031, 1.664954, 0.001011, 24.205264000000003, 15.934624, 39.357797, 1.856957, 0.001168, 41.214754, 372.420974, 95.238767, 9.081528, 0.008097, 104.320295,13.6764064, 8.301668, 1.182143, 9.669027
1, 3.322882, 2.934523, 0.646844, 0.001022, 3.581367, 3.217904, 3.043795, 0.566085, 9.28E-4, 3.6098799999999995, 3.628312, 3.212468, 0.645377, 0.001024, 3.8578449999999997, 3.643672, 3.410242, 0.625326, 9.54E-4, 4.0355680000000005, 3.57543, 3.542413, 0.673593, 0.00104, 4.216006, 3.392684, 3.523931, 0.832869, 0.001162, 4.3568, 3.617413, 3.941242, 0.79555, 8.78E-4, 4.7367919999999994, 3.846891, 4.613301, 0.727819, 0.001065, 5.34112, 5.844535, 4.662919, 0.886774, 9.63E-4, 5.5496929999999995, 3.920357, 4.753688, 0.813609, 0.001068, 5.567297, 3.741431, 4.938384, 0.799469, 0.001091, 5.737853, 4.276213, 6.217367, 1.089105, 9.62E-4, 7.306472,4.7008854, 3.941242, 0.79555, 4.7367919999999994
8, 5.091721, 7.987798, 0.595652, 0.001314, 8.58345, 4.70092, 7.88956, 0.701723, 0.001093, 8.591283, 4.949591, 8.380097, 0.723504, 0.001524, 9.103601, 4.992968, 8.30834, 0.885268, 0.001236, 9.193608, 5.133737, 8.982498, 0.778697, 0.001202, 9.761194999999999, 17.924602, 11.761036, 1.137763, 9.27E-4, 12.898799, 5.777027, 12.737999, 0.825156, 0.001056, 13.563155, 7.121117, 12.919331, 0.933654, 0.00104, 13.852985, 7.054853, 13.072654, 0.804726, 0.001161, 13.87738, 7.921896, 13.771743, 0.809732, 0.00106, 14.581475000000001, 6.176358, 15.201725, 0.763832, 0.001374, 15.965557, 8.675308, 19.436373, 0.957414, 0.001021, 20.393787,12.1389038, 12.737999, 0.809732, 13.563155
16, 7.246566, 13.616636, 0.720333, 9.92E-4, 14.336969, 7.041133, 13.677761, 0.684702, 0.001014, 14.362463, 6.789015, 14.308852, 0.662883, 0.00102, 14.971735, 6.810795, 14.850638, 0.791748, 0.001093, 15.642386, 7.014233, 14.937145, 0.719406, 9.67E-4, 15.656550999999999, 8.568556, 17.137797, 1.123253, 0.001053, 18.261049999999997, 7.202588, 18.43302, 0.857072, 9.97E-4, 19.290091999999998, 14.611534, 17.551362, 1.878051, 0.001034, 19.429413, 8.036802, 19.878073, 0.835618, 9.86E-4, 20.713691, 6.987945, 22.004461, 0.719534, 0.001189, 22.723995, 7.066844, 24.517871, 0.878319, 9.96E-4, 25.39619, 7.227137, 25.404292, 0.991002, 0.00121, 26.395294000000003,18.6447566, 17.551362, 0.835618, 19.290091999999998
32, 11.057889, 29.34536, 0.938431, 0.001038, 30.283791, 11.488169, 29.917194, 0.949984, 0.001202, 30.867178, 11.162522, 30.063038, 0.987574, 0.001261, 31.050611999999997, 11.364189, 30.466385, 0.971807, 0.001292, 31.438191999999997, 13.746551, 34.15442, 0.899417, 0.001045, 35.053837, 11.749492, 40.278307, 0.861312, 9.58E-4, 41.139618999999996, 10.929262, 40.93064, 0.883236, 9.79E-4, 41.81387599999999, 12.364394, 41.064523, 1.142945, 9.71E-4, 42.207468, 16.143697, 42.155552, 0.897721, 0.001285, 43.053273, 11.878772, 44.860022, 1.038435, 0.001013, 45.898457, 16.188961, 48.535572, 0.874086, 9.71E-4, 49.409658, 13.535232, 49.337632, 0.894988, 9.9E-4, 50.23262,39.193217, 40.93064, 0.949984, 41.81387599999999
64, 20.20675, 71.734388, 1.607539, 9.48E-4, 73.341927, 19.976361, 71.992785, 1.472968, 0.001297, 73.46575299999999, 20.448704, 73.113451, 1.512581, 0.001102, 74.626032, 20.559968, 73.89602, 1.715899, 0.001008, 75.61191899999999, 19.871851, 74.41093, 1.562511, 9.52E-4, 75.973441, 19.932435, 78.798474, 1.60651, 0.001194, 80.404984, 19.772077, 80.072514, 1.466221, 0.001109, 81.538735, 19.874788, 80.457294, 1.525823, 0.001243, 81.98311700000001, 20.058738, 81.291197, 1.495233, 9.55E-4, 82.78643, 21.760979, 81.329968, 1.525705, 0.001163, 82.855673, 26.369111, 85.966028, 1.614877, 0.001011, 87.580905, 36.09914, 93.332117, 1.999992, 9.85E-4, 95.332109,79.6826989, 80.072514, 1.525823, 81.538735
128, 40.872318, 124.63011, 2.984714, 0.001034, 127.614824, 39.239515, 124.789763, 2.968099, 0.001083, 127.75786199999999, 39.787167, 124.750086, 3.057219, 0.001095, 127.807305, 45.870213, 138.90648, 3.336101, 0.001263, 142.242581, 39.780752, 143.919417, 2.944271, 0.001005, 146.863688, 40.453938, 153.322167, 3.155982, 0.001052, 156.478149, 40.343705, 154.176268, 2.987141, 9.84E-4, 157.163409, 39.768788, 165.433244, 3.621974, 9.69E-4, 169.055218, 38.558391, 169.798356, 3.013298, 0.001165, 172.811654, 38.853556, 175.620076, 3.065251, 0.001073, 178.685327, 45.048436, 186.690154, 3.125204, 0.001192, 189.815358, 39.098471, 188.374317, 2.977921, 9.96E-4, 191.352238,156.86805510000002, 154.176268, 3.065251, 157.163409
256, 79.91779, 254.490339, 6.209717, 0.001017, 260.700056, 81.39231, 255.994038, 6.506407, 9.68E-4, 262.500445, 85.140336, 256.754493, 6.819907, 0.00107, 263.5744, 93.896867, 273.766982, 6.167718, 0.00114, 279.93469999999996, 80.574321, 282.72211, 7.587184, 0.001022, 290.30929399999997, 79.735999, 286.634324, 6.740112, 9.96E-4, 293.374436, 82.581627, 288.046964, 6.949369, 0.010287, 294.996333, 83.008455, 321.035594, 7.296632, 0.001438, 328.332226, 85.720395, 333.540992, 6.384294, 0.001183, 339.925286, 81.193444, 356.30289, 6.824625, 0.001006, 363.127515, 82.488089, 367.098052, 6.700402, 0.001079, 373.798454, 81.637359, 387.031531, 7.182634, 0.001217, 394.214165,308.9873089000001, 288.046964, 6.819907, 294.996333
512, 165.160712, 535.002334, 15.011004, 0.001242, 550.013338, 163.946039, 536.629863, 15.395905, 0.00122, 552.025768, 170.767315, 540.648762, 16.484903, 0.001106, 557.1336650000001, 197.171227, 542.262603, 18.382587, 0.001196, 560.64519, 187.644952, 545.980376, 16.603245, 0.001086, 562.583621, 171.197146, 624.879127, 17.153782, 0.001581, 642.032909, 163.839012, 656.953819, 17.102793, 0.001438, 674.056612, 171.165971, 700.743451, 16.85094, 0.001396, 717.5943910000001, 182.852261, 703.086304, 15.530786, 0.001465, 718.6170900000001, 162.024123, 705.619114, 17.337544, 0.001089, 722.956658, 167.209981, 710.417742, 16.088568, 0.001282, 726.50631, 160.91104, 712.207931, 16.134331, 0.001356, 728.342262,643.4152214, 656.953819, 16.85094, 674.056612
1024, 348.642225, 1243.188718, 59.556087, 0.001337, 1302.744805, 350.39694, 1250.11732, 53.141189, 0.001431, 1303.258509, 353.254207, 1263.758307, 42.341814, 0.001356, 1306.100121, 354.123095, 1256.430088, 49.838314, 0.001117, 1306.2684020000002, 354.581654, 1261.244885, 49.872253, 0.00102, 1311.117138, 352.16677, 1264.743237, 49.099692, 0.001441, 1313.842929, 350.949621, 1270.331505, 45.887184, 0.001204, 1316.218689, 344.012462, 1274.166884, 49.955319, 0.001296, 1324.122203, 360.853995, 1276.839727, 48.86092, 0.001673, 1325.7006470000001, 337.229332, 1301.19324, 48.984576, 0.001097, 1350.1778160000001, 351.575054, 1345.250273, 46.266399, 0.001163, 1391.5166720000002, 343.618679, 1359.688937, 46.851845, 0.001144, 1406.5407819999998,1324.8323126, 1270.331505, 49.099692, 1316.218689
