scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 4.008031, 5.074412, 0.812691, 0.001017, 5.887103, 4.348485, 5.530003, 0.749281, 0.00117, 6.279284, 4.82524, 5.977088, 0.925077, 9.33E-4, 6.902165, 4.306628, 5.948114, 1.07513, 9.18E-4, 7.023244, 4.771575, 6.37316, 0.869828, 0.001007, 7.242988, 5.505032, 6.751605, 1.167698, 8.68E-4, 7.919302999999999, 6.287463, 7.861658, 1.327236, 9.91E-4, 9.188894000000001, 8.030507, 8.381403, 0.962499, 9.68E-4, 9.343902, 10.326363, 11.288927, 1.189407, 7.01E-4, 12.478334, 12.533766, 16.779353, 1.390796, 7.54E-4, 18.170149000000002, 15.447548, 23.195877, 2.032201, 6.78E-4, 25.228078, 386.69236, 93.178128, 8.133329, 0.009663, 101.311457,10.977634100000001, 7.861658, 1.167698, 9.188894000000001
1, 3.141315, 3.065193, 0.574486, 9.38E-4, 3.639679, 3.469577, 3.109469, 0.625027, 0.001058, 3.734496, 3.292734, 3.191935, 0.630614, 9.11E-4, 3.822549, 3.487378, 3.520255, 0.680125, 9.51E-4, 4.20038, 3.484171, 3.594959, 0.697679, 9.12E-4, 4.292638, 3.427896, 3.567001, 0.811504, 0.001183, 4.378505, 3.619517, 3.857541, 0.717605, 0.001111, 4.575146, 3.641392, 3.927254, 0.801048, 8.82E-4, 4.728302, 5.535153, 4.052304, 0.847564, 9.33E-4, 4.899868000000001, 3.827665, 4.761479, 0.751462, 9.0E-4, 5.512941, 4.057105, 4.875945, 0.760559, 0.001105, 5.6365039999999995, 4.128168, 5.906548, 1.14372, 9.58E-4, 7.050268,4.5781329, 3.857541, 0.751462, 4.575146
8, 4.917213, 8.021727, 0.786061, 9.2E-4, 8.807788, 5.158333, 8.265963, 0.666489, 0.001219, 8.932452, 5.016867, 8.420669, 0.715226, 0.001103, 9.135895, 6.275074, 9.020314, 0.845433, 9.88E-4, 9.865747, 5.164165, 9.207954, 0.69074, 9.22E-4, 9.898694, 7.04296, 12.776563, 0.807305, 0.001144, 13.583867999999999, 14.171909, 12.525367, 1.11294, 0.001021, 13.638307, 5.917437, 13.033607, 0.846904, 0.001351, 13.880511, 7.084069, 13.613198, 0.818036, 0.001084, 14.431234, 7.294517, 13.799511, 0.817637, 0.00111, 14.617148, 6.278074, 15.327278, 0.741087, 0.001231, 16.068365, 8.100292, 19.193288, 0.906633, 9.67E-4, 20.099921,12.4052221, 12.776563, 0.817637, 13.638307
16, 7.428522, 14.338632, 0.682313, 0.001124, 15.020945000000001, 7.364837, 19.242138, 0.734218, 9.31E-4, 19.976356, 7.173765, 19.738526, 0.747498, 9.25E-4, 20.486024, 7.415202, 20.285202, 0.709009, 0.001316, 20.994211, 7.01428, 20.581729, 0.788362, 0.001117, 21.370091, 7.122991, 20.767569, 0.695658, 9.85E-4, 21.463227000000003, 7.155154, 21.936227, 0.906498, 0.001285, 22.842724999999998, 7.337833, 25.307569, 0.887526, 8.99E-4, 26.195095000000002, 8.845153, 25.367079, 1.258227, 9.67E-4, 26.625306000000002, 13.909112, 25.096362, 2.184561, 0.001072, 27.280922999999998, 8.03194, 27.172362, 1.097143, 0.001007, 28.269505, 8.992081, 29.376211, 0.899196, 9.31E-4, 30.275407,23.5503463, 21.936227, 0.887526, 22.842724999999998
32, 11.352893, 38.340445, 0.917391, 9.53E-4, 39.257836000000005, 11.229113, 38.695094, 0.835756, 9.79E-4, 39.53085, 11.444502, 38.798739, 0.92628, 9.84E-4, 39.725018999999996, 11.542588, 38.903808, 0.956695, 9.31E-4, 39.860503, 21.398132, 39.936078, 0.839777, 9.82E-4, 40.775855, 11.557742, 39.890407, 0.914057, 9.68E-4, 40.804464, 11.842503, 40.145346, 0.869539, 9.78E-4, 41.01488500000001, 12.166417, 40.215177, 0.97047, 9.61E-4, 41.185646999999996, 12.059162, 40.592035, 0.877577, 9.83E-4, 41.469612000000005, 12.003391, 41.162175, 0.957011, 9.24E-4, 42.119186, 14.731555, 47.69936, 0.90319, 9.68E-4, 48.60255, 13.053733, 49.027383, 1.101343, 0.001052, 50.128726,41.5088571, 40.145346, 0.914057, 41.01488500000001
64, 21.005179, 68.967437, 1.483392, 9.79E-4, 70.450829, 21.554702, 70.859068, 1.724782, 0.001402, 72.58385, 21.239697, 72.253517, 1.554879, 9.73E-4, 73.808396, 21.093476, 73.092539, 1.537771, 9.61E-4, 74.63031000000001, 20.581849, 73.991295, 1.556768, 9.61E-4, 75.548063, 20.634023, 78.511012, 1.579385, 9.02E-4, 80.090397, 20.583003, 78.999494, 1.520041, 0.00107, 80.519535, 22.238153, 80.231135, 1.450824, 9.49E-4, 81.68195899999999, 21.491939, 80.217433, 1.548867, 0.001276, 81.7663, 20.574051, 81.172079, 1.419052, 9.54E-4, 82.59113099999999, 27.469646, 83.993861, 1.58198, 9.83E-4, 85.575841, 36.992622, 93.510976, 1.816443, 9.5E-4, 95.327419,78.8795782, 78.999494, 1.554879, 80.519535
128, 39.973964, 123.246702, 2.932514, 9.28E-4, 126.179216, 42.160359, 125.733039, 2.913108, 9.63E-4, 128.646147, 41.118727, 125.871996, 2.874534, 0.001061, 128.74653, 42.100764, 126.108073, 3.253061, 9.43E-4, 129.361134, 47.902614, 139.252773, 3.074596, 8.84E-4, 142.327369, 42.501366, 150.996931, 3.538342, 8.97E-4, 154.535273, 40.887052, 154.061065, 2.965609, 9.11E-4, 157.026674, 40.337245, 154.62264, 3.049513, 9.74E-4, 157.67215299999998, 41.746311, 158.703905, 3.574874, 0.001029, 162.278779, 41.221382, 160.579927, 3.457612, 9.27E-4, 164.037539, 49.919983, 168.325592, 3.004063, 0.001066, 171.329655, 41.214608, 181.986357, 3.056143, 0.001226, 185.0425,149.59612529999998, 154.061065, 3.074596, 157.026674
256, 86.178994, 252.598644, 6.251387, 0.001033, 258.850031, 88.368975, 253.089798, 6.140982, 0.001011, 259.23078, 83.799957, 253.174871, 6.570825, 9.88E-4, 259.745696, 104.061786, 265.821279, 6.330337, 9.46E-4, 272.151616, 88.884545, 269.931179, 6.15869, 8.96E-4, 276.08986899999996, 88.147642, 275.881474, 7.44166, 0.001002, 283.32313400000004, 90.856197, 278.979814, 5.266922, 0.001048, 284.246736, 84.921658, 330.296592, 7.120348, 9.94E-4, 337.41693999999995, 91.030296, 342.600649, 6.215583, 0.001044, 348.81623199999996, 84.660658, 371.004357, 6.717609, 0.001002, 377.721966, 83.69927, 373.087701, 7.116301, 0.00128, 380.204002, 84.572822, 414.956835, 7.02262, 9.84E-4, 421.97945500000003,307.89469710000003, 278.979814, 6.570825, 284.246736
512, 192.281785, 526.361544, 13.118255, 9.48E-4, 539.479799, 174.570831, 537.197942, 15.202427, 0.001159, 552.400369, 174.777382, 540.851974, 15.420031, 9.81E-4, 556.272005, 169.506433, 540.664154, 16.580555, 0.001302, 557.2447090000001, 170.76604, 549.309111, 14.970699, 0.001114, 564.27981, 175.09717, 581.299606, 18.06846, 0.001129, 599.368066, 175.636735, 624.580065, 14.904517, 0.001309, 639.484582, 176.954827, 654.442489, 17.179155, 9.7E-4, 671.6216440000001, 174.77654, 707.214794, 17.261905, 9.57E-4, 724.4766989999999, 179.58816, 709.39207, 17.319087, 0.001078, 726.711157, 180.832068, 713.771046, 15.546421, 0.001281, 729.317467, 168.850578, 781.990794, 16.112892, 0.001131, 798.103686,632.1176508, 624.580065, 16.580555, 639.484582
1024, 351.806983, 1268.858967, 44.553557, 0.001875, 1313.4125239999998, 361.001491, 1273.857828, 45.404685, 0.001246, 1319.262513, 370.904433, 1276.823481, 43.504926, 0.001406, 1320.328407, 392.495372, 1273.205755, 48.17732, 0.001455, 1321.383075, 368.187141, 1278.485098, 46.404917, 0.001324, 1324.8900150000002, 366.983917, 1282.095507, 44.77383, 0.001033, 1326.869337, 357.995508, 1284.342335, 49.496439, 0.001098, 1333.838774, 363.104348, 1293.910692, 48.422687, 0.001112, 1342.333379, 356.28285, 1281.859384, 65.274737, 0.001156, 1347.134121, 368.257456, 1316.550813, 49.992737, 0.001043, 1366.54355, 385.574784, 1378.054223, 42.496586, 0.001117, 1420.550809, 361.603661, 1436.924929, 43.530902, 0.001233, 1480.455831,1342.313398, 1282.095507, 48.17732, 1333.838774
