scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 4.214703, 75.08849, 1.573796, 8.57E-4, 76.662286, 4.327845, 76.262366, 1.53026, 0.001027, 77.792626, 4.25961, 83.557329, 1.471509, 8.03E-4, 85.028838, 5.608914, 88.725236, 1.874472, 8.9E-4, 90.59970799999999, 4.980823, 93.930958, 1.577188, 8.08E-4, 95.50814600000001, 7.040336, 101.872621, 2.208058, 8.95E-4, 104.08067899999999, 6.157425, 110.917217, 2.181958, 8.83E-4, 113.09917499999999, 10.892764, 127.285381, 2.719404, 9.8E-4, 130.004785, 7.839339, 130.468518, 2.715439, 9.29E-4, 133.183957, 12.048494, 161.143155, 3.20173, 6.38E-4, 164.344885, 20.834866, 209.404888, 3.698579, 6.68E-4, 213.103467, 351.023641, 1354.023019, 8.588811, 0.009161, 1362.61183,120.67462659999998, 110.917217, 2.208058, 113.09917499999999
1, 2.910238, 67.46594, 1.342614, 9.34E-4, 68.808554, 2.90706, 67.633748, 1.539721, 9.47E-4, 69.173469, 3.011118, 68.163529, 1.340202, 9.24E-4, 69.503731, 3.038168, 70.993735, 1.545274, 9.03E-4, 72.53900900000001, 3.718612, 73.261392, 1.571428, 8.86E-4, 74.83282, 2.862568, 77.797052, 1.427073, 9.02E-4, 79.22412499999999, 3.883284, 78.890276, 1.71017, 9.55E-4, 80.600446, 2.984448, 80.040851, 1.454105, 0.001145, 81.494956, 3.009309, 81.188016, 2.01652, 9.1E-4, 83.204536, 3.218465, 82.204476, 1.536876, 9.22E-4, 83.741352, 3.4709, 87.669366, 1.671149, 9.76E-4, 89.340515, 4.401284, 106.024452, 2.72619, 9.25E-4, 108.750642,78.3654959, 78.890276, 1.545274, 80.600446
8, 11.458833, 503.507336, 2.826667, 9.38E-4, 506.334003, 11.164962, 505.805565, 2.764812, 9.31E-4, 508.570377, 11.308899, 510.507612, 2.817954, 0.001007, 513.325566, 11.181465, 511.366766, 2.886113, 0.001089, 514.252879, 11.59243, 511.55208, 2.730022, 9.2E-4, 514.282102, 11.912548, 515.294679, 2.72881, 8.67E-4, 518.0234889999999, 11.335136, 515.477574, 2.753344, 9.97E-4, 518.230918, 18.020487, 521.35485, 3.487014, 9.55E-4, 524.8418640000001, 12.064139, 521.939022, 3.474123, 9.16E-4, 525.413145, 14.080942, 524.449095, 3.291968, 0.001036, 527.741063, 11.491425, 534.916311, 2.96798, 0.001117, 537.884291, 29.557011, 581.040284, 3.231575, 9.98E-4, 584.2718590000001,520.2565694000002, 515.477574, 2.886113, 518.230918
16, 17.477965, 921.011253, 4.240854, 0.0013, 925.252107, 18.989378, 924.853195, 4.230466, 0.001101, 929.083661, 17.572795, 926.9406, 4.160382, 0.001035, 931.100982, 17.788749, 927.238231, 4.246012, 0.001358, 931.484243, 18.329043, 932.405061, 4.195158, 0.001327, 936.600219, 17.695997, 932.98042, 4.281725, 0.001255, 937.262145, 17.458662, 939.159626, 4.337915, 0.001072, 943.497541, 17.203675, 955.021331, 4.182556, 0.001435, 959.203887, 21.059124, 963.734299, 4.334421, 9.16E-4, 968.06872, 18.857973, 984.447975, 4.56718, 0.001056, 989.015155, 17.641452, 1004.504635, 4.725442, 0.00136, 1009.230077, 28.942193, 1053.018043, 4.655934, 9.07E-4, 1057.673977,953.4546630000001, 939.159626, 4.281725, 943.497541
32, 38.209706, 2819.336639, 9.110134, 9.33E-4, 2828.446773, 39.887765, 2836.748202, 9.037691, 0.001049, 2845.785893, 38.193881, 2845.514149, 10.376931, 0.001117, 2855.89108, 40.097917, 2847.600401, 9.360348, 9.91E-4, 2856.9607490000003, 40.120874, 2856.956325, 9.235704, 9.06E-4, 2866.1920290000003, 39.277246, 2860.792555, 9.535369, 9.92E-4, 2870.327924, 39.328067, 2894.291702, 9.242261, 0.0012, 2903.533963, 37.49744, 2895.590367, 9.519475, 0.001267, 2905.109842, 38.397467, 2905.324259, 9.335992, 9.3E-4, 2914.660251, 38.100673, 2921.398668, 9.402705, 0.001122, 2930.801373, 40.06016, 2924.57879, 9.242727, 0.001008, 2933.821517, 43.229547, 2974.647729, 9.217099, 9.9E-4, 2983.8648279999998,2888.3084620999994, 2894.291702, 9.360348, 2903.533963
64, 68.986348, 6470.594625, 20.903133, 0.001107, 6491.4977579999995, 69.739559, 6495.002899, 19.36333, 0.001206, 6514.366229, 71.263162, 6494.979117, 19.581069, 0.001163, 6514.560186, 69.354676, 6517.476125, 18.308954, 0.001444, 6535.785079, 67.498024, 6540.1881, 22.050183, 0.00112, 6562.238283000001, 68.726878, 6586.363791, 21.467036, 0.001053, 6607.830827, 71.021267, 6740.006882, 19.695256, 0.001096, 6759.702138, 69.834959, 6805.480493, 19.413685, 0.001177, 6824.8941780000005, 69.539323, 6806.748085, 19.986619, 0.001165, 6826.734704, 68.878509, 6915.455152, 19.989218, 0.001111, 6935.44437, 76.792594, 6950.380075, 20.882565, 0.001435, 6971.26264, 68.604225, 6976.031634, 22.856237, 0.001278, 6998.887871,6705.2818634, 6740.006882, 19.986619, 6759.702138
128, 159.863913, 25951.871147, 65.348642, 0.001173, 26017.219789000002, 153.850879, 25980.932486, 64.5209, 0.001376, 26045.453386, 154.437325, 26121.393075, 64.70268, 0.001197, 26186.095755, 159.120847, 26133.823163, 70.07141, 0.001325, 26203.894573, 169.151505, 26261.55279, 62.917889, 0.001244, 26324.470679000002, 169.907411, 26443.359669, 74.788504, 0.001342, 26518.148173, 159.486365, 26565.67486, 65.222792, 0.001451, 26630.897652, 151.818161, 26691.793343, 68.059609, 0.001183, 26759.852952, 164.820538, 26698.365718, 65.272389, 0.001114, 26763.638107000002, 153.772846, 26765.254971, 68.343935, 0.001118, 26833.598906, 156.600672, 26829.378334, 62.898075, 0.001225, 26892.276409000002, 157.698889, 27830.95326, 62.293245, 0.001186, 27893.246505,26515.832659199998, 26565.67486, 65.272389, 26630.897652
256, 282.096971, 65695.296654, 133.250277, 0.001364, 65828.546931, 299.65994, 65831.793415, 135.013257, 0.001396, 65966.80667199999, 284.918855, 65957.021925, 129.747763, 0.001204, 66086.769688, 271.753644, 66113.910854, 135.643777, 0.001286, 66249.554631, 300.240804, 66291.535299, 161.55242, 0.001172, 66453.087719, 309.089475, 66322.597122, 131.023139, 0.001478, 66453.620261, 274.136201, 66378.366354, 159.51196, 0.0012, 66537.878314, 287.909129, 66414.566073, 129.936324, 0.001173, 66544.50239699999, 272.753591, 66567.129945, 134.229004, 0.001249, 66701.35894899999, 311.79611, 66554.81056, 157.293766, 0.001646, 66712.104326, 285.621357, 66671.441635, 156.275455, 0.001399, 66827.71708999999, 287.730549, 67259.67609, 130.527135, 0.001339, 67390.20322499999,66453.3400047, 66378.366354, 135.643777, 66537.878314
512, 594.16639, 246005.793796, 302.218273, 0.001213, 246308.01206900002, 634.627619, 248551.317972, 299.782037, 0.001197, 248851.100009, 594.121882, 249880.20113, 311.749846, 0.001388, 250191.950976, 619.116262, 250746.049786, 321.240017, 0.001409, 251067.289803, 622.703485, 251175.711281, 300.944144, 0.001238, 251476.655425, 609.326432, 252007.432517, 301.074975, 0.001229, 252308.507492, 669.358909, 252032.126046, 298.94462, 0.001303, 252331.07066599999, 605.101944, 252236.327307, 301.62363, 0.001451, 252537.950937, 602.097368, 252686.842353, 293.02444, 0.001289, 252979.866793, 605.593779, 254095.290363, 300.223857, 0.001115, 254395.51422, 602.771164, 256241.109772, 306.994408, 0.001237, 256548.10418, 595.327914, 256513.858609, 306.436968, 0.001587, 256820.29557699998,252268.80105009995, 252032.126046, 301.074975, 252331.07066599999
1024, 1220.665545, 927082.325006, 829.73774, 0.001154, 927912.062746, 1340.133517, 971783.672772, 695.739915, 0.00124, 972479.412687, 1250.211302, 972077.376664, 646.91626, 0.001432, 972724.292924, 1273.827532, 974064.547226, 665.016935, 0.001288, 974729.564161, 1299.850584, 974409.022009, 642.341343, 0.001323, 975051.3633519999, 1421.924914, 975367.605634, 707.429902, 0.001547, 976075.035536, 1283.14805, 976289.695436, 680.447877, 0.001127, 976970.143313, 1363.543903, 977922.296449, 663.166585, 0.001516, 978585.463034, 1293.95857, 978611.146941, 676.696651, 0.00128, 979287.843592, 1321.328103, 980014.640001, 694.773945, 0.001798, 980709.413946, 1274.064141, 983948.42851, 666.565277, 0.001539, 984614.993787, 1531.908248, 985852.016922, 671.003327, 0.001773, 986523.0202489999,977122.7526332, 976289.695436, 676.696651, 976970.143313
