scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 3.605249, 7.982718, 0.00103, 0.001124, 7.983748, 4.260442, 8.521122, 8.75E-4, 8.64E-4, 8.521997, 4.642563, 8.586132, 0.001085, 0.00105, 8.587216999999999, 4.831864, 9.333725, 8.38E-4, 8.31E-4, 9.334563, 5.516824, 10.333537, 0.001086, 0.00102, 10.334623, 6.091043, 10.987262, 9.0E-4, 8.5E-4, 10.988161999999999, 6.106338, 11.735201, 0.00108, 8.03E-4, 11.736281, 6.753088, 20.982923, 9.43E-4, 7.91E-4, 20.983866, 9.127415, 30.572681, 8.86E-4, 7.67E-4, 30.573567, 11.487534, 31.655406, 8.96E-4, 7.05E-4, 31.656302, 19.559146, 42.686217, 9.68E-4, 7.45E-4, 42.687185, 345.840041, 168.084116, 0.007039, 0.009655, 168.091155,18.5403763, 11.735201, 9.43E-4, 11.736281
1, 3.118981, 6.610263, 9.17E-4, 9.67E-4, 6.61118, 3.078236, 6.613505, 0.001199, 9.88E-4, 6.614704, 2.800222, 6.640053, 0.001056, 8.05E-4, 6.641109, 2.888018, 6.691261, 0.001061, 0.001043, 6.692322, 2.782969, 6.787215, 9.71E-4, 8.61E-4, 6.788186, 3.042714, 6.843507, 0.001076, 9.31E-4, 6.844583, 3.126231, 7.350151, 0.001047, 9.02E-4, 7.351198, 3.379113, 7.413041, 0.001144, 9.46E-4, 7.414185, 3.543856, 7.557439, 8.99E-4, 9.21E-4, 7.558338, 5.331795, 7.637093, 9.23E-4, 9.04E-4, 7.638016, 3.323846, 7.817037, 9.6E-4, 0.001085, 7.817997, 4.244444, 11.806309, 0.001038, 0.001041, 11.807347,7.1360638000000005, 7.350151, 0.001056, 7.351198
8, 10.980073, 85.050113, 9.75E-4, 0.001021, 85.051088, 12.206454, 85.824615, 8.03E-4, 0.001219, 85.825418, 12.462026, 85.852655, 8.94E-4, 9.22E-4, 85.853549, 12.355131, 86.033342, 0.001059, 9.72E-4, 86.034401, 12.603404, 87.514914, 9.53E-4, 8.56E-4, 87.515867, 12.276891, 87.646512, 9.86E-4, 9.37E-4, 87.647498, 10.728253, 88.456616, 8.75E-4, 8.72E-4, 88.45749099999999, 12.5954, 88.530043, 8.05E-4, 9.34E-4, 88.530848, 14.220867, 90.639684, 0.001133, 9.29E-4, 90.640817, 13.749689, 91.499196, 9.33E-4, 9.41E-4, 91.500129, 17.461433, 97.370117, 0.001053, 9.45E-4, 97.37116999999999, 23.54496, 106.894485, 9.05E-4, 8.97E-4, 106.89539,88.9377188, 88.456616, 9.53E-4, 88.45749099999999
16, 18.044901, 128.180407, 0.001096, 9.02E-4, 128.181503, 18.066678, 130.866147, 0.001042, 9.51E-4, 130.86718900000002, 17.419094, 131.01357, 8.06E-4, 0.001253, 131.014376, 17.482395, 131.872675, 0.001083, 8.66E-4, 131.87375799999998, 17.506692, 133.823611, 0.001129, 0.001249, 133.82474, 18.456642, 134.336175, 8.89E-4, 9.5E-4, 134.337064, 17.647202, 138.060523, 0.001084, 9.7E-4, 138.06160699999998, 17.226334, 138.826002, 9.48E-4, 0.001235, 138.82694999999998, 15.992623, 139.905672, 9.32E-4, 9.19E-4, 139.90660400000002, 16.456558, 140.273515, 8.57E-4, 9.76E-4, 140.274372, 16.514655, 140.884149, 9.64E-4, 8.93E-4, 140.88511300000002, 23.461313, 144.546669, 9.06E-4, 0.002913, 144.547575,135.9871773, 138.060523, 9.64E-4, 138.06160699999998
32, 36.477194, 279.102626, 9.21E-4, 0.001198, 279.103547, 52.679109, 283.920659, 8.25E-4, 9.37E-4, 283.921484, 36.406977, 284.527067, 9.71E-4, 9.08E-4, 284.528038, 37.494192, 294.384913, 8.21E-4, 9.81E-4, 294.38573399999996, 35.769447, 300.36138, 9.59E-4, 8.89E-4, 300.362339, 38.421878, 301.709007, 0.002867, 0.001, 301.71187399999997, 36.228072, 301.787597, 9.15E-4, 9.32E-4, 301.788512, 38.519653, 302.242798, 0.00101, 8.93E-4, 302.243808, 36.554386, 304.738675, 8.24E-4, 8.65E-4, 304.739499, 38.085078, 305.536199, 9.23E-4, 0.001021, 305.537122, 36.764499, 306.703927, 0.001064, 9.23E-4, 306.704991, 37.603623, 308.456917, 7.93E-4, 0.00107, 308.45770999999996,298.5923401000001, 301.787597, 9.59E-4, 301.788512
64, 66.944628, 534.725243, 0.001111, 9.36E-4, 534.726354, 74.716375, 550.897148, 9.24E-4, 0.001184, 550.8980720000001, 66.656838, 552.18425, 9.03E-4, 9.4E-4, 552.185153, 67.338844, 553.278773, 9.02E-4, 0.002484, 553.279675, 69.956731, 558.254654, 0.001249, 9.39E-4, 558.255903, 69.754867, 558.317329, 0.001045, 0.00102, 558.318374, 69.084478, 558.735488, 8.88E-4, 0.001153, 558.7363760000001, 70.856033, 560.837102, 9.43E-4, 9.86E-4, 560.838045, 69.145454, 561.482565, 0.001058, 9.29E-4, 561.483623, 69.087423, 563.774269, 8.86E-4, 9.64E-4, 563.775155, 68.878779, 567.542545, 9.04E-4, 8.96E-4, 567.543449, 87.5284, 580.298487, 9.01E-4, 9.17E-4, 580.299388,558.5313825000001, 558.735488, 9.24E-4, 558.7363760000001
128, 160.187593, 1105.475758, 0.001092, 0.001118, 1105.47685, 179.910818, 1112.822083, 0.001163, 0.001229, 1112.823246, 149.831371, 1162.481956, 0.001197, 0.001299, 1162.4831530000001, 162.226107, 1166.694132, 0.001131, 0.001115, 1166.695263, 157.431681, 1199.525128, 0.001282, 0.0013, 1199.52641, 156.697674, 1208.708778, 0.001162, 0.001011, 1208.70994, 155.802779, 1213.549044, 0.001143, 0.001053, 1213.550187, 173.223549, 1216.487208, 0.001292, 0.00137, 1216.4885, 181.648408, 1219.017753, 0.001039, 0.001368, 1219.018792, 174.393905, 1227.970969, 0.001092, 0.001046, 1227.972061, 202.561243, 1253.793327, 0.001647, 0.001157, 1253.7949740000001, 175.181255, 1292.067704, 0.001152, 0.001088, 1292.068856,1198.1062526, 1213.549044, 0.001163, 1213.550187
256, 287.946301, 1970.048005, 0.001144, 0.001693, 1970.0491490000002, 274.632763, 1983.747223, 9.99E-4, 0.001721, 1983.7482220000002, 355.4917, 2036.149514, 0.00113, 0.001141, 2036.150644, 311.353005, 2048.361701, 0.001133, 0.001338, 2048.362834, 276.825453, 2051.619663, 0.001087, 0.001381, 2051.62075, 314.699413, 2057.64591, 0.001505, 0.001053, 2057.6474150000004, 315.217101, 2080.88732, 0.001317, 0.001402, 2080.888637, 326.964214, 2086.603808, 0.001216, 0.001359, 2086.605024, 322.572522, 2159.606513, 0.001082, 0.001195, 2159.6075950000004, 329.827712, 2234.588318, 0.001478, 0.001175, 2234.589796, 323.785384, 2236.536878, 0.00162, 0.00114, 2236.538498, 314.520204, 2272.019323, 0.001665, 0.001102, 2272.0209879999998,2097.5759415, 2080.88732, 0.001216, 2080.888637
512, 658.421532, 4382.230808, 0.00127, 0.001437, 4382.232078, 678.239098, 4411.008708, 0.001002, 0.001605, 4411.00971, 670.693577, 4414.192963, 0.001155, 0.001465, 4414.194118, 692.916, 4415.776423, 9.8E-4, 0.001205, 4415.777403, 667.629633, 4430.119147, 0.001177, 0.001052, 4430.120324, 668.054531, 4433.830088, 0.001604, 0.001203, 4433.831692, 682.351127, 4441.010791, 0.001323, 0.001093, 4441.012114, 714.393638, 4458.033194, 0.001154, 0.001611, 4458.034347999999, 656.127845, 4487.046002, 0.001, 0.00141, 4487.047002, 673.415191, 4503.425774, 0.001122, 0.001381, 4503.426896, 710.698025, 4510.514993, 0.001273, 0.001262, 4510.516266, 771.967077, 4568.889228, 0.001928, 0.001546, 4568.891156,4450.496987299999, 4441.010791, 0.001155, 4441.012114
1024, 1332.734941, 8527.142627, 0.001213, 0.001267, 8527.143839999999, 1322.28937, 8626.259717, 0.00208, 0.001457, 8626.261797000001, 1388.769869, 8662.117336, 0.001563, 0.001572, 8662.118899, 1331.426022, 8691.092449, 0.001649, 0.001246, 8691.094098, 1516.222275, 8729.107501, 0.001119, 0.001182, 8729.10862, 1344.334915, 8734.965271, 0.001194, 0.001899, 8734.966465, 1371.039517, 8771.337003, 0.001154, 0.001142, 8771.338157, 1337.204463, 8824.285557, 0.001218, 0.00119, 8824.286774999999, 1400.666515, 8842.606107, 0.001069, 0.001486, 8842.607176, 1373.965369, 8843.29977, 0.00127, 0.001442, 8843.30104, 1365.272372, 8877.527102, 0.001536, 0.00166, 8877.528638, 1467.654097, 8878.786802, 0.001283, 0.001599, 8878.788085,8760.2611665, 8771.337003, 0.00127, 8771.338157
