scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 5.650689, 9.590614, 0.718337, 0.001169, 10.308951, 5.87542, 9.719978, 0.777259, 0.001086, 10.497237, 5.808654, 9.80446, 0.710514, 0.001143, 10.514974, 6.435965, 10.836135, 0.656006, 0.001128, 11.492141, 8.04613, 11.370234, 0.886961, 0.001217, 12.257195, 7.898329, 13.58803, 0.901577, 0.001095, 14.489607, 7.98685, 15.338611, 0.910975, 0.00139, 16.249586, 8.600456, 18.638871, 1.054897, 0.001275, 19.693768000000002, 11.387449, 22.025267, 1.411067, 8.47E-4, 23.436334, 19.164841, 27.323432, 1.590727, 0.001253, 28.914159, 25.752565, 45.030869, 1.299458, 0.001176, 46.330327000000004, 400.305698, 168.600568, 7.514165, 0.009213, 176.114733,19.387532800000002, 15.338611, 0.910975, 16.249586
1, 3.702933, 8.214249, 0.646586, 0.001071, 8.860835, 3.877545, 8.392295, 0.550377, 0.001309, 8.942672, 3.928707, 8.393315, 0.705278, 0.00112, 9.098593, 3.746733, 8.438014, 0.723161, 0.001533, 9.161175, 3.762183, 8.607512, 0.610649, 0.001124, 9.218161, 3.847355, 8.90042, 0.569539, 0.001264, 9.469959000000001, 4.47323, 9.093793, 0.569796, 0.00104, 9.663589, 4.154709, 9.027342, 0.6751, 0.001105, 9.702442000000001, 5.310827, 9.26406, 0.651381, 0.001151, 9.915441000000001, 6.968949, 9.331991, 0.706225, 0.001033, 10.038216, 5.469224, 9.462858, 0.680458, 0.00129, 10.143316, 5.940975, 13.650736, 1.015576, 0.001164, 14.666312,9.535356400000001, 9.027342, 0.6751, 9.663589
8, 15.126697, 80.404194, 1.10099, 9.72E-4, 81.505184, 15.546126, 81.854589, 1.002587, 0.001232, 82.85717600000001, 15.369466, 83.11431, 1.052107, 0.001051, 84.16641700000001, 16.615382, 83.907606, 1.108069, 0.001094, 85.015675, 17.644676, 95.777884, 1.153418, 0.001317, 96.931302, 15.091646, 96.237341, 1.293102, 9.66E-4, 97.530443, 15.672103, 105.718735, 1.128953, 9.71E-4, 106.84768799999999, 15.843528, 107.737778, 1.081431, 0.001089, 108.819209, 16.67795, 111.222118, 1.225764, 0.001097, 112.44788199999999, 15.198729, 113.902124, 1.268628, 0.001036, 115.17075200000001, 21.2323, 118.593658, 1.247737, 0.001014, 119.841395, 30.80484, 138.459768, 1.257986, 0.001082, 139.71775399999999,100.96279390000001, 105.718735, 1.153418, 106.84768799999999
16, 25.289533, 138.978669, 1.664018, 9.96E-4, 140.642687, 23.979846, 139.794903, 1.618556, 0.001097, 141.41345900000002, 23.768729, 140.190332, 1.676069, 0.001084, 141.86640100000002, 23.340674, 141.789795, 1.546469, 0.001122, 143.336264, 23.257483, 152.602811, 1.62468, 0.001124, 154.22749100000001, 25.524175, 154.568242, 1.582615, 0.001072, 156.150857, 24.318304, 160.913378, 1.698803, 9.74E-4, 162.612181, 23.711151, 174.206865, 1.592845, 0.001114, 175.79971, 23.718665, 176.108973, 1.728908, 0.001144, 177.83788099999998, 25.141177, 176.613772, 1.562225, 0.001097, 178.17599700000002, 27.214257, 176.974166, 1.669427, 0.001359, 178.643593, 33.263386, 188.453125, 1.676927, 0.001104, 190.130052,161.0063834, 160.913378, 1.62468, 162.612181
32, 52.510854, 315.217249, 3.421556, 0.001042, 318.638805, 58.255245, 316.563811, 3.537101, 9.94E-4, 320.100912, 62.773034, 317.263714, 3.71175, 0.001015, 320.975464, 52.8237, 317.459462, 3.941413, 9.97E-4, 321.400875, 53.877856, 319.965677, 3.498048, 0.001067, 323.463725, 54.410136, 321.953059, 3.665465, 0.001056, 325.618524, 54.067052, 321.901716, 4.100225, 0.001057, 326.00194100000004, 57.554969, 324.880022, 3.454162, 0.001056, 328.334184, 52.886859, 329.145422, 3.766547, 9.68E-4, 332.911969, 53.028537, 330.095688, 4.026946, 0.001059, 334.122634, 68.501134, 362.338974, 4.253933, 0.001023, 366.592907, 61.212797, 378.08427, 3.975509, 0.001032, 382.059779,329.9523135, 321.953059, 3.766547, 326.00194100000004
64, 101.282328, 579.835199, 7.171386, 0.001046, 587.006585, 105.795286, 583.033561, 7.493345, 0.001084, 590.5269059999999, 104.979851, 584.363061, 8.259382, 0.001263, 592.622443, 99.697129, 585.600156, 8.7056, 0.001141, 594.305756, 105.93281, 586.195993, 8.297754, 0.002853, 594.4937470000001, 97.424192, 589.044169, 8.464814, 0.001323, 597.5089830000001, 96.795236, 594.245202, 8.245511, 0.001054, 602.4907129999999, 106.429424, 590.884181, 11.732215, 0.001172, 602.616396, 105.382051, 595.912538, 8.366564, 0.001171, 604.2791020000001, 99.979832, 602.68059, 7.819384, 0.001242, 610.4999740000001, 101.992295, 669.838536, 8.964614, 0.001159, 678.80315, 106.200043, 717.076237, 7.778914, 0.001236, 724.855151,606.8147170000001, 590.884181, 8.366564, 602.4907129999999
128, 227.653967, 1378.812486, 27.26165, 0.00174, 1406.074136, 231.87889, 1387.775949, 26.579086, 0.001163, 1414.355035, 227.895393, 1389.660082, 26.042351, 0.00128, 1415.7024330000002, 233.663065, 1392.730307, 23.500981, 0.001462, 1416.231288, 226.5817, 1395.469047, 27.508373, 0.00116, 1422.97742, 227.136389, 1396.149898, 27.366314, 0.001602, 1423.516212, 242.534008, 1398.586454, 26.033525, 0.001725, 1424.619979, 230.130813, 1404.859038, 28.740057, 0.001491, 1433.599095, 223.507709, 1411.34414, 27.007635, 0.001188, 1438.3517749999999, 286.844697, 1505.53638, 26.748071, 0.001169, 1532.284451, 237.166956, 1534.752329, 26.8236, 0.001579, 1561.5759289999999, 219.024229, 1594.868458, 27.321025, 0.001384, 1622.1894829999999,1448.3213616999997, 1398.586454, 26.8236, 1424.619979
256, 418.773308, 2722.004904, 47.422276, 0.001198, 2769.4271799999997, 412.549243, 2722.428167, 48.218283, 0.001255, 2770.64645, 400.273353, 2739.068259, 47.475006, 0.001428, 2786.5432650000002, 407.79877, 2812.687977, 53.729761, 0.001187, 2866.417738, 416.100322, 2836.220533, 53.432208, 0.001311, 2889.6527410000003, 404.915029, 2847.003657, 47.449664, 0.001205, 2894.4533210000004, 410.934838, 2845.231041, 50.482016, 0.001176, 2895.713057, 430.107377, 2855.45215, 49.034255, 0.001234, 2904.486405, 417.552485, 2866.53836, 52.669556, 0.001219, 2919.207916, 417.859351, 2869.046757, 52.273791, 0.001573, 2921.320548, 400.049299, 2869.935948, 53.219253, 0.001388, 2923.155201, 436.963172, 2874.767024, 51.026059, 0.001465, 2925.793083,2877.1596642, 2847.003657, 52.273791, 2895.713057
512, 909.542386, 6070.385519, 105.273128, 0.00116, 6175.658647, 887.781101, 6093.62647, 113.215675, 0.001222, 6206.8421450000005, 963.410144, 6140.407293, 108.441298, 0.001268, 6248.848591, 993.701617, 6153.803234, 106.72985, 0.001319, 6260.533084, 957.732711, 6173.58834, 112.070891, 0.001235, 6285.659231000001, 964.92268, 6175.460605, 110.754929, 0.001245, 6286.215534, 898.408394, 6196.58226, 110.04582, 0.001405, 6306.62808, 947.903463, 6219.156855, 116.566952, 0.001408, 6335.723807, 1011.971782, 6293.818102, 100.817255, 0.001182, 6394.635357, 960.424113, 6298.249591, 110.511147, 0.001219, 6408.760738, 946.045842, 6353.637866, 107.581166, 0.001448, 6461.219032, 937.749894, 6412.738512, 111.461967, 0.00141, 6524.200479,6319.5065599, 6196.58226, 110.511147, 6306.62808
1024, 1936.148516, 12117.582823, 229.286825, 0.001338, 12346.869648, 1922.986598, 12123.727341, 236.894818, 0.001264, 12360.622159, 1904.887361, 12418.052072, 229.674326, 0.001351, 12647.726398, 1854.434172, 12465.674138, 217.485433, 0.001291, 12683.159571, 2100.630454, 12502.060733, 224.37375, 0.001191, 12726.434483000001, 1958.991578, 12518.264673, 221.851609, 0.001229, 12740.116281999999, 2284.985298, 12605.999811, 196.660895, 0.001318, 12802.660706, 1902.909047, 12546.16006, 262.861706, 0.00129, 12809.021766, 1926.251731, 12633.446165, 216.243873, 0.00145, 12849.690037999999, 2036.494759, 12778.642885, 210.233892, 0.00148, 12988.876777, 1858.642748, 12768.683193, 222.139947, 0.001262, 12990.82314, 2043.388376, 12835.810831, 211.194484, 0.001397, 13047.005315,12759.913132000001, 12546.16006, 222.139947, 12802.660706
