scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 5.603077, 9.157785, 0.697533, 0.001213, 9.855318, 5.480726, 9.331142, 0.619175, 0.001164, 9.950317, 5.851008, 9.884186, 0.836832, 0.00114, 10.721017999999999, 6.210604, 10.293946, 0.657899, 0.001426, 10.951845, 6.969249, 11.828181, 0.806785, 0.001329, 12.634966, 7.480482, 12.086302, 0.920234, 0.001469, 13.006536, 8.082548, 12.754189, 0.95497, 0.00121, 13.709159, 8.759711, 18.376343, 1.119113, 0.001151, 19.495455999999997, 12.25698, 21.753203, 1.315162, 0.001082, 23.068365, 15.285442, 23.693484, 1.480364, 0.001116, 25.173848000000003, 23.722807, 45.001751, 1.509945, 0.001194, 46.511696, 404.48241, 169.872753, 7.541731, 0.010066, 177.414484,18.522320599999997, 12.754189, 0.95497, 13.709159
1, 3.640506, 8.034482, 0.637464, 0.001262, 8.671946, 3.913754, 8.055622, 0.693141, 0.00128, 8.748763, 3.763216, 8.296633, 0.563268, 0.001318, 8.859901, 3.83098, 8.410856, 0.607081, 0.001654, 9.017937, 3.837422, 8.475935, 0.55163, 0.001329, 9.027565, 6.771694, 8.529787, 0.709204, 0.00132, 9.238991, 3.682849, 8.576285, 0.73282, 0.00122, 9.309105, 4.819665, 9.030586, 0.581691, 0.001188, 9.612276999999999, 4.385, 9.016459, 0.767675, 0.001309, 9.784134, 5.160244, 9.35957, 0.661474, 0.001262, 10.021044, 5.419818, 9.813516, 0.71321, 0.001327, 10.526726, 5.860287, 13.854396, 1.045981, 0.001493, 14.900376999999999,9.4146443, 8.576285, 0.693141, 9.309105
8, 15.43383, 79.20412, 1.212841, 0.001272, 80.416961, 15.636748, 80.94299, 1.105511, 9.72E-4, 82.04850099999999, 15.570887, 81.605035, 1.081142, 0.001143, 82.686177, 16.745996, 82.454864, 1.149831, 0.00141, 83.604695, 19.605496, 85.786849, 1.090576, 0.001129, 86.877425, 15.245092, 95.716775, 1.036927, 0.00103, 96.753702, 14.966957, 97.112817, 1.017699, 0.001242, 98.130516, 16.6013, 98.08866, 1.32347, 0.001085, 99.41213, 15.485114, 98.662006, 1.068096, 0.001051, 99.730102, 20.570304, 103.13003, 1.285813, 0.001021, 104.41584300000001, 17.014988, 110.642981, 1.221313, 0.001274, 111.864294, 28.459959, 141.16457, 1.31157, 0.001231, 142.47614,94.5523385, 97.112817, 1.105511, 98.130516
16, 26.400339, 137.693003, 1.710927, 0.001526, 139.40393, 24.441919, 139.947631, 1.619489, 0.00105, 141.56712, 23.753507, 140.525082, 1.570327, 0.001209, 142.095409, 24.498984, 140.816267, 1.538454, 0.001235, 142.354721, 23.138363, 151.213923, 1.638544, 0.001165, 152.852467, 24.686357, 151.551639, 1.611154, 0.001386, 153.162793, 23.530143, 154.085133, 1.712513, 0.001403, 155.79764600000001, 25.607334, 171.09989, 2.027986, 0.001227, 173.127876, 25.039713, 173.314859, 1.612187, 0.001143, 174.92704600000002, 23.933016, 174.541141, 1.70163, 0.00116, 176.242771, 23.466866, 182.154328, 2.530237, 0.001464, 184.684565, 28.523796, 185.472914, 1.690534, 0.00121, 187.16344800000002,159.6812414, 154.085133, 1.638544, 155.79764600000001
32, 59.751782, 296.344575, 3.704912, 9.74E-4, 300.049487, 59.114834, 317.592742, 3.590652, 0.001023, 321.18339399999996, 54.715022, 317.460439, 3.946344, 0.00107, 321.406783, 57.953155, 327.899467, 3.461334, 0.001271, 331.36080100000004, 51.421117, 327.451705, 3.997346, 0.001131, 331.449051, 51.965406, 327.345049, 4.291206, 0.001063, 331.636255, 54.438627, 332.615395, 4.353885, 0.001295, 336.96927999999997, 53.870342, 334.404541, 4.371378, 0.001152, 338.775919, 60.281452, 338.443538, 3.617471, 0.001338, 342.061009, 68.402396, 367.282293, 3.769369, 0.001149, 371.05166199999996, 59.693885, 394.763505, 4.118391, 0.001076, 398.881896, 52.689296, 410.360766, 3.909643, 0.00101, 414.27040900000003,342.477605, 332.615395, 3.997346, 336.96927999999997
64, 105.630098, 588.91223, 8.236421, 0.001323, 597.148651, 101.234203, 594.324123, 7.672052, 0.001428, 601.996175, 96.49535, 599.496594, 7.100946, 0.001447, 606.59754, 110.630769, 601.577859, 8.216234, 0.00115, 609.794093, 102.513382, 612.342809, 8.123293, 0.001046, 620.466102, 99.535873, 613.254504, 12.119033, 0.001132, 625.3735369999999, 99.695674, 620.484648, 7.313337, 0.001162, 627.797985, 98.640337, 624.748146, 9.406467, 0.001001, 634.154613, 98.352114, 628.560865, 7.611006, 0.001511, 636.171871, 100.857552, 676.495342, 7.482228, 0.001274, 683.97757, 102.480723, 788.616155, 7.609711, 0.001034, 796.225866, 102.842499, 797.136583, 7.510602, 0.001105, 804.6471849999999,644.2555351999999, 620.484648, 7.672052, 627.797985
128, 232.729242, 1395.523427, 24.382727, 0.001753, 1419.906154, 219.094663, 1403.040781, 28.04529, 0.001516, 1431.086071, 231.805506, 1405.640716, 27.37386, 0.001395, 1433.014576, 233.31571, 1409.946315, 23.872861, 0.001348, 1433.819176, 230.379354, 1412.86461, 23.814183, 0.001325, 1436.678793, 240.895348, 1409.095714, 28.560823, 0.001804, 1437.656537, 223.757522, 1415.730847, 27.419337, 0.00359, 1443.150184, 244.600781, 1415.826245, 27.500647, 0.001772, 1443.326892, 231.619237, 1516.944526, 28.409785, 0.001258, 1545.354311, 234.698476, 1558.507159, 22.150134, 0.001369, 1580.657293, 234.280039, 1597.991556, 27.275355, 0.001663, 1625.266911, 268.804661, 1676.247995, 27.499266, 0.002469, 1703.747261,1481.0010744, 1415.730847, 27.419337, 1443.150184
256, 432.014594, 2589.360761, 49.156665, 0.001437, 2638.517426, 412.13991, 2625.997088, 46.194606, 0.001516, 2672.191694, 402.757002, 2623.300665, 49.352727, 0.001528, 2672.653392, 405.830204, 2625.537433, 51.610527, 0.001366, 2677.14796, 406.284989, 2633.465091, 47.043704, 0.001443, 2680.508795, 440.287185, 2637.074175, 49.093702, 0.001363, 2686.1678770000003, 437.156793, 2635.461371, 61.612267, 0.001347, 2697.073638, 425.19455, 2666.961347, 50.954386, 0.001741, 2717.915733, 403.189942, 2701.703364, 52.086848, 0.001686, 2753.790212, 422.802137, 2749.552084, 49.911918, 0.001335, 2799.4640019999997, 424.212011, 2916.208413, 48.808088, 0.00137, 2965.016501, 399.560447, 3081.776453, 46.385558, 0.001604, 3128.162011,2732.1929804, 2637.074175, 49.911918, 2697.073638
512, 1099.895816, 6270.432592, 93.594646, 0.001158, 6364.027238, 983.577697, 6317.572606, 99.496163, 0.00176, 6417.0687689999995, 879.694766, 6362.85432, 100.370471, 0.00126, 6463.224791000001, 853.909432, 6351.275951, 113.046339, 0.001213, 6464.32229, 966.619945, 6375.484857, 109.571748, 0.001427, 6485.056605000001, 995.853779, 6394.298503, 97.212546, 0.001601, 6491.511049, 981.764972, 6398.751693, 109.594939, 0.001342, 6508.346632, 971.698343, 6415.466521, 105.94103, 0.001323, 6521.407551, 877.021236, 6408.814973, 115.703995, 0.0013, 6524.518967999999, 973.386255, 6445.611893, 100.557391, 0.001455, 6546.1692840000005, 959.995206, 6454.474992, 106.51158, 0.001748, 6560.986572000001, 904.786186, 6462.786787, 108.245662, 0.001262, 6571.032449,6498.2612511, 6398.751693, 106.51158, 6508.346632
1024, 1959.911713, 12273.526536, 221.871866, 0.001412, 12495.398401999999, 2188.948858, 12382.561007, 227.83663, 0.001117, 12610.397637, 1972.859836, 12600.18135, 229.277715, 0.001485, 12829.459065000001, 1859.163155, 12665.52519, 212.772522, 0.001338, 12878.297712, 1917.110601, 12779.871565, 206.795938, 0.002172, 12986.667502999999, 1914.283196, 12758.176182, 238.695218, 0.00121, 12996.8714, 1870.331411, 12915.427904, 207.35637, 0.001434, 13122.784274, 1820.816771, 12902.190854, 230.560328, 0.001549, 13132.751182, 2076.452167, 12950.765753, 206.200491, 0.001335, 13156.966244, 1910.860394, 12946.459164, 217.954433, 0.001459, 13164.413597, 1797.701151, 13002.386736, 232.686807, 0.001218, 13235.073543, 1971.434587, 13221.823409, 241.169387, 0.001545, 13462.992796,13011.368215700002, 12902.190854, 227.83663, 13122.784274
