scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 54, 1, 0, 56, 0, 54, 1, 0, 56, 1, 55, 1, 0, 57, 1, 55, 1, 0, 57, 1, 55, 1, 0, 57, 0, 56, 1, 0, 57, 0, 56, 1, 0, 57, 0, 56, 1, 0, 57, 0, 56, 1, 0, 58, 1, 57, 1, 0, 58, 0, 58, 1, 0, 60, 34, 62, 1, 0, 63,57, 57
1, 1, 56, 1, 0, 57, 0, 56, 1, 0, 57, 1, 56, 1, 0, 57, 0, 56, 1, 0, 57, 0, 56, 1, 0, 57, 0, 56, 1, 0, 57, 0, 56, 1, 0, 57, 1, 56, 1, 0, 57, 0, 56, 1, 0, 57, 1, 56, 1, 0, 57, 0, 56, 1, 0, 57, 0, 56, 1, 0, 57,57, 57
8, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 66, 2, 0, 69, 1, 67, 2, 0, 69, 1, 67, 2, 0, 69, 1, 67, 2, 0, 69, 1, 67, 2, 0, 69, 1, 67, 2, 0, 69, 1, 67, 2, 0, 69, 1, 67, 2, 0, 69, 1, 67, 2, 0, 69, 1, 68, 2, 0, 71,69, 69
16, 1, 19, 1, 0, 20, 1, 19, 1, 0, 20, 1, 19, 1, 0, 20, 1, 19, 1, 0, 21, 1, 19, 1, 0, 21, 1, 20, 1, 0, 21, 1, 20, 1, 0, 21, 1, 20, 1, 0, 21, 1, 20, 1, 0, 21, 1, 20, 1, 0, 22, 1, 21, 1, 0, 22, 1, 22, 1, 0, 23,21, 21
32, 2, 78, 1, 0, 79, 2, 78, 1, 0, 80, 2, 79, 1, 0, 81, 2, 80, 1, 0, 81, 2, 80, 1, 0, 81, 2, 80, 1, 0, 82, 2, 80, 1, 0, 82, 2, 81, 1, 0, 82, 2, 81, 1, 0, 83, 2, 80, 2, 0, 83, 2, 82, 1, 0, 83, 2, 82, 1, 0, 83,82, 82
64, 4, 63, 1, 0, 64, 4, 64, 1, 0, 66, 4, 100, 1, 0, 102, 4, 103, 1, 0, 104, 4, 103, 1, 0, 104, 4, 104, 1, 0, 105, 4, 104, 1, 0, 106, 4, 105, 1, 0, 107, 4, 105, 1, 0, 107, 4, 105, 1, 0, 107, 4, 106, 1, 0, 107, 4, 107, 1, 0, 108,101, 106
128, 6, 5, 1, 0, 7, 6, 7, 1, 0, 8, 6, 7, 1, 0, 9, 6, 7, 1, 0, 9, 6, 8, 1, 0, 9, 6, 10, 1, 0, 11, 6, 10, 1, 0, 11, 6, 11, 1, 0, 13, 6, 12, 1, 0, 13, 6, 12, 1, 0, 13, 6, 17, 1, 0, 18, 6, 100, 1, 0, 102,11, 11
256, 13, 13, 2, 0, 15, 13, 15, 2, 0, 18, 13, 16, 2, 0, 18, 13, 17, 2, 0, 19, 13, 17, 2, 0, 19, 13, 17, 2, 0, 20, 13, 22, 2, 0, 25, 13, 28, 2, 0, 30, 13, 37, 2, 0, 39, 13, 37, 2, 0, 39, 13, 129, 2, 0, 131, 13, 193, 2, 0, 195,36, 25
512, 22, 53, 0, 0, 53, 22, 58, 0, 0, 58, 22, 63, 0, 0, 63, 22, 69, 0, 0, 69, 26, 69, 0, 0, 69, 26, 139, 0, 0, 139, 26, 141, 0, 0, 141, 22, 156, 0, 0, 156, 24, 170, 0, 0, 170, 26, 196, 0, 0, 196, 26, 235, 0, 0, 235, 26, 371, 0, 0, 371,130, 141
1024, 45, 264, 0, 0, 264, 45, 340, 0, 0, 340, 45, 362, 0, 0, 362, 45, 382, 0, 0, 382, 45, 384, 0, 0, 384, 45, 394, 0, 0, 394, 51, 396, 0, 0, 396, 45, 402, 0, 0, 402, 45, 408, 0, 0, 408, 45, 418, 0, 0, 418, 45, 448, 0, 0, 448, 52, 713, 0, 0, 713,393, 396
