scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 0, 2, 0, 2, 0, 0, 2, 1, 2, 0, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 2, 17, 5, 2, 0, 7,2, 2
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2,1, 1
8, 1, 8, 0, 0, 8, 0, 8, 0, 0, 8, 1, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8, 0, 8, 0, 0, 8,8, 8
16, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20, 0, 20, 0, 0, 20,20, 20
32, 1, 38, 0, 0, 38, 1, 38, 0, 0, 38, 1, 38, 0, 0, 38, 1, 38, 0, 0, 38, 1, 38, 0, 0, 38, 1, 38, 0, 0, 38, 1, 39, 0, 0, 39, 1, 39, 0, 0, 39, 1, 39, 0, 0, 39, 1, 39, 0, 0, 39, 1, 39, 0, 0, 39, 1, 39, 0, 0, 39,39, 39
64, 3, 28, 0, 0, 28, 3, 79, 0, 0, 79, 3, 79, 0, 0, 79, 3, 79, 0, 0, 79, 3, 79, 0, 0, 79, 3, 79, 0, 0, 79, 3, 79, 0, 0, 79, 3, 79, 0, 0, 79, 3, 79, 0, 0, 79, 3, 79, 0, 0, 79, 3, 80, 0, 0, 80, 3, 80, 0, 0, 80,79, 79
128, 6, 61, 0, 0, 61, 7, 166, 0, 0, 166, 7, 169, 0, 0, 169, 7, 169, 0, 0, 169, 7, 169, 0, 0, 169, 7, 169, 0, 0, 169, 7, 170, 0, 0, 170, 7, 170, 0, 0, 170, 7, 170, 0, 0, 170, 7, 170, 0, 0, 170, 7, 170, 0, 0, 170, 7, 170, 0, 0, 170,169, 170
256, 12, 96, 0, 0, 96, 20, 307, 0, 5, 307, 15, 307, 0, 0, 307, 15, 307, 0, 0, 307, 15, 307, 0, 0, 307, 15, 308, 0, 0, 308, 15, 308, 0, 0, 308, 15, 309, 0, 0, 309, 15, 309, 0, 0, 309, 20, 310, 0, 0, 310, 15, 311, 0, 0, 311, 20, 311, 0, 0, 311,308, 308
512, 24, 123, 0, 0, 123, 31, 613, 0, 0, 613, 31, 613, 0, 0, 613, 37, 613, 0, 0, 613, 31, 613, 0, 0, 613, 31, 613, 0, 0, 613, 31, 613, 0, 0, 613, 31, 613, 0, 0, 613, 31, 613, 0, 0, 613, 31, 613, 0, 0, 613, 31, 613, 0, 0, 613, 31, 613, 0, 0, 613,613, 613
1024, 56, 117, 0, 0, 117, 60, 245, 0, 0, 245, 54, 363, 0, 0, 363, 52, 444, 0, 0, 444, 45, 547, 0, 0, 547, 40, 1277, 0, 0, 1277, 40, 1282, 0, 0, 1282, 40, 1282, 0, 0, 1282, 40, 1284, 0, 0, 1284, 54, 1286, 0, 0, 1286, 40, 1294, 0, 0, 1294, 40, 1299, 0, 0, 1299,930, 1282
