scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0, 2, 0, 2, 1, 0, 2, 0, 2, 2, 0, 2, 0, 2, 2, 0, 2, 0, 2, 2, 0, 2, 0, 2, 1, 0, 2, 0, 2, 2, 0, 2, 0, 2, 19, 0, 7, 0, 7,1, 2
1, 2, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 1, 0, 2, 0, 2,1, 1
8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 1, 0, 8, 0, 8, 2, 0, 8, 0, 8, 1, 0, 8, 0, 8,8, 8
16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16, 1, 0, 16, 0, 16,16, 16
32, 3, 0, 31, 0, 31, 2, 0, 31, 0, 31, 2, 0, 31, 0, 31, 2, 0, 31, 0, 31, 2, 0, 31, 0, 31, 2, 0, 31, 0, 31, 2, 0, 31, 0, 31, 2, 0, 31, 0, 31, 2, 0, 31, 0, 31, 2, 0, 31, 0, 31, 2, 0, 31, 0, 31, 2, 0, 32, 0, 32,31, 31
64, 4, 0, 62, 0, 62, 4, 0, 62, 0, 62, 4, 0, 62, 0, 62, 4, 0, 63, 0, 63, 4, 0, 63, 0, 63, 4, 0, 63, 0, 63, 4, 0, 63, 0, 63, 4, 0, 63, 0, 63, 4, 0, 63, 0, 63, 4, 0, 63, 0, 63, 4, 0, 63, 0, 63, 4, 0, 64, 0, 64,63, 63
128, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 72, 0, 72, 6, 0, 73, 0, 73, 6, 0, 73, 0, 73,72, 72
256, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70, 13, 0, 70, 0, 70,70, 70
512, 26, 0, 48, 0, 48, 26, 0, 68, 0, 68, 26, 0, 68, 0, 68, 26, 0, 68, 0, 68, 26, 0, 68, 0, 68, 26, 0, 68, 0, 68, 26, 0, 68, 0, 68, 26, 0, 68, 0, 68, 26, 0, 68, 0, 68, 26, 0, 68, 0, 68, 26, 0, 68, 0, 68, 26, 0, 68, 0, 68,68, 68
1024, 52, 0, 121, 0, 121, 51, 0, 181, 0, 181, 52, 0, 181, 0, 181, 52, 0, 181, 0, 181, 53, 0, 181, 0, 181, 52, 0, 185, 0, 185, 52, 0, 185, 0, 185, 52, 0, 185, 0, 185, 52, 0, 185, 0, 185, 52, 0, 185, 0, 185, 52, 0, 185, 0, 185, 52, 0, 185, 0, 185,184, 185
