scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 152, 69, 2, 0, 71, 154, 72, 3, 0, 75, 159, 74, 2, 0, 76, 161, 74, 2, 0, 76, 174, 78, 3, 0, 81, 155, 84, 3, 0, 87, 156, 91, 3, 0, 94, 162, 96, 4, 0, 100, 165, 102, 3, 0, 105, 169, 143, 5, 0, 148, 185, 160, 5, 0, 165, 399, 1114, 12, 0, 1126,100, 91, 3, 94
1, 145, 59, 2, 0, 61, 152, 60, 2, 0, 62, 150, 60, 2, 0, 62, 154, 63, 2, 0, 65, 182, 65, 2, 0, 67, 167, 65, 2, 0, 67, 149, 66, 2, 0, 68, 158, 67, 2, 0, 69, 159, 71, 2, 0, 73, 154, 72, 2, 0, 74, 147, 72, 2, 0, 74, 153, 85, 2, 0, 87,68, 66, 2, 68
8, 181, 149, 2, 0, 151, 158, 150, 2, 0, 152, 156, 153, 2, 0, 155, 155, 157, 2, 0, 159, 156, 157, 3, 0, 160, 147, 158, 2, 0, 160, 175, 160, 3, 0, 163, 157, 160, 3, 0, 163, 164, 161, 2, 0, 163, 169, 165, 3, 0, 168, 157, 175, 3, 0, 178, 158, 197, 3, 0, 200,162, 160, 3, 163
16, 160, 291, 3, 0, 294, 177, 296, 2, 0, 298, 163, 297, 3, 0, 300, 187, 298, 2, 0, 300, 152, 301, 3, 0, 304, 160, 303, 2, 0, 305, 171, 306, 3, 0, 309, 147, 307, 2, 0, 309, 159, 308, 3, 0, 311, 157, 312, 2, 0, 314, 147, 312, 3, 0, 315, 156, 317, 3, 0, 320,306, 306, 3, 309
32, 157, 540, 2, 0, 542, 155, 552, 2, 0, 554, 162, 553, 2, 0, 555, 166, 551, 4, 0, 555, 162, 562, 3, 0, 565, 191, 575, 2, 0, 577, 164, 577, 3, 0, 580, 161, 578, 2, 0, 580, 209, 583, 3, 0, 586, 178, 586, 3, 0, 589, 171, 588, 3, 0, 591, 195, 592, 3, 0, 595,573, 577, 3, 580
64, 169, 1200, 2, 0, 1202, 169, 1245, 2, 0, 1247, 168, 1272, 2, 0, 1274, 162, 1273, 2, 0, 1275, 167, 1276, 3, 0, 1279, 166, 1279, 2, 0, 1281, 185, 1281, 3, 0, 1284, 193, 1295, 3, 0, 1298, 168, 1297, 4, 0, 1301, 173, 1307, 3, 0, 1310, 167, 1320, 3, 0, 1323, 171, 1323, 2, 0, 1325,1287, 1281, 3, 1284
128, 198, 2702, 3, 0, 2705, 179, 2747, 3, 0, 2750, 182, 2802, 3, 0, 2805, 183, 2888, 3, 0, 2891, 190, 2921, 3, 0, 2924, 204, 2927, 4, 0, 2931, 253, 2931, 2, 0, 2933, 184, 2938, 2, 0, 2940, 185, 2974, 2, 0, 2976, 215, 2976, 2, 0, 2978, 226, 2982, 3, 0, 2985, 189, 3178, 3, 0, 3181,2911, 2931, 3, 2933
256, 204, 5109, 4, 0, 5113, 237, 5118, 4, 0, 5122, 202, 5283, 4, 0, 5287, 209, 5286, 4, 0, 5290, 200, 5288, 3, 0, 5291, 212, 5292, 5, 0, 5297, 238, 5296, 4, 0, 5300, 215, 5319, 4, 0, 5323, 216, 5412, 5, 0, 5417, 221, 5425, 4, 0, 5429, 215, 5449, 3, 0, 5452, 200, 5449, 3, 0, 5452,5320, 5296, 4, 5300
512, 254, 11265, 5, 0, 11270, 274, 11449, 7, 0, 11456, 259, 12222, 4, 0, 12226, 256, 12281, 6, 0, 12287, 262, 12284, 5, 0, 12289, 277, 12305, 5, 0, 12310, 287, 12305, 5, 0, 12310, 269, 12333, 6, 0, 12339, 279, 12429, 5, 0, 12434, 254, 12432, 6, 0, 12438, 268, 12681, 6, 0, 12687, 284, 13739, 6, 0, 13745,12277, 12305, 6, 12310
1024, 406, 31447, 9, 0, 31456, 409, 32172, 10, 0, 32182, 392, 32748, 10, 0, 32758, 404, 33004, 10, 0, 33014, 390, 33357, 10, 0, 33367, 407, 33811, 10, 0, 33821, 395, 34241, 10, 0, 34251, 402, 36117, 11, 0, 36128, 412, 36344, 11, 0, 36355, 393, 36672, 11, 0, 36683, 396, 39065, 11, 0, 39076, 403, 39430, 12, 0, 39442,34763, 34241, 10, 34251
2048, 628, 93484, 19, 0, 93503, 606, 99901, 18, 0, 99919, 655, 100980, 18, 0, 100998, 617, 101331, 20, 0, 101351, 643, 102048, 21, 0, 102069, 599, 102384, 23, 0, 102407, 677, 102389, 19, 0, 102408, 624, 103097, 18, 0, 103115, 678, 104521, 20, 0, 104541, 743, 105769, 19, 0, 105788, 634, 118369, 25, 0, 118394, 632, 122682, 25, 0, 122707,104099, 102389, 20, 102408
4096, 1136, 247613, 30, 0, 247643, 1084, 277645, 26, 0, 277671, 1076, 283416, 31, 0, 283447, 1122, 283764, 32, 0, 283796, 1126, 283942, 33, 0, 283975, 1069, 286058, 35, 0, 286093, 1112, 286121, 28, 0, 286149, 1078, 288074, 31, 0, 288105, 1090, 291940, 29, 0, 291969, 1117, 293006, 31, 0, 293037, 1367, 305722, 29, 0, 305751, 1094, 381885, 43, 0, 381928,287999, 286121, 31, 286149
8192, 2319, 732351, 80, 0, 732431, 2248, 771989, 67, 0, 772056, 2139, 805932, 68, 0, 806000, 2123, 908271, 76, 0, 908347, 2010, 916121, 70, 0, 916191, 2599, 930020, 62, 0, 930082, 2108, 936544, 72, 0, 936616, 2183, 954174, 68, 0, 954242, 2511, 958246, 68, 0, 958314, 2235, 974718, 76, 0, 974794, 2114, 1233476, 92, 0, 1233568, 2105, 1409038, 91, 0, 1409129,939021, 936544, 70, 936616
