scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 179.573694, 34.926311, 2.167447, 0.001061, 37.093758, 158.634102, 37.20508, 2.395969, 0.003652, 39.601049, 156.756627, 42.153354, 2.731538, 0.001212, 44.884892, 150.989578, 43.361043, 3.002909, 0.001218, 46.363952000000005, 157.418753, 47.737247, 3.375232, 0.001003, 51.112479, 172.344899, 50.199349, 3.270916, 0.001664, 53.470265, 159.743249, 51.452989, 2.657061, 0.001015, 54.11005, 157.968099, 60.021937, 3.49699, 0.001163, 63.518927, 163.411496, 63.40851, 4.235601, 9.9E-4, 67.644111, 190.831545, 81.671884, 3.704707, 0.001442, 85.376591, 182.731574, 98.911348, 4.638536, 8.76E-4, 103.549884, 385.848904, 931.908891, 10.787581, 0.012611, 942.6964720000001,60.96322, 51.452989, 3.375232, 54.11005
1, 158.505968, 30.037887, 1.897075, 0.00107, 31.934962000000002, 148.791368, 30.630994, 1.922794, 0.00103, 32.553788000000004, 156.902069, 30.592787, 2.028726, 9.55E-4, 32.621513, 155.904081, 31.296503, 1.784997, 0.001241, 33.0815, 152.833378, 31.14118, 2.096661, 0.001064, 33.237840999999996, 154.330789, 32.381733, 1.83266, 0.001158, 34.214392999999994, 175.024134, 33.236538, 2.38118, 0.001172, 35.617718, 160.102361, 35.778667, 1.929616, 9.4E-4, 37.708283, 157.866218, 36.59593, 2.081629, 0.001401, 38.677559, 156.212419, 37.407897, 2.160224, 0.001071, 39.568121, 153.808812, 40.213541, 2.507096, 0.001121, 42.720636999999996, 157.180511, 45.97509, 2.043669, 9.97E-4, 48.018759,36.0001353, 33.236538, 2.081629, 35.617718
8, 159.959988, 92.297678, 3.364332, 0.001238, 95.66201000000001, 173.345459, 92.9395, 3.465436, 0.00104, 96.40493599999999, 152.119635, 93.531622, 3.310579, 0.001056, 96.842201, 193.627472, 95.159205, 3.461966, 0.001053, 98.621171, 159.869764, 97.541814, 3.378765, 0.00105, 100.920579, 172.6683, 97.642634, 3.645215, 0.001183, 101.287849, 161.174027, 98.282496, 3.384805, 0.00102, 101.667301, 157.872811, 98.511612, 3.503966, 0.001066, 102.015578, 158.750839, 100.000057, 3.459503, 9.7E-4, 103.45956, 161.470691, 103.793501, 3.942809, 0.001142, 107.73631, 179.141638, 104.001272, 3.844367, 9.73E-4, 107.845639, 184.610797, 108.142706, 3.976615, 0.001307, 112.119321,101.68011240000001, 98.282496, 3.465436, 101.667301
16, 160.966025, 210.333924, 3.089231, 0.001168, 213.423155, 150.892358, 211.7337, 3.211201, 9.5E-4, 214.944901, 159.263357, 212.613672, 3.009078, 0.001012, 215.62275, 158.124277, 213.626813, 3.579914, 0.001383, 217.206727, 162.267667, 215.09815, 3.079632, 0.003416, 218.177782, 154.193108, 215.888948, 3.14737, 0.003244, 219.036318, 157.311294, 219.137913, 2.998081, 0.001223, 222.135994, 170.138099, 219.219945, 3.010802, 9.8E-4, 222.230747, 151.164642, 219.393523, 3.114328, 9.6E-4, 222.507851, 170.508727, 221.170322, 3.048321, 0.001233, 224.218643, 157.012803, 229.709951, 3.381435, 0.001203, 233.091386, 154.765747, 238.84191, 3.310373, 0.001076, 242.152283,220.91730990000002, 219.137913, 3.114328, 222.135994
32, 151.789368, 380.898844, 4.308127, 0.001079, 385.206971, 169.036917, 389.735992, 4.416346, 0.001459, 394.152338, 160.372396, 392.390332, 4.410234, 0.001074, 396.800566, 159.113725, 400.097452, 4.510043, 0.001157, 404.607495, 176.08033, 403.60912, 4.168871, 0.001061, 407.77799100000004, 156.553387, 404.859999, 4.593335, 0.001512, 409.45333400000004, 156.321563, 405.313142, 4.558121, 9.78E-4, 409.871263, 174.585593, 405.870965, 4.20574, 0.001406, 410.076705, 187.303497, 406.374064, 4.193271, 0.001182, 410.56733499999996, 219.56907, 408.371419, 4.416996, 0.001085, 412.788415, 169.736274, 408.202521, 5.020055, 0.001074, 413.222576, 154.283652, 415.544542, 4.231393, 0.001188, 419.775935,406.9318018, 405.313142, 4.416996, 409.871263
64, 168.828101, 974.130069, 5.947238, 0.001035, 980.077307, 186.08679, 984.893372, 7.776804, 0.003359, 992.670176, 181.622641, 987.289518, 5.894943, 0.001171, 993.184461, 169.04478, 988.319917, 5.925566, 0.001058, 994.245483, 162.675887, 997.788593, 6.10047, 0.001182, 1003.889063, 170.680291, 1000.254466, 6.115182, 0.00105, 1006.369648, 157.091569, 1014.122511, 5.902279, 0.001179, 1020.02479, 175.256335, 1015.69319, 6.021515, 0.001319, 1021.714705, 168.044979, 1014.748562, 7.5628, 0.00109, 1022.311362, 204.001169, 1017.879099, 6.102988, 0.001311, 1023.982087, 162.238947, 1024.742994, 6.215685, 0.001255, 1030.9586789999998, 161.998179, 1033.197118, 7.368232, 0.001006, 1040.56535,1010.9350454000001, 1014.122511, 6.102988, 1020.02479
128, 200.294304, 2851.57876, 9.659038, 0.001217, 2861.2377979999997, 179.324363, 2872.005449, 11.253988, 0.001283, 2883.259437, 196.559322, 2872.655865, 11.34169, 0.001232, 2883.9975550000004, 174.52548, 2878.650771, 9.743155, 0.001468, 2888.393926, 198.984775, 2881.556916, 10.37154, 0.001223, 2891.928456, 176.618566, 2882.728476, 10.836291, 0.00118, 2893.564767, 192.881886, 2892.953895, 11.028959, 0.001047, 2903.9828540000003, 196.012403, 2904.490217, 10.922355, 0.001306, 2915.412572, 178.050639, 2909.540005, 10.887125, 0.001208, 2920.42713, 198.897092, 2912.185986, 10.327863, 0.001162, 2922.513849, 180.667054, 2933.892678, 9.701422, 0.001849, 2943.5941000000003, 192.829499, 2949.303241, 10.415309, 0.001318, 2959.71855,2904.7074646, 2892.953895, 10.887125, 2903.9828540000003
256, 246.434452, 4841.409914, 17.24893, 0.001155, 4858.658844, 212.55627, 4840.751001, 18.191002, 0.001078, 4858.942002999999, 204.156111, 4866.54009, 18.383376, 0.001586, 4884.923466, 213.914056, 4875.111993, 15.689936, 0.001261, 4890.801929, 204.533125, 4887.426068, 17.14933, 0.001032, 4904.575398, 248.788481, 4895.409002, 17.257938, 0.001348, 4912.66694, 226.930456, 4917.198256, 17.692621, 0.001571, 4934.890877, 216.786357, 4923.624539, 14.829693, 0.001155, 4938.454232, 210.320239, 4919.863961, 19.25832, 0.001289, 4939.122281, 199.100809, 4925.76352, 19.200705, 0.001488, 4944.964225000001, 223.622529, 4943.454595, 19.26315, 0.001573, 4962.717745, 206.509289, 4953.623782, 17.848769, 0.001519, 4971.472551,4917.205909600001, 4917.198256, 18.191002, 4934.890877
512, 254.012916, 12635.569545, 32.186512, 0.001361, 12667.756057, 272.160304, 12695.746888, 31.696782, 0.001082, 12727.44367, 273.510029, 12706.347386, 27.435001, 0.001274, 12733.782387, 266.069294, 12703.698969, 32.731757, 0.001093, 12736.430725999999, 264.761315, 12733.055176, 32.185703, 0.003253, 12765.240878999999, 283.80424, 12754.929023, 32.703465, 0.003089, 12787.632488000001, 276.62118, 12762.12697, 32.866616, 0.003419, 12794.993585999999, 261.617573, 12776.943036, 35.670224, 0.00117, 12812.61326, 253.634252, 12790.354624, 31.802835, 0.001382, 12822.157459, 253.020528, 12806.563345, 31.421806, 0.001164, 12837.985151, 279.190284, 12912.406846, 32.458572, 0.003162, 12944.865418, 268.253211, 12949.974356, 32.827925, 0.001488, 12982.802281,12796.3145024, 12762.12697, 32.458572, 12794.993585999999
1024, 372.635146, 66694.825132, 64.198127, 9.92E-4, 66759.023259, 377.959297, 66840.751561, 63.495088, 0.001099, 66904.246649, 378.170032, 66976.957508, 65.044163, 0.001157, 67042.001671, 369.774646, 66980.247998, 66.255814, 0.001937, 67046.50381200001, 405.971808, 66992.4663, 66.581592, 0.001119, 67059.047892, 370.666085, 67028.842342, 66.054179, 0.001294, 67094.896521, 369.273713, 67043.713541, 70.285492, 0.001132, 67113.999033, 370.325765, 67061.046207, 67.357368, 0.002617, 67128.403575, 405.718278, 67213.890798, 67.092546, 0.001417, 67280.983344, 413.838125, 67238.436509, 66.372878, 0.001564, 67304.809387, 392.017761, 67246.807694, 64.62235, 0.001383, 67311.43004400001, 405.792969, 67266.838698, 66.712587, 0.001441, 67333.55128500001,67128.63219280001, 67043.713541, 66.372878, 67113.999033
