scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 4.421689, 4.655841, 0.637894, 8.85E-4, 5.293735, 4.77063, 4.844779, 0.742081, 9.05E-4, 5.58686, 4.476863, 4.944723, 0.738995, 0.001133, 5.683718, 7.951096, 5.519437, 0.763203, 9.82E-4, 6.28264, 4.632054, 5.366229, 1.05155, 0.001125, 6.4177789999999995, 6.755994, 7.26598, 0.752799, 0.001298, 8.018779, 6.723283, 7.580952, 0.779374, 0.001006, 8.360326, 7.490607, 9.554772, 0.998261, 8.93E-4, 10.553033, 9.831605, 14.05507, 0.888189, 8.45E-4, 14.943259000000001, 11.001779, 16.23947, 1.961345, 0.001311, 18.200815000000002, 12.244229, 20.354607, 1.653189, 0.001049, 22.007796000000003, 381.630091, 74.683783, 40.745772, 0.011252, 115.42955500000001,10.605500500000002, 7.580952, 0.888189, 8.360326
1, 3.283651, 2.496194, 0.480631, 9.46E-4, 2.976825, 3.53028, 2.584108, 0.433661, 0.001092, 3.017769, 3.187648, 2.707862, 0.503619, 9.72E-4, 3.211481, 3.358474, 2.791351, 0.541425, 9.53E-4, 3.332776, 3.516052, 2.849681, 0.565636, 9.97E-4, 3.415317, 3.559119, 2.985317, 0.528505, 0.001407, 3.5138220000000002, 3.779304, 3.156338, 0.64935, 9.6E-4, 3.805688, 3.426163, 3.545981, 0.96688, 0.00105, 4.512861, 3.875652, 4.106874, 0.794446, 9.62E-4, 4.90132, 3.782396, 4.578132, 0.699493, 0.001105, 5.2776250000000005, 4.216546, 4.708116, 0.711441, 0.001133, 5.419557, 4.04153, 6.051281, 1.206584, 9.25E-4, 7.257865000000001,4.040821599999999, 3.156338, 0.64935, 3.805688
8, 4.267451, 8.34487, 0.373241, 0.001121, 8.718111, 4.449799, 8.382529, 0.366489, 0.001083, 8.749018, 4.52592, 8.433779, 0.392596, 0.00108, 8.826374999999999, 4.928717, 8.772327, 0.45812, 0.001019, 9.230447, 4.958638, 9.158288, 0.432076, 9.09E-4, 9.590364000000001, 4.762062, 9.285629, 0.376791, 0.001032, 9.662420000000001, 5.543019, 9.415555, 0.555456, 0.001087, 9.971010999999999, 5.173187, 10.738108, 0.468341, 9.76E-4, 11.206449000000001, 5.44543, 11.135286, 0.656222, 0.001101, 11.791508, 6.436108, 11.780932, 0.555093, 0.001252, 12.336025, 8.139708, 14.630392, 0.582253, 9.78E-4, 15.212645, 18.421026, 17.860391, 0.644804, 0.001142, 18.505195,10.6576262, 9.415555, 0.468341, 9.971010999999999
16, 6.051203, 17.082758, 0.345293, 9.72E-4, 17.428051, 6.50719, 17.161894, 0.383348, 0.001031, 17.545242000000002, 6.039123, 17.618811, 0.367954, 0.003279, 17.986765000000002, 5.729108, 17.611116, 0.436366, 9.16E-4, 18.047482, 5.948435, 17.680643, 0.376021, 0.001234, 18.056664, 6.253822, 17.880744, 0.48045, 0.003227, 18.361194, 6.141113, 18.053245, 0.494436, 0.001058, 18.547681, 6.302248, 18.341447, 0.366534, 9.52E-4, 18.707981, 6.391012, 18.472528, 0.390262, 0.001071, 18.86279, 8.419321, 18.768134, 0.420533, 0.001071, 19.188667, 6.570881, 19.114147, 0.514816, 0.001121, 19.628963, 14.995957, 21.159567, 0.447224, 0.001145, 21.606790999999998,18.493342900000002, 18.053245, 0.420533, 18.547681
32, 8.722622, 30.76824, 0.293235, 0.002616, 31.061474999999998, 8.627413, 30.860916, 0.335436, 0.002557, 31.196352, 8.917931, 30.890947, 0.351788, 0.001122, 31.242735, 8.348731, 31.084355, 0.365916, 0.003089, 31.450270999999997, 9.168225, 32.0206, 0.352912, 0.001077, 32.373512000000005, 9.322268, 32.837462, 0.433222, 0.001043, 33.270684, 9.043394, 32.935477, 0.392992, 0.002858, 33.328469, 9.129414, 33.172302, 0.331809, 0.001162, 33.504111, 11.922866, 33.420729, 0.415957, 0.001078, 33.836686, 9.428364, 33.668418, 0.406382, 9.05E-4, 34.0748, 10.246256, 36.354626, 0.532667, 0.003297, 36.887293, 18.215836, 50.267657, 0.496781, 0.001133, 50.764438,33.1164913, 32.935477, 0.392992, 33.328469
64, 16.45723, 63.960241, 0.330264, 0.001222, 64.29050500000001, 15.49515, 64.102372, 0.348081, 0.001023, 64.450453, 15.115884, 64.35311, 0.387932, 0.001268, 64.74104200000001, 14.979228, 64.747797, 0.290995, 9.42E-4, 65.038792, 15.27379, 65.514526, 0.297181, 0.001034, 65.811707, 15.138955, 65.792495, 0.341441, 0.00115, 66.133936, 15.508588, 65.842639, 0.384649, 0.001043, 66.227288, 16.199515, 65.924564, 0.479844, 0.001209, 66.404408, 15.07613, 66.235315, 0.356882, 0.001061, 66.592197, 15.738134, 66.896774, 0.317876, 9.7E-4, 67.21464999999999, 16.971218, 72.592533, 0.316938, 0.001092, 72.909471, 22.62383, 86.972766, 0.324158, 9.91E-4, 87.29692399999999,66.5523944, 65.842639, 0.348081, 66.227288
128, 28.592804, 136.560792, 0.375629, 0.001198, 136.936421, 28.429254, 136.921211, 0.381963, 0.001118, 137.303174, 29.128831, 137.094352, 0.411355, 0.001394, 137.50570699999997, 28.298535, 137.239958, 0.442789, 0.001064, 137.682747, 27.547116, 138.082235, 0.358093, 0.001268, 138.440328, 27.762286, 138.152957, 0.375372, 0.001382, 138.52832899999999, 28.505475, 139.518324, 0.434769, 0.001182, 139.953093, 28.986068, 143.351243, 0.382364, 0.001104, 143.733607, 28.256539, 145.287288, 0.468471, 0.003132, 145.75575899999998, 29.634971, 160.059243, 0.453482, 0.002698, 160.51272500000002, 27.881251, 168.214508, 0.54753, 0.001117, 168.762038, 34.238894, 184.200661, 0.417716, 0.00131, 184.618377,144.8177507, 139.518324, 0.434769, 139.953093
256, 56.031095, 260.200792, 0.403836, 0.003185, 260.604628, 54.435983, 261.333617, 0.368921, 0.003049, 261.702538, 57.490222, 263.362274, 0.47007, 0.001119, 263.83234400000003, 54.859843, 264.915007, 0.381992, 0.001143, 265.296999, 55.001987, 267.174106, 0.451181, 0.001174, 267.625287, 54.458329, 269.448103, 0.379232, 0.001039, 269.827335, 56.707752, 277.889342, 0.378958, 0.001131, 278.2683, 60.094761, 285.273002, 0.353424, 0.001133, 285.62642600000004, 61.000799, 287.359175, 0.440364, 0.001623, 287.799539, 56.446083, 301.500607, 0.47518, 0.001118, 301.975787, 56.191556, 312.694628, 0.520794, 0.002936, 313.21542200000005, 63.106214, 350.984412, 0.379897, 0.003219, 351.36430900000005,279.5169977, 277.889342, 0.440364, 278.2683
512, 112.950409, 534.769703, 0.419951, 0.001092, 535.189654, 116.897796, 537.323159, 0.349163, 0.001014, 537.672322, 113.058112, 537.42196, 0.443247, 0.001361, 537.865207, 116.03584, 548.15359, 0.346902, 0.001153, 548.500492, 114.677718, 554.081907, 0.317804, 0.001234, 554.399711, 108.527448, 553.92686, 0.521727, 0.001157, 554.4485870000001, 113.905363, 554.548461, 0.353754, 0.001388, 554.902215, 109.023433, 559.40544, 0.358352, 0.001105, 559.763792, 113.425798, 562.517976, 0.362691, 0.001406, 562.880667, 113.06928, 601.720399, 0.739001, 0.002812, 602.4594000000001, 111.915999, 603.856733, 0.323806, 0.002938, 604.180539, 126.263038, 992.636709, 0.374376, 0.002972, 993.011085,561.7072932, 554.548461, 0.358352, 554.902215
1024, 223.838752, 1148.188101, 0.446819, 0.001407, 1148.63492, 231.919853, 1150.486087, 0.437215, 0.001124, 1150.923302, 219.433341, 1153.736019, 0.430074, 0.001435, 1154.166093, 233.888859, 1156.146557, 0.436169, 0.001196, 1156.582726, 229.38137, 1158.300341, 0.384829, 0.001205, 1158.68517, 231.145489, 1171.146172, 0.360277, 0.002761, 1171.506449, 234.392378, 1208.651658, 0.36248, 0.00333, 1209.014138, 236.430487, 1286.767404, 0.433961, 0.001277, 1287.201365, 222.662051, 1309.483871, 0.380031, 0.00124, 1309.8639019999998, 222.870804, 1322.293161, 0.402144, 0.001088, 1322.695305, 236.057065, 1548.056527, 0.389927, 0.001044, 1548.446454, 225.272351, 1724.417509, 0.405786, 0.001113, 1724.8232950000001,1246.9084904, 1208.651658, 0.402144, 1209.014138
