scale, load 0 (ms), pre-process 0 (ms), trafo 0 (ms), save 0 (ms), total tool-specific iter0 (ms), load 1 (ms), pre-process 1 (ms), trafo 1 (ms), save 1 (ms), total tool-specific iter1 (ms), load 2 (ms), pre-process 2 (ms), trafo 2 (ms), save 2 (ms), total tool-specific iter2 (ms), load 3 (ms), pre-process 3 (ms), trafo 3 (ms), save 3 (ms), total tool-specific iter3 (ms), load 4 (ms), pre-process 4 (ms), trafo 4 (ms), save 4 (ms), total tool-specific iter4 (ms), load 5 (ms), pre-process 5 (ms), trafo 5 (ms), save 5 (ms), total tool-specific iter5 (ms), load 6 (ms), pre-process 6 (ms), trafo 6 (ms), save 6 (ms), total tool-specific iter6 (ms), load 7 (ms), pre-process 7 (ms), trafo 7 (ms), save 7 (ms), total tool-specific iter7 (ms), load 8 (ms), pre-process 8 (ms), trafo 8 (ms), save 8 (ms), total tool-specific iter8 (ms), load 9 (ms), pre-process 9 (ms), trafo 9 (ms), save 9 (ms), total tool-specific iter9 (ms), load 10 (ms), pre-process 10 (ms), trafo 10 (ms), save 10 (ms), total tool-specific iter10 (ms), load 11 (ms), pre-process 11 (ms), trafo 11 (ms), save 11 (ms), total tool-specific iter11 (ms), avg of inner 10 results (ms), median of 1st Xform, median of 2nd Xform, median of total time - 10 results (ms)
1, 166.625602, 0.001148, 3.870707, 0.003128, 3.871855, 189.466336, 0.0011, 4.174209, 0.001419, 4.175309, 158.505126, 0.001084, 4.277273, 0.001148, 4.278357, 184.633682, 0.004007, 4.381904, 0.001218, 4.385910999999999, 199.036741, 0.001181, 5.50652, 0.001689, 5.507701, 177.273533, 0.001093, 6.32125, 0.001103, 6.322343, 218.750477, 0.001285, 7.637675, 0.001086, 7.63896, 169.466797, 9.21E-4, 7.868518, 9.59E-4, 7.869439, 171.097877, 9.54E-4, 10.111897, 0.001029, 10.112851000000001, 176.293686, 0.001097, 16.252892, 0.001215, 16.253989, 185.220779, 9.48E-4, 22.756672, 0.001031, 22.75762, 1273.951375, 0.010752, 77.990324, 0.012525, 78.001076,8.930248, 0.001097, 7.637675, 7.63896
1, 160.466304, 0.001122, 2.284051, 0.001125, 2.285173, 163.34144, 0.001028, 2.284211, 0.001095, 2.285239, 173.937146, 9.97E-4, 2.307254, 0.001174, 2.308251, 164.226268, 0.001178, 2.402167, 0.0011, 2.403345, 160.192482, 0.001014, 2.524755, 0.001088, 2.525769, 160.222749, 0.001111, 2.601778, 0.001281, 2.602889, 161.501057, 0.001244, 2.657598, 0.001206, 2.658842, 166.229372, 0.001175, 2.795911, 0.001036, 2.7970859999999997, 167.935795, 0.003649, 3.280608, 0.001169, 3.2842569999999998, 169.587015, 0.001042, 3.963527, 0.001167, 3.964569, 171.362156, 0.001103, 4.699131, 0.001219, 4.700234, 175.491933, 0.001052, 6.52723, 0.001245, 6.528282,2.9530481, 0.001111, 2.657598, 2.658842
8, 166.356447, 0.001512, 6.125812, 0.001161, 6.127324, 168.971698, 9.14E-4, 6.214118, 0.0012, 6.215032, 185.381524, 0.001174, 6.303715, 0.001323, 6.304889, 173.002092, 0.001027, 6.599083, 0.003438, 6.60011, 165.553499, 0.001376, 6.991786, 0.001381, 6.993162, 170.191517, 0.001573, 7.060701, 0.001164, 7.0622739999999995, 164.378497, 0.001118, 7.09411, 0.001157, 7.095228, 166.599834, 0.001182, 7.988908, 0.001114, 7.99009, 166.343646, 0.001107, 8.318618, 0.001213, 8.319725, 188.941472, 0.001429, 9.784979, 0.001303, 9.786408, 170.00339, 0.001013, 10.83996, 0.001218, 10.840973, 176.699686, 0.001152, 10.910861, 0.001068, 10.912013,7.7207891, 0.001174, 7.09411, 7.095228
16, 165.485078, 0.001323, 12.349857, 0.00115, 12.35118, 166.213654, 0.001054, 12.466534, 0.001184, 12.467588, 169.230445, 0.003327, 12.562869, 0.001291, 12.566196, 188.175134, 0.001129, 12.689794, 0.001186, 12.690923, 164.580817, 0.003366, 12.743793, 0.001192, 12.747159, 171.677192, 0.001047, 12.942757, 0.001268, 12.943804, 170.466864, 0.001219, 13.166795, 0.001439, 13.168014000000001, 171.965543, 0.001087, 13.381964, 0.001157, 13.383051, 162.018848, 0.001409, 13.427305, 0.001141, 13.428714000000001, 184.065065, 0.001075, 13.904534, 0.0012, 13.905609, 163.839251, 0.001055, 14.040901, 0.001358, 14.041955999999999, 165.68964, 0.001194, 14.355469, 0.00107, 14.356663,13.134301399999998, 0.001129, 13.166795, 13.168014000000001
32, 183.790247, 0.001079, 22.167187, 0.001143, 22.168266, 165.518798, 0.001066, 22.952007, 0.001269, 22.953073, 168.886972, 0.0018, 23.616386, 0.001218, 23.618185999999998, 162.119671, 0.001385, 24.007421, 0.001273, 24.008806, 175.96031, 0.001024, 24.440246, 0.001183, 24.44127, 172.88819, 0.003209, 24.850398, 0.001241, 24.853606999999997, 171.388481, 0.003244, 25.145525, 0.001365, 25.148768999999998, 166.147128, 0.00107, 25.608425, 0.001233, 25.609495, 177.529098, 0.003569, 25.684949, 0.001179, 25.688518, 168.985592, 0.003246, 25.866779, 0.001225, 25.870025000000002, 174.313823, 0.001261, 26.031573, 0.001291, 26.032834, 188.398239, 0.001537, 27.248784, 0.002948, 27.250321,24.8224583, 0.0018, 25.145525, 25.148768999999998
64, 177.819565, 0.001123, 46.771616, 9.93E-4, 46.772739, 175.588271, 0.00141, 47.694092, 0.004212, 47.695502, 194.88548, 0.001179, 48.392856, 0.001331, 48.394035, 169.152024, 0.001078, 48.483941, 0.001324, 48.485019, 179.980271, 0.001547, 49.960823, 0.00176, 49.96237, 172.50177, 0.001156, 50.935774, 0.001157, 50.936930000000004, 215.135374, 0.003384, 70.302958, 0.007639, 70.306342, 220.202068, 0.003176, 72.094233, 0.001299, 72.097409, 238.955516, 0.003181, 76.782039, 0.002985, 76.78522, 212.039569, 0.001226, 79.74708, 0.005988, 79.748306, 200.201075, 0.003568, 81.450648, 0.008018, 81.454216, 206.564267, 0.003394, 98.122852, 0.003393, 98.126246,62.58653489999999, 0.001547, 70.302958, 70.306342
128, 236.004679, 0.004753, 152.081659, 0.004196, 152.086412, 235.539614, 0.005422, 155.508001, 0.006266, 155.51342300000002, 233.462607, 0.006158, 157.020152, 0.001688, 157.02631, 222.71361, 0.003875, 157.154673, 0.008392, 157.158548, 234.775057, 0.001231, 158.048464, 0.001342, 158.04969499999999, 239.480078, 0.001472, 159.849093, 0.001115, 159.85056500000002, 230.234656, 0.001182, 159.953118, 0.006676, 159.9543, 245.090452, 0.002732, 160.825371, 0.003667, 160.828103, 222.571485, 0.001191, 162.110918, 0.007901, 162.112109, 241.770362, 0.001372, 165.275035, 0.006943, 165.276407, 225.77674, 0.001326, 174.473509, 0.004808, 174.474835, 217.761627, 0.002802, 193.799693, 0.005547, 193.802495,161.0244295, 0.001472, 159.953118, 159.9543
256, 258.134476, 0.001411, 332.055303, 0.003605, 332.056714, 263.632749, 0.001334, 337.386393, 0.005061, 337.387727, 256.389761, 0.001345, 340.498672, 0.006578, 340.500017, 267.770015, 0.003061, 341.140613, 0.00529, 341.143674, 262.992429, 0.005464, 349.14773, 0.001841, 349.15319400000004, 271.547786, 0.003428, 363.452985, 0.00402, 363.456413, 264.120002, 0.008483, 365.130596, 0.001311, 365.13907900000004, 255.620671, 0.001306, 365.909695, 0.001608, 365.911001, 284.925082, 0.001237, 379.635568, 0.002917, 379.636805, 283.337922, 0.003777, 382.483013, 0.001526, 382.48679000000004, 286.548172, 0.005618, 392.351393, 0.006258, 392.357011, 268.771108, 0.003366, 394.089299, 0.00537, 394.092665,361.7171711, 0.003428, 365.130596, 365.13907900000004
512, 256.281323, 0.001275, 442.24583, 0.001445, 442.24710500000003, 267.028178, 0.00304, 443.81212, 0.001387, 443.81516, 263.660246, 0.001142, 443.936889, 0.001321, 443.938031, 263.246796, 0.001352, 445.194705, 0.001163, 445.196057, 276.606708, 0.001567, 446.654384, 0.001338, 446.655951, 260.163102, 0.001197, 448.395791, 0.001126, 448.39698799999996, 259.533258, 0.001193, 448.69164, 0.001122, 448.692833, 264.022244, 0.001149, 463.027567, 0.001406, 463.028716, 350.149086, 0.002852, 748.696149, 0.003567, 748.699001, 332.633571, 0.00411, 758.268169, 0.014724, 758.2722789999999, 335.691379, 0.004376, 779.264092, 0.001721, 779.268468, 349.713949, 0.002034, 816.944841, 0.008237, 816.946875,542.5963484, 0.001567, 448.69164, 448.692833
1024, 372.662741, 0.001411, 909.570413, 0.001443, 909.571824, 369.011721, 0.001352, 913.184624, 0.001361, 913.185976, 379.964781, 0.00132, 913.506454, 0.001302, 913.5077739999999, 367.242729, 0.001178, 913.901557, 0.001309, 913.902735, 374.363692, 0.001326, 915.572196, 0.001334, 915.5735219999999, 365.485595, 0.001362, 917.977899, 0.001494, 917.979261, 364.121672, 0.001296, 923.941, 0.001445, 923.942296, 362.083249, 0.001219, 925.089938, 0.00133, 925.091157, 366.875399, 0.00124, 926.316844, 0.001338, 926.318084, 386.746976, 0.001408, 932.50102, 0.001312, 932.502428, 386.587351, 0.001145, 967.246785, 0.001303, 967.24793, 377.606992, 0.003403, 970.484012, 0.001344, 970.487415,924.9251162999999, 0.00132, 923.941, 923.942296
